,Date,Weights,Profit,Base Profit,PEP,KO,MNST,BBY,TGT,WMT,COST,FB,GOOGL,AAPL,AMZN,cash
0,2018-06-14,"[0.10719829 0.07939304 0.07994053 0.08015311 0.08183199 0.08140481
 0.08163574 0.08189039 0.0818466  0.08155216 0.08138689 0.08176645]",0.9968751940155699,0.9967682637025489,0.07939303512945277,0.07994053361005908,0.0801531056015094,0.08183198550833858,0.08140480815218092,0.08163574326302514,0.0818903889197377,0.08184660107953352,0.0815521641227711,0.08138689016971574,0.08176645428083311,0.10719829016284282
1,2018-06-15,"[0.10716222 0.07939713 0.07994603 0.08015712 0.08184052 0.08139427
 0.08164365 0.08189521 0.08184787 0.08155927 0.08139015 0.08176656]",0.9951058908255481,0.9949390941995746,0.07939713081648858,0.07994602810701006,0.08015712055748148,0.08184052048124497,0.08139427053387188,0.08164365077094696,0.0818952063969599,0.08184786528140457,0.08155927456050972,0.08139015278556935,0.08176656205570369,0.10716221765280894
2,2018-06-18,"[0.10719509 0.07939559 0.07994528 0.08015569 0.08182618 0.08139246
 0.08164162 0.08189426 0.08184475 0.08156027 0.08138241 0.0817664 ]",0.9936343521250819,0.9934036356565936,0.07939559363492095,0.07994527674285387,0.08015568935733143,0.08182617877216398,0.08139246275015469,0.08164161907654144,0.08189426123151627,0.0818447457736279,0.08156026799371688,0.08138241143568924,0.08176640075566884,0.10719509247581457
3,2018-06-19,"[0.10719739 0.07940179 0.0799475  0.08015726 0.08181832 0.08139213
 0.08163683 0.08189302 0.08184376 0.08156252 0.08138281 0.08176667]",0.9937486947179316,0.9935692025412808,0.07940179474499297,0.07994749786666519,0.08015725532333867,0.08181831527831364,0.08139213459191855,0.08163683085253388,0.08189301665311448,0.08184375903206098,0.08156252203571368,0.08138281242941715,0.08176667375791559,0.1071973874340152
4,2018-06-20,"[0.10720041 0.07939993 0.07994834 0.08015547 0.08182535 0.08139183
 0.08163417 0.08189335 0.08184381 0.08156216 0.08137778 0.08176739]",0.9934168177048265,0.9931571686859261,0.07939992890636054,0.07994833938588229,0.0801554698331477,0.08182535317331399,0.08139183159824678,0.08163417157436964,0.08189335196488431,0.08184380969778726,0.0815621552489558,0.08137778113242347,0.08176739479349523,0.10720041269113308
5,2018-06-21,"[0.10718471 0.07940113 0.07995144 0.08015837 0.08182493 0.0813936
 0.08164285 0.08189306 0.08184142 0.08156488 0.08137714 0.08176647]",1.002005108667783,1.002005514193837,0.07940113388891509,0.0799514378916747,0.08015837004448215,0.08182493157652425,0.08139360014300033,0.08164284867983626,0.08189305755949934,0.08184141882393615,0.08156487713053173,0.08137714264123155,0.0817664742480905,0.10718470737227798
6,2018-06-22,"[0.10722321 0.0793991  0.07995068 0.08015653 0.08181756 0.08139007
 0.08163407 0.08188946 0.08183717 0.08156184 0.08137398 0.08176634]",1.0016312762448019,1.0016044512406224,0.07939909702700475,0.07995068254396993,0.0801565279175173,0.08181755550682426,0.08139006552030627,0.08163407376190161,0.08188945984012493,0.08183716806862507,0.08156184094424278,0.08137397630179283,0.08176634470694924,0.1072232078607412
7,2018-06-25,"[0.1072053  0.07940345 0.07995032 0.08015693 0.0818221  0.08139
 0.08163452 0.081888   0.08183548 0.08156724 0.08137895 0.0817677 ]",1.0050171617762618,1.0051061523285958,0.07940345032758854,0.07995031963699721,0.08015693296778983,0.08182210289739283,0.08139000101894385,0.08163452486027484,0.081888000212466,0.0818354787149405,0.08156723911051543,0.08137895276692321,0.08176769776601907,0.10720529972014872
8,2018-06-26,"[0.10716525 0.07940612 0.0799512  0.08015741 0.08182186 0.08140141
 0.08165117 0.08188662 0.08183482 0.08157206 0.0813824  0.08176968]",0.9993243789269051,0.9992876494829176,0.07940611669984252,0.07995120038682074,0.08015741360626286,0.08182186061137996,0.08140140641235355,0.08165116573423639,0.08188661965787651,0.08183482489031017,0.08157205863818606,0.08138240215443625,0.08176967869692844,0.10716525251136652
9,2018-06-27,"[0.10714356 0.07940881 0.07995069 0.08015894 0.08182416 0.08141301
 0.0816432  0.08188642 0.08183612 0.08157394 0.08138911 0.08177206]",1.0000173810875015,1.0000379685538463,0.07940880621507315,0.07995068944838879,0.08015893676573657,0.08182415850292866,0.0814130067181047,0.08164319916639462,0.08188641500620589,0.08183611755835472,0.08157394177845813,0.08138911178953104,0.08177205733099424,0.10714355971982958
10,2018-06-28,"[0.10715078 0.07940548 0.07995173 0.08016107 0.08182741 0.08140856
 0.08164327 0.08189013 0.08183354 0.08156847 0.08138901 0.08177056]",1.0007415953431067,1.000742623878408,0.07940547881780141,0.07995172848317522,0.08016107205782755,0.0818274071477272,0.08140855596527893,0.08164326689430924,0.08189012562994341,0.0818335436430652,0.08156846771316925,0.08138901495312825,0.08177055837308073,0.10715078032149358
11,2018-06-29,"[0.10713661 0.0794065  0.07995202 0.08016147 0.08182534 0.08141222
 0.0816486  0.08189241 0.08183488 0.08156683 0.08139103 0.08177209]",0.9933346041243589,0.9931353128986765,0.07940650125958952,0.07995202370896125,0.08016147349100435,0.08182534341089,0.08141222089276415,0.0816485967031364,0.08189241025204003,0.08183488182244343,0.08156682624727986,0.08139102504017606,0.08177208514103139,0.10713661203068368
