,Date,Weights,Profit,Base Profit,BBY,TGT,WMT,COST,cash
0,2019-03-20,[0.19655852 0.19432083 0.20308067 0.20242989 0.20361005],0.9971879549771547,0.9970703947212878,0.19432082772254944,0.2030806690454483,0.2024298906326294,0.20361004769802094,0.19655852019786835
1,2019-03-21,[0.19656828 0.19435456 0.20303945 0.20240535 0.20363237],0.9937499738937894,0.9934464031285839,0.1943545639514923,0.20303945243358612,0.20240534842014313,0.20363236963748932,0.19656828045845032
2,2019-03-22,[0.196567   0.19422428 0.20315173 0.20251131 0.20354569],0.9893233539685906,0.9888078017116905,0.1942242830991745,0.20315173268318176,0.20251131057739258,0.2035456895828247,0.19656699895858765
3,2019-03-25,[0.19651821 0.19431363 0.20291737 0.20240442 0.20384637],1.0035602203678597,1.0038673513468532,0.1943136304616928,0.20291736721992493,0.2024044245481491,0.20384636521339417,0.196518212556839
4,2019-03-26,[0.19651136 0.19440281 0.20292105 0.20240226 0.20376255],0.9911398311282154,0.9907774789046486,0.194402813911438,0.2029210478067398,0.202402263879776,0.20376254618167877,0.19651135802268982
5,2019-03-27,[0.19647746 0.19441961 0.20281588 0.20237674 0.2039103 ],0.9998532905495701,0.9999618870934693,0.19441960752010345,0.20281587541103363,0.20237673819065094,0.20391030609607697,0.19647745788097382
6,2019-03-28,[0.19656934 0.19440408 0.20281309 0.20231962 0.2038939 ],0.9984563705118763,0.9983878594173916,0.19440408051013947,0.20281308889389038,0.20231962203979492,0.20389389991760254,0.19656933844089508
7,2019-03-29,[0.19652073 0.19427687 0.20282643 0.2024292  0.20394675],1.0007444997100694,1.0007986994402125,0.1942768692970276,0.20282642543315887,0.20242920517921448,0.20394675433635712,0.19652073085308075
8,2019-04-01,[0.19631687 0.19441713 0.20292728 0.20295385 0.20338489],1.0049959871966714,1.0052355044672856,0.19441713392734528,0.20292727649211884,0.20295384526252747,0.2033848911523819,0.19631686806678772
9,2019-04-02,[0.19634727 0.19433844 0.20300546 0.20299524 0.20331362],1.0068728147184192,1.0071793441525527,0.19433844089508057,0.20300546288490295,0.20299524068832397,0.20331361889839172,0.19634726643562317
10,2019-04-03,[0.19628286 0.19415946 0.20305495 0.20310871 0.20339401],1.0064925879762814,1.006872058760025,0.19415946304798126,0.20305494964122772,0.20310871303081512,0.20339401066303253,0.19628286361694336
11,2019-04-04,[0.19628495 0.19439963 0.2029523  0.2030594  0.20330371],1.0030584675876442,1.003312804776476,0.1943996250629425,0.2029522955417633,0.20305940508842468,0.20330370962619781,0.1962849497795105
12,2019-04-05,[0.19617312 0.19416036 0.2030212  0.20319383 0.20345154],1.0040415294131628,1.0044067536850643,0.1941603571176529,0.20302119851112366,0.20319382846355438,0.20345154404640198,0.19617311656475067
13,2019-04-08,[0.19614567 0.19410023 0.2028324  0.20309888 0.20382282],1.019973546005431,1.021142366908661,0.19410023093223572,0.2028324007987976,0.20309887826442719,0.20382282137870789,0.1961456686258316
14,2019-04-09,[0.19618665 0.19401617 0.20295963 0.20313774 0.20369983],1.020013558421365,1.0211396083100208,0.19401617348194122,0.20295962691307068,0.20313774049282074,0.20369982719421387,0.19618664681911469
15,2019-04-10,[0.1962512  0.19408758 0.20288281 0.20306343 0.20371501],1.0203786223330118,1.0215042704034454,0.19408757984638214,0.2028828114271164,0.20306342840194702,0.2037150114774704,0.19625119864940643
16,2019-04-11,[0.19616407 0.19413835 0.20289788 0.20313135 0.2036684 ],1.0200207546001188,1.0211701942019074,0.19413834810256958,0.20289787650108337,0.20313134789466858,0.20366840064525604,0.196164071559906
17,2019-04-12,[0.19625844 0.19413278 0.2029805  0.20312624 0.20350203],1.0198665816735766,1.020983647062757,0.19413277506828308,0.20298050343990326,0.2031262367963791,0.20350202918052673,0.19625844061374664
18,2019-04-15,[0.19624764 0.19455318 0.20291957 0.20307429 0.20320529],1.020447692992851,1.0215379668135567,0.1945531815290451,0.20291957259178162,0.20307429134845734,0.20320528745651245,0.1962476372718811
