,Date,Weights,Profit,Base Profit,PEP,KO,KDP,MNST,cash
0,2018-12-24,[0.22006424 0.18937519 0.19150491 0.20025462 0.198801  ],0.9972702249884605,0.9970703947212878,0.18937519192695618,0.19150491058826447,0.2002546191215515,0.19880099594593048,0.22006423771381378
1,2018-12-26,[0.22022183 0.18916991 0.19139285 0.20056514 0.19865027],0.9911163879699033,0.9905952206849805,0.18916991353034973,0.19139285385608673,0.2005651444196701,0.1986502707004547,0.22022183239459991
2,2018-12-27,[0.21987197 0.1893776  0.19142239 0.20053627 0.19879179],0.9735505077544047,0.9715088957225839,0.18937760591506958,0.19142238795757294,0.20053626596927643,0.19879178702831268,0.21987196803092957
3,2018-12-28,[0.22021843 0.18946461 0.19150019 0.19988833 0.19892845],0.9872376786778377,0.9861187982681047,0.18946461379528046,0.19150018692016602,0.19988833367824554,0.19892844557762146,0.22021843492984772
4,2018-12-31,[0.22040798 0.18934819 0.19135427 0.20006633 0.19882327],1.0013551252516353,1.0013478960017062,0.18934819102287292,0.19135427474975586,0.20006632804870605,0.19882327318191528,0.22040797770023346
5,2019-01-02,[0.22015724 0.18934985 0.19136919 0.20017302 0.19895072],0.9980120183977896,0.9978156480377659,0.18934984505176544,0.1913691908121109,0.200173020362854,0.19895072281360626,0.22015723586082458
6,2019-01-03,[0.22026467 0.18937767 0.19142123 0.1999698  0.1989667 ],0.9896392892034007,0.988798607881003,0.18937766551971436,0.19142122566699982,0.1999697983264923,0.19896669685840607,0.22026467323303223
7,2019-01-04,[0.22012879 0.18935506 0.19138369 0.20020972 0.19892275],0.98652729048078,0.9854959514829886,0.1893550604581833,0.19138368964195251,0.20020972192287445,0.1989227533340454,0.22012878954410553
8,2019-01-07,[0.22019826 0.18929583 0.19139935 0.20019698 0.19890954],0.9882437410836712,0.9873425551765488,0.18929582834243774,0.19139935076236725,0.2001969814300537,0.19890953600406647,0.22019825875759125
9,2019-01-08,[0.22032855 0.18944013 0.19144252 0.19988312 0.19890568],0.9995101619623159,0.999341861039578,0.18944013118743896,0.19144251942634583,0.1998831182718277,0.19890567660331726,0.22032855451107025
10,2019-01-09,[0.22014348 0.18963823 0.19167131 0.19951399 0.19903299],1.0120765816480017,1.0125007511303634,0.18963822722434998,0.19167131185531616,0.1995139867067337,0.1990329921245575,0.22014348208904266
11,2019-01-10,[0.21992968 0.1899775  0.19161697 0.19955061 0.19892527],1.0167313153927524,1.0173881081930223,0.1899774968624115,0.1916169673204422,0.19955061376094818,0.19892527163028717,0.21992968022823334
12,2019-01-11,[0.21978703 0.19035406 0.19198807 0.19898286 0.19888796],1.0135152029430055,1.013674870700692,0.19035406410694122,0.19198806583881378,0.1989828646183014,0.19888795912265778,0.21978703141212463
