,Date,Weights,Profit,Base Profit,PEP,KO,KDP,MNST,BBY,TGT,WMT,COST,FB,GOOGL,AAPL,AMZN,cash
0,2019-03-20,"[0.08338858 0.08324353 0.08337426 0.08332689 0.08344108 0.08338123
 0.0832036  0.08330746 0.08329468 0.0832073  0.08341956 0.08341182]",0.9967492370768339,0.9967492371812249,0.08338857590924452,0.083243534941527,0.08337425957215149,0.08332688953840026,0.08344108405569371,0.08338123385722973,0.08320359731629119,0.08330745632972061,0.08329468373792921,0.08320730462898564,0.08341956169604538,0.08341181841678143,0.08338857590924452
1,2019-03-21,"[0.08339771 0.083249   0.08336826 0.0833183  0.08344651 0.08338495
 0.0831995  0.08330244 0.08329576 0.08321111 0.08341458 0.08341191]",0.9922626452334091,0.9922635927113648,0.08339770634305507,0.08324899612199789,0.08336825528911176,0.08331829898224448,0.08344650756028972,0.08338494504101267,0.08319949595006582,0.08330243886044732,0.08329575636653795,0.08321111215761201,0.08341458132420601,0.08341190600341929,0.08339770634305507
2,2019-03-22,"[0.08339788 0.08324766 0.08336571 0.083322   0.08344796 0.08338049
 0.08319923 0.08330572 0.08330633 0.08320327 0.08341249 0.08341128]",0.9967487783356072,0.9967494006443062,0.08339788212153006,0.08324766465751206,0.08336571237500667,0.08332199657762784,0.0834479561249431,0.08338048709367864,0.0831992256829087,0.08330571541536747,0.08330632561102201,0.0832032671396987,0.08341248935801013,0.08341127784269464,0.08339788212153006
3,2019-03-25,"[0.0834026  0.08324128 0.08335547 0.08333391 0.08344941 0.08338768
 0.08319509 0.08330122 0.08331345 0.0832053  0.08340376 0.08341083]",1.0043280041075149,1.0043211289285565,0.0834025966566174,0.08324128375410864,0.08335547136201744,0.08333390789244144,0.0834494062869535,0.08338768002543333,0.08319508874401128,0.08330122148331164,0.0833134526926295,0.08320530211658941,0.08340375771190703,0.08341083127397936,0.0834025966566174
4,2019-03-26,"[0.08340239 0.08323999 0.08335135 0.08333954 0.08344198 0.08338617
 0.08319603 0.08330921 0.0833122  0.08320683 0.08340317 0.08341114]",0.9917439406100337,0.9917407603894501,0.08340239279069506,0.08323998847190675,0.08335134842555954,0.08333953609044242,0.0834419796001991,0.08338617123132139,0.0831960299810147,0.0833092062457128,0.08331219939327744,0.08320683330477699,0.08340317105860669,0.083411143406487,0.08340239279069506
5,2019-03-27,"[0.08340133 0.08324122 0.08335396 0.08333675 0.08344363 0.08339376
 0.08318989 0.08330612 0.08331518 0.08320503 0.08340173 0.08341141]",1.0030915323107874,1.0030855940329046,0.08340133241901221,0.08324121782769203,0.08335395914820636,0.0833367483773901,0.08344363020639908,0.08339375935070523,0.08318988857831745,0.08330612168972017,0.08331517719844406,0.08320503226283214,0.08340172575876471,0.08341140718251655,0.08340133241901221
6,2019-03-28,"[0.0833945  0.08326015 0.08335058 0.08332801 0.08344151 0.08339909
 0.08318789 0.08330493 0.08331707 0.08320427 0.0834002  0.08341181]",1.0032045058314698,1.0031999531648863,0.08339449926539205,0.0832601459742798,0.08335058234530361,0.08332801250770455,0.08344151240897016,0.08339908548312597,0.08318788534110051,0.08330492789985952,0.0833170652977436,0.08320427469113144,0.08340019850518564,0.08341181028020314,0.08339449926539205
7,2019-03-29,"[0.0833855  0.08326293 0.08335259 0.08333222 0.08344084 0.08339225
 0.08319603 0.08330428 0.08331489 0.08320392 0.08340233 0.08341222]",0.9993607847991505,0.9993536689963161,0.08338549712091929,0.0832629325000176,0.08335258967834368,0.08333222054035822,0.08344084057127979,0.08339225081038572,0.08319603201794798,0.0833042768162896,0.08331489355771567,0.08320392457154371,0.08340232565059204,0.0834122161646066,0.08338549712091929
8,2019-04-01,"[0.08338264 0.08326285 0.08335335 0.08333441 0.08340401 0.08340848
 0.08321005 0.08331082 0.08331419 0.08320339 0.08340331 0.0834125 ]",1.0033133227637687,1.0033050521140434,0.08338263823952272,0.0832628542149275,0.0833533494893773,0.08333441309797593,0.08340401222251805,0.0834084820632547,0.08321005283764218,0.08331081945415801,0.08331418758523665,0.08320338540050864,0.08340330934362995,0.08341249605124826,0.08338263823952272
9,2019-04-02,"[0.0833869  0.08326437 0.08335038 0.08333161 0.08340245 0.08340746
 0.08321445 0.083309   0.08331454 0.08320245 0.0834044  0.08341199]",1.0069405263377083,1.006932993312632,0.08338690176011793,0.08326436650656609,0.0833503823121421,0.0833316070547821,0.08340244586033353,0.08340746040582422,0.08321445047699413,0.0833090032512131,0.0833145402210934,0.08320244704972127,0.08340440397319139,0.08341199112802083,0.08338690176011793
10,2019-04-03,"[0.08338772 0.08325965 0.08334894 0.08333695 0.0834008  0.08340587
 0.08322052 0.08330616 0.08331743 0.08320206 0.08340241 0.08341148]",1.005442555686679,1.0054365735022002,0.0833877245917444,0.08325965285375632,0.0833489388689541,0.08333694784646098,0.08340079680364472,0.08340587145886803,0.08322052057237025,0.0833061638465838,0.08331743455862625,0.08320206103115328,0.08340240938068717,0.08341147818715061,0.0833877245917444
11,2019-04-04,"[0.08338812 0.08325748 0.08334839 0.08333928 0.08340333 0.0834095
 0.08321683 0.08330369 0.08332586 0.08319572 0.08340171 0.08341009]",1.0072376203976006,1.007230989264743,0.0833881197830963,0.08325747784058006,0.08334838568246641,0.08333927675224122,0.08340333317795012,0.0834095030428991,0.08321682808519823,0.08330369252810134,0.08332586307060612,0.08319572267169052,0.08340170546252731,0.08341009190264335,0.0833881197830963
