,Date,Weights,Profit,Base Profit,PEP,KO,MNST,BBY,TGT,WMT,COST,FB,GOOGL,AAPL,AMZN,cash
0,2019-03-20,"[0.10583752 0.07977045 0.07998488 0.07998102 0.08182872 0.08179894
 0.08170525 0.08179888 0.08208252 0.08199889 0.08197452 0.0812384 ]",0.9968704313152791,0.9967682637025489,0.0797704475731759,0.07998488362569871,0.07998102325956064,0.08182871688153533,0.08179893822515649,0.08170524825523316,0.08179888248085372,0.08208252409422846,0.08199889210024994,0.08197452111593648,0.0812384037372134,0.10583751865115779
1,2019-03-21,"[0.10581949 0.07977736 0.07999637 0.07999227 0.08182959 0.08180247
 0.081708   0.08180779 0.08206133 0.08199773 0.08197237 0.08123524]",0.9934100000941464,0.993164737100039,0.07977736239737253,0.07999637176824795,0.079992270624046,0.08182958515778999,0.08180246703255717,0.0817079969545947,0.08180778719855873,0.0820613301757623,0.08199773044591183,0.0819723671419558,0.08123523916579302,0.10581949193741001
2,2019-03-22,"[0.10582694 0.07977852 0.07999663 0.07996437 0.08183314 0.08180075
 0.08170786 0.08181144 0.08206731 0.08200696 0.08196226 0.08124384]",0.9973623448769676,0.9972138216124924,0.07977851506405406,0.07999662879408052,0.07996436599160835,0.08183313805372892,0.08180074518178174,0.08170786239782026,0.0818114415511849,0.0820673059577764,0.0820069604400126,0.08196225903482865,0.08124383592356754,0.10582694160955607
3,2019-03-25,"[0.10588249 0.0797791  0.08000111 0.07996453 0.08181433 0.08179052
 0.08170496 0.08179784 0.08207003 0.08200553 0.08195891 0.08123065]",1.0046347673054474,1.0046137408845688,0.07977909640802479,0.08000111340664372,0.07996452870205883,0.0818143251684032,0.0817905223040826,0.08170496147536524,0.08179784144920756,0.08207002558823565,0.08200553032933097,0.08195891137140177,0.08123065328249428,0.10588249051475133
4,2019-03-26,"[0.10584639 0.0797809  0.0799955  0.0799481  0.08183918 0.08180611
 0.0817134  0.08181707 0.08206225 0.08198981 0.08196872 0.08123257]",0.9924498072204283,0.9921113293937264,0.07978089916087949,0.07999549546479987,0.0799481032795242,0.08183918343226718,0.08180610844673994,0.08171339799530392,0.08181706902015816,0.08206225046626929,0.08198981039622454,0.08196871995413942,0.08123256856479946,0.10584639381889444
5,2019-03-27,"[0.10582386 0.07978119 0.07999628 0.07995646 0.08182413 0.08179383
 0.08171111 0.08181042 0.08206043 0.08198283 0.08196509 0.08129435]",1.0034007807143677,1.0034239444602786,0.0797811942815563,0.07999628368927846,0.07995645992311605,0.08182413340916452,0.081793826231059,0.081711114954353,0.0818104218644047,0.08206043106212849,0.08198283320824629,0.08196508869887119,0.08129435338346694,0.10582385929435505
6,2019-03-28,"[0.10585799 0.07977533 0.07998528 0.07996212 0.08183002 0.08179649
 0.08171139 0.08180095 0.0820723  0.08199203 0.08196802 0.0812481 ]",1.0029905299355888,1.003065498886854,0.07977532712546845,0.07998527787896008,0.07996211907744698,0.08183001588055154,0.08179648785031528,0.08171138565732605,0.08180094803412379,0.08207230240543269,0.08199202972840959,0.08196801979854601,0.0812480960139182,0.1058579905495013
7,2019-03-29,"[0.10583602 0.07978355 0.079999   0.07997225 0.08182797 0.08179905
 0.08171158 0.08180931 0.0820723  0.08198342 0.08195974 0.08124581]",0.9993911073727221,0.9993442855407079,0.07978354844665607,0.07999900071118787,0.07997224875592406,0.08182796584604421,0.08179905117155832,0.08171158194671181,0.08180931008434907,0.08207229687425932,0.08198342432546579,0.08195974226797414,0.08124580874084938,0.10583602082901988
8,2019-04-01,"[0.10588974 0.07977909 0.07999636 0.07995827 0.08176863 0.08179644
 0.08172672 0.08179365 0.08206932 0.08198566 0.08196865 0.08126747]",1.0033925412103353,1.0034494763146558,0.07977909307904185,0.07999636211688133,0.07995826815005479,0.08176862850146667,0.08179644063945754,0.08172672294291027,0.08179364729934452,0.08206931832473019,0.0819856618322235,0.0819686490756047,0.08126747256757468,0.10588973547071003
9,2019-04-02,"[0.10590243 0.07977649 0.07998969 0.07995605 0.08171141 0.0818233
 0.08176089 0.08181521 0.08206643 0.08198661 0.08196321 0.08124827]",1.0072741855235556,1.0074447970541962,0.07977648774719598,0.07998968992102969,0.07995605117307017,0.08171141163463441,0.08182329511504424,0.08176089083456496,0.08181520961210109,0.08206643455000397,0.08198660921324566,0.08196321455457972,0.08124827326121355,0.1059024323833166
10,2019-04-03,"[0.10581583 0.07978562 0.08000407 0.07996573 0.0817598  0.08182316
 0.08174685 0.08180834 0.08207245 0.08199898 0.08196661 0.08125256]",1.0064969925357687,1.0065766632918725,0.07978561576748198,0.08000406944047163,0.07996572840255026,0.08175980005160742,0.0818231648398964,0.08174685102825786,0.08180833851655726,0.08207244975825798,0.08199898342263835,0.08196660632884116,0.08125255965630769,0.10581583278713196
11,2019-04-04,"[0.10588016 0.07978076 0.07999797 0.07994976 0.08176773 0.08182308
 0.08175062 0.08182512 0.08205842 0.08198663 0.08195013 0.08122961]",1.009795785193485,1.0099570461630794,0.07978075827054672,0.07999796842558403,0.07994976195660859,0.08176772846013985,0.08182308497386552,0.08175061961773623,0.08182512319384373,0.08205842477646111,0.08198663476542378,0.08195012631970679,0.08122960604470797,0.1058801631953756
