,Date,Weights,Profit,Base Profit,Volume,JKHY,EBIX,STRM,UIS,ATRI,CRY,TFX,MMM,CIGI,TRC,FRPH,CTO,cash
0,2014-01-06,"[0.2952441  0.         0.         0.         0.         0.
 0.2117167  0.16389406 0.1739588  0.         0.15518633 0.
 0.        ]",0.9998590190273806,0.9998000000000002,0.7047558724880219,0.0,0.0,0.0,0.0,0.0,0.2117166966199875,0.16389405727386475,0.17395879328250885,0.0,0.15518632531166077,0.0,0.0,0.29524409770965576
1,2014-01-07,"[0.2954162  0.         0.         0.         0.         0.
 0.21181184 0.16349357 0.17363982 0.         0.15563855 0.
 0.        ]",1.006208422860671,1.0070655615647266,0.0012666427554258585,0.0,0.0,0.0,0.0,0.0,0.2118118405342102,0.1634935736656189,0.17363981902599335,0.0,0.15563854575157166,0.0,0.0,0.2954162061214447
2,2014-01-08,"[0.2953891  0.         0.         0.         0.         0.
 0.21180065 0.16337071 0.17359808 0.         0.1558415  0.
 0.        ]",0.9960687755426951,1.0004493241514703,0.005683390551841784,0.0,0.0,0.0,0.0,0.0,0.21180064976215363,0.16337071359157562,0.17359808087348938,0.0,0.15584149956703186,0.0,0.0,0.2953890860080719
3,2014-01-09,"[0.29541332 0.         0.         0.         0.         0.
 0.21187395 0.16329944 0.17349224 0.         0.15592107 0.
 0.        ]",0.9979585496923948,1.0074485444507257,0.0058969127659979316,0.0,0.0,0.0,0.0,0.0,0.21187394857406616,0.16329944133758545,0.17349223792552948,0.0,0.155921071767807,0.0,0.0,0.2954133152961731
4,2014-01-10,"[0.2953938  0.         0.         0.         0.         0.
 0.21183863 0.16320221 0.17352827 0.         0.15603708 0.
 0.        ]",0.9987301288228511,1.0091091696269519,0.002707487189914895,0.0,0.0,0.0,0.0,0.0,0.21183863282203674,0.1632022112607956,0.1735282689332962,0.0,0.1560370773077011,0.0,0.0,0.29539379477500916
5,2014-01-13,"[0.2955116  0.         0.         0.         0.         0.
 0.21187656 0.16308261 0.17337152 0.         0.15615766 0.
 0.        ]",1.0059536118668633,1.0074188568975948,0.00765432707974948,0.0,0.0,0.0,0.0,0.0,0.21187655627727509,0.16308261454105377,0.17337152361869812,0.0,0.15615765750408173,0.0,0.0,0.2955116033554077
6,2014-01-14,"[0.29564437 0.         0.         0.         0.         0.
 0.21190654 0.16297191 0.17327458 0.         0.1562026  0.
 0.        ]",0.999498019019005,0.9937209515926707,0.009168929259149002,0.0,0.0,0.0,0.0,0.0,0.2119065374135971,0.16297191381454468,0.17327457666397095,0.0,0.15620259940624237,0.0,0.0,0.2956443727016449
7,2014-01-15,"[0.2957342  0.         0.         0.         0.         0.
 0.21179754 0.16288623 0.17333667 0.         0.15624541 0.
 0.        ]",0.9943323631629962,0.983396358660884,0.006558464804635614,0.0,0.0,0.0,0.0,0.0,0.2117975354194641,0.16288623213768005,0.1733366698026657,0.0,0.1562454104423523,0.0,0.0,0.2957341969013214
8,2014-01-16,"[0.29570368 0.         0.         0.         0.         0.
 0.21181956 0.16279943 0.17325772 0.         0.15641959 0.
 0.        ]",1.003136115065226,0.9944073146625667,0.0055109028358566675,0.0,0.0,0.0,0.0,0.0,0.21181955933570862,0.1627994328737259,0.1732577234506607,0.0,0.15641959011554718,0.0,0.0,0.2957036793231964
9,2014-01-17,"[0.29569346 0.         0.         0.         0.         0.
 0.21189761 0.16274661 0.17310098 0.         0.15656137 0.
 0.        ]",1.005008773930709,0.9983063649398276,0.006155570286801641,0.0,0.0,0.0,0.0,0.0,0.211897611618042,0.1627466082572937,0.17310097813606262,0.0,0.15656137466430664,0.0,0.0,0.29569345712661743
