,Date,Weights,Profit,Base Profit,JNJ,PFE,ABT,BMY,F,OSK,SPAR,PCAR,LAWS,KAMN,WLFC,HDSN,cash
0,2014-01-06,"[0.12507744 0.13318666 0.19143601 0.12997774 0.         0.
 0.19794296 0.22237918 0.         0.         0.         0.
 0.        ]",0.9999999999912508,0.9999999999917246,0.1331866619791122,0.1914360143572925,0.12997774373059554,0.0,0.0,0.19794295747278304,0.22237917838890117,0.0,0.0,0.0,0.0,0.0,0.1250774440713156
1,2014-01-07,"[0.         0.1520619  0.21698203 0.13613613 0.         0.
 0.23136476 0.26345518 0.         0.         0.         0.
 0.        ]",1.0087597182225954,1.0097090249335616,0.15206189904176431,0.21698202826005808,0.1361361339787753,0.0,0.0,0.231364755817154,0.2634551829022483,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.1521986  0.21586925 0.13212758 0.         0.
 0.23279355 0.26701102 0.         0.         0.         0.
 0.        ]",1.0074947890068457,1.0095862527166504,0.15219860388502165,0.2158692485366678,0.1321275787078686,0.0,0.0,0.2327935458185867,0.26701102305185537,0.0,0.0,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.15157368 0.21578384 0.13181684 0.         0.
 0.23301325 0.26781239 0.         0.         0.         0.
 0.        ]",1.0112305035310079,1.0103166437280189,0.15157368380669559,0.21578383956860822,0.13181683949041825,0.0,0.0,0.23301324738117155,0.2678123897531064,0.0,0.0,0.0,0.0,0.0,0.0
4,2014-01-10,"[0.         0.15144388 0.21566757 0.13188904 0.         0.
 0.23306613 0.26793338 0.         0.         0.         0.
 0.        ]",1.0206653414149183,1.0192755171293448,0.15144388348918997,0.21566756751043745,0.13188904114496997,0.0,0.0,0.23306613177998986,0.2679333760754127,0.0,0.0,0.0,0.0,0.0,0.0
5,2014-01-13,"[0.         0.15161519 0.21534627 0.132242   0.         0.
 0.23306693 0.26772962 0.         0.         0.         0.
 0.        ]",1.022425392344652,1.0260976590643933,0.15161518766107016,0.21534626851275682,0.13224199754202381,0.0,0.0,0.2330669283272446,0.2677296179569046,0.0,0.0,0.0,0.0,0.0,0.0
6,2014-01-14,"[0.         0.15093196 0.21533002 0.13315524 0.         0.
 0.23314774 0.26743505 0.         0.         0.         0.
 0.        ]",1.0245186634859496,1.0284545001439975,0.1509319582941257,0.21533002001796592,0.13315523889994507,0.0,0.0,0.2331477364794121,0.2674350463085511,0.0,0.0,0.0,0.0,0.0,0.0
7,2014-01-15,"[0.         0.15121263 0.21503879 0.13334972 0.         0.
 0.23311444 0.26728443 0.         0.         0.         0.
 0.        ]",1.0103436804836445,1.0235677119700155,0.15121263354390482,0.21503878527497933,0.1333497158562928,0.0,0.0,0.23311443860495415,0.2672844267198689,0.0,0.0,0.0,0.0,0.0,0.0
8,2014-01-16,"[0.         0.15071771 0.21513934 0.13373837 0.         0.
 0.23318673 0.26721785 0.         0.         0.         0.
 0.        ]",1.0291032298521823,1.0304031393853965,0.15071770593929426,0.21513934252408976,0.13373836743597997,0.0,0.0,0.23318673080758942,0.26721785329304654,0.0,0.0,0.0,0.0,0.0,0.0
9,2014-01-17,"[0.         0.15071036 0.21502108 0.13388703 0.         0.
 0.23320917 0.26717236 0.         0.         0.         0.
 0.        ]",1.0324483464056469,1.0364306039572522,0.15071036018283832,0.21502107668419956,0.13388702646106837,0.0,0.0,0.2332091722288411,0.26717236444305276,0.0,0.0,0.0,0.0,0.0,0.0
