,Date,Weights,Profit,Base Profit,Volume,SPXC,LECO,CVR,PFIN,EAT,JACK,PZZA,MCD,CIA,GL,AAME,FFG,cash
0,2014-01-06,"[0.0791608  0.         0.10928654 0.14862056 0.07012231 0.13458273
 0.         0.         0.15167737 0.0934108  0.06342734 0.
 0.14971153]",0.9907916079763075,0.9917246744082152,0.9208392023692449,0.0,0.1092865421436818,0.14862056195855575,0.07012231436688056,0.13458273481287938,0.0,0.0,0.1516773719412558,0.09341080192945547,0.06342734038482666,0.0,0.14971153483170954,0.07916079763075501
1,2014-01-07,"[0.         0.         0.11661943 0.16880238 0.07740968 0.14280036
 0.         0.         0.16668623 0.09871093 0.0656321  0.
 0.16333888]",0.9910163156348268,0.9953511636567699,0.07916079763075479,0.0,0.11661943455924309,0.16880237659830022,0.07740967767357701,0.142800364206104,0.0,0.0,0.1666862255362499,0.0987109345788873,0.0656321020307139,0.0,0.16333888481692443,0.0
2,2014-01-08,"[0.         0.         0.11409132 0.16857518 0.08018042 0.14340763
 0.         0.         0.16709429 0.09817519 0.06459849 0.
 0.16387749]",0.9889761544582424,0.9901858508532273,0.01105827198991681,0.0,0.11409131617140642,0.16857518469501098,0.08018041715873887,0.14340762622132908,0.0,0.0,0.16709428835032117,0.09817519257396115,0.0645984863874508,0.0,0.16387748844178154,0.0
3,2014-01-09,"[0.         0.         0.11650143 0.16971988 0.08301582 0.14371834
 0.         0.         0.16440167 0.09544931 0.06452683 0.
 0.16266673]",0.9908206834548398,0.9919472286792512,0.011824812952848651,0.0,0.11650142944785985,0.16971987789443632,0.08301582218113322,0.1437183362717984,0.0,0.0,0.16440166678011917,0.09544930754657945,0.06452683017266923,0.0,0.1626667297054043,0.0
4,2014-01-10,"[0.         0.         0.11593948 0.16247847 0.08884837 0.14226486
 0.         0.         0.16478078 0.09772899 0.06418718 0.
 0.16377186]",0.9958012634763682,0.995312344264686,0.01759240480628163,0.0,0.11593948440061913,0.1624784693003788,0.08884837012142158,0.14226485956579002,0.0,0.0,0.16478078260299342,0.09772899019895945,0.06418718193004434,0.0,0.16377186187979323,0.0
5,2014-01-13,"[0.         0.         0.11696897 0.16583954 0.08808071 0.14109725
 0.         0.         0.16332978 0.09606928 0.06381884 0.
 0.16479563]",0.9962504349392797,0.9945534124857891,0.006221223379120913,0.0,0.11696896934234649,0.16583954333985151,0.08808071083626681,0.14109725367518536,0.0,0.0,0.1633297798209282,0.0960692755049281,0.06381883671783471,0.0,0.1647956307626587,0.0
6,2014-01-14,"[0.         0.         0.11966233 0.15709051 0.09222773 0.14020749
 0.         0.         0.16552967 0.09919388 0.06372953 0.
 0.16235887]",0.9825619771776697,0.9884634171849512,0.011508120944598382,0.0,0.11966232852305618,0.15709051443095642,0.09222772552262978,0.1402074861246165,0.0,0.0,0.16552966903594482,0.0991938797583592,0.06372952873211558,0.0,0.16235886787232148,0.0
7,2014-01-15,"[0.         0.         0.11986202 0.14769152 0.09497059 0.14504655
 0.         0.         0.1651112  0.10026257 0.06425003 0.
 0.16280551]",0.9628156139043255,0.9798276244257816,0.010645356876500534,0.0,0.11986202226183637,0.14769152180364184,0.09497058802183214,0.1450465503453883,0.0,0.0,0.16511120135296947,0.10026256875213452,0.06425003469171177,0.0,0.16280551277048558,0.0
8,2014-01-16,"[0.         0.         0.11538183 0.18145491 0.08919673 0.13967735
 0.         0.         0.15806169 0.09598775 0.06113765 0.
 0.15910209]",1.0013217074462983,1.000364352064312,0.023433468073142616,0.0,0.11538183073725565,0.18145491188050794,0.08919672656207991,0.13967734951490923,0.0,0.0,0.15806169477137405,0.09598774759693154,0.06113765081235144,0.0,0.15910208812458998,0.0
9,2014-01-17,"[0.         0.         0.11807147 0.15951064 0.09323965 0.1400824
 0.         0.         0.16251343 0.0969591  0.06492915 0.
 0.16469415]",0.9953544223279297,1.000145783857852,0.034101366876391564,0.0,0.11807146734377459,0.1595106437612088,0.09323965312074319,0.14008240003971897,0.0,0.0,0.16251343119719608,0.09695910222393055,0.06492915294920995,0.0,0.16469414936421786,0.0
10,2014-01-21,"[0.         0.         0.11752027 0.16425503 0.09391429 0.14223303
 0.         0.         0.16514642 0.09632933 0.0643904  0.
 0.15621123]",0.9865294784152133,0.9963762820399782,0.006772494241408411,0.0,0.11752026719136632,0.16425502796602698,0.0939142873047553,0.14223303326742726,0.0,0.0,0.1651464223004217,0.09632933242643854,0.0643904010536255,0.0,0.1562112284899384,0.0
11,2014-01-22,"[0.         0.         0.11719912 0.16056501 0.09509198 0.13911912
 0.         0.         0.16099253 0.09898862 0.06377445 0.
 0.16426917]",0.9920487751549492,1.0020084186602203,0.015934019489973375,0.0,0.11719912289747715,0.16056500652967334,0.09509197704430719,0.13911912096355622,0.0,0.0,0.16099252885975712,0.09898862248818698,0.06377445082200912,0.0,0.16426917039503294,0.0
12,2014-01-23,"[0.         0.         0.11542984 0.16088939 0.09299592 0.1493941
 0.         0.         0.15974912 0.09849415 0.06246202 0.
 0.16058546]",1.0057050656762208,1.010450308741703,0.006272315511989285,0.0,0.11542983856637284,0.1608893934569729,0.09299591745800796,0.14939409793013075,0.0,0.0,0.15974912275271289,0.0984941523507471,0.06246202238669406,0.0,0.16058545509836142,0.0
