,Date,Weights,Profit,Base Profit,Volume,UVV,STKL,PYX,ANDE,UMBF,C,TCF,JPM,PHM,MTH,NVR,BZH,cash
0,2014-01-06,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.9999999999909999,0.99999999999,0.8999999999999999,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
1,2014-01-07,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],1.0050915511083172,1.0076058537468924,1.2490009026920598e-16,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
2,2014-01-08,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.9993282033005839,0.9988076813625929,0.009088180071404307,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
3,2014-01-09,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.9966993326290984,0.9899909671926068,0.0077283559618641735,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
4,2014-01-10,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],1.0045046372400468,0.9970003804870043,0.01418550831710507,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
5,2014-01-13,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],1.0052684018372802,0.9976191270141075,0.011214595570028043,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
6,2014-01-14,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.9960619900815052,0.9884805511360244,0.00673809220937694,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
7,2014-01-15,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.985055859873288,0.9770780598098624,0.00606136977928858,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
8,2014-01-16,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.9869180604845912,0.9785050517440724,0.010590624163231518,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
9,2014-01-17,[0.1 0.1 0.1 0.  0.1 0.1 0.1 0.1 0.1 0.  0.1 0.  0.1],0.9906927900964524,0.9831098414564684,0.007648405952331554,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
