,Date,Weights,Profit,Base Profit,Volume,CVR,PFIN,LECO,SPXC,CRY,ATRI,TFX,MMM,HUBB,MRCY,IIN,AVX,cash
0,2014-01-06,"[0.07387474 0.07679363 0.07474145 0.07925454 0.07877196 0.07648896
 0.07894265 0.07581804 0.07737496 0.07903273 0.07764569 0.07615351
 0.07510716]",0.9998147898437795,0.9998000000000002,0.9261252731084824,0.0767936259508133,0.07474145293235779,0.07925453782081604,0.07877195626497269,0.07648895680904388,0.07894264906644821,0.07581803947687149,0.07737496495246887,0.07903272658586502,0.0776456892490387,0.07615350931882858,0.0751071646809578,0.07387474179267883
1,2014-01-07,"[0.07430179 0.07742935 0.07524431 0.07877091 0.07826088 0.07770402
 0.07774243 0.0762395  0.07777334 0.0782273  0.07603832 0.07659162
 0.07567625]",1.0084386923136937,1.0091377882181214,0.008786758867447376,0.07742934674024582,0.07524431496858597,0.07877091318368912,0.0782608836889267,0.07770401984453201,0.07774242758750916,0.07623949646949768,0.07777334004640579,0.07822730392217636,0.07603831589221954,0.0765916183590889,0.07567624747753143,0.07430179417133331
2,2014-01-08,"[0.07451773 0.07727509 0.0748894  0.0790845  0.07817321 0.0775935
 0.07782362 0.07608079 0.07761151 0.07844215 0.07600607 0.07685484
 0.07564758]",1.007696373210118,1.0085016261978137,0.010150772060746067,0.07727508991956711,0.0748893991112709,0.07908450067043304,0.0781732127070427,0.07759349793195724,0.07782362401485443,0.0760807916522026,0.0776115134358406,0.07844214886426926,0.07600606977939606,0.07685483992099762,0.07564757764339447,0.07451772689819336
3,2014-01-09,"[0.07424901 0.07756887 0.07520022 0.0787281  0.07831039 0.07773914
 0.07769627 0.07621053 0.07789586 0.0781889  0.0759547  0.07655399
 0.07570405]",1.0115995301236747,1.0126778821806057,0.010425960817677576,0.07756887376308441,0.07520022243261337,0.0787281021475792,0.07831039279699326,0.07773914188146591,0.07769627124071121,0.07621052861213684,0.07789585739374161,0.07818889617919922,0.07595469802618027,0.07655398547649384,0.07570405304431915,0.07424900680780411
4,2014-01-10,"[0.07415041 0.07772353 0.07526478 0.07862277 0.07836267 0.07774632
 0.077666   0.07622822 0.07800465 0.07810323 0.07588546 0.07649046
 0.07575147]",1.0127401069720188,1.0137480301470894,0.008324687348100398,0.07772353291511536,0.07526478171348572,0.07862276583909988,0.07836266607046127,0.07774631679058075,0.07766599953174591,0.07622822374105453,0.07800465077161789,0.07810322940349579,0.07588545978069305,0.07649046182632446,0.07575146853923798,0.07415041327476501
5,2014-01-13,"[0.07393484 0.07777029 0.0753373  0.07849798 0.07855634 0.07786152
 0.07771611 0.07627917 0.07811502 0.07806576 0.07603148 0.07616386
 0.07567032]",1.018619773996454,1.020104806063366,0.010514189006811807,0.07777028530836105,0.07533729821443558,0.078497976064682,0.07855633646249771,0.07786151766777039,0.07771611213684082,0.0762791708111763,0.07811502367258072,0.07806576043367386,0.07603147625923157,0.07616385817527771,0.07567032426595688,0.07393483817577362
6,2014-01-14,"[0.07409074 0.07759351 0.07503344 0.0787468  0.07851224 0.07783077
 0.07780369 0.07616651 0.07798443 0.07824446 0.07604885 0.07632034
 0.07562419]",1.0188300067872909,1.0200264579201435,0.011285103413591338,0.07759350538253784,0.07503344118595123,0.07874679565429688,0.07851223647594452,0.07783076912164688,0.07780369371175766,0.07616651058197021,0.07798442989587784,0.07824446260929108,0.0760488510131836,0.0763203352689743,0.07562419027090073,0.07409074157476425
7,2014-01-15,"[0.07399309 0.07765406 0.07505961 0.07868563 0.07859288 0.07782062
 0.07782754 0.07621924 0.07802539 0.07823136 0.07607958 0.07619528
 0.07561569]",1.0056380593933654,1.0054710590131724,0.011666008471776927,0.07765406370162964,0.07505960762500763,0.07868563383817673,0.07859288156032562,0.07782062143087387,0.07782754302024841,0.07621923834085464,0.07802538573741913,0.07823135703802109,0.0760795846581459,0.07619528472423553,0.07561568915843964,0.07399309426546097
8,2014-01-16,"[0.07387844 0.07759998 0.07512072 0.07861299 0.07868388 0.07789893
 0.07787372 0.07629717 0.07801972 0.07823753 0.07622502 0.07602479
 0.07552712]",1.0313094217267103,1.0324857479859657,0.015134219367176913,0.07759997993707657,0.0751207247376442,0.07861299067735672,0.07868387550115585,0.07789893448352814,0.07787372171878815,0.07629717141389847,0.07801971584558487,0.07823752611875534,0.07622501999139786,0.07602478563785553,0.075527124106884,0.0738784447312355
9,2014-01-17,"[0.07384147 0.07744544 0.0750939  0.07863828 0.07879093 0.07794596
 0.07795817 0.07631542 0.0779357  0.07833688 0.076416   0.07588523
 0.07539659]",1.0340589304742782,1.0351179148370193,0.02688953322947721,0.07744543999433517,0.07509390264749527,0.07863827794790268,0.07879092544317245,0.07794596254825592,0.07795817404985428,0.07631541788578033,0.07793570309877396,0.07833687961101532,0.0764160007238388,0.07588522881269455,0.0753965899348259,0.07384146749973297
10,2014-01-21,"[0.07389602 0.07731903 0.07490101 0.07877019 0.07875978 0.07799998
 0.07800522 0.07626767 0.0778742  0.07842483 0.07645193 0.07597315
 0.07535702]",1.0367451261936702,1.0380933857460029,0.010174489591088662,0.07731903344392776,0.07490100711584091,0.07877019047737122,0.07875978201627731,0.07799997925758362,0.07800521701574326,0.07626767456531525,0.07787419855594635,0.07842482626438141,0.07645193487405777,0.07597314566373825,0.07535701990127563,0.07389602065086365
