,Date,Weights,Profit,Base Profit,Volume,BZH,NVR,MTH,PHM,MXIM,KOPN,XLNX,INTC,AMS,PMD,LH,DGX,cash
0,2014-01-06,"[0.         0.09566184 0.09707818 0.         0.09099725 0.0852848
 0.08966016 0.0950954  0.09101237 0.0899047  0.094207   0.08571894
 0.08537934]",0.9997999776571989,0.9998000000000002,0.9999999776482582,0.09566184133291245,0.09707818180322647,0.0,0.09099724888801575,0.08528479933738708,0.0896601602435112,0.09509539604187012,0.0910123735666275,0.08990469574928284,0.09420700371265411,0.08571893721818924,0.08537933975458145,0.0
1,2014-01-07,"[0.         0.08793173 0.08730402 0.08030292 0.08427016 0.08067952
 0.08360577 0.0863595  0.08350138 0.08149701 0.08460347 0.08082192
 0.07912262]",1.0080558197492557,1.0083128949282454,0.16057371562849884,0.08793172985315323,0.0873040184378624,0.08030291646718979,0.08427015691995621,0.0806795209646225,0.08360576629638672,0.08635950088500977,0.08350137621164322,0.08149700611829758,0.08460346609354019,0.0808219164609909,0.0791226178407669,0.0
2,2014-01-08,"[0.07146465 0.08161931 0.08126695 0.07410308 0.07826269 0.07505181
 0.0777464  0.07982522 0.07763384 0.07572445 0.07877022 0.07494923
 0.07358217]",1.0041549228169915,1.0042322063084423,0.07204033414265008,0.08161931484937668,0.08126695454120636,0.07410307973623276,0.07826268672943115,0.07505181431770325,0.07774639874696732,0.07982522249221802,0.07763383537530899,0.07572444528341293,0.0787702202796936,0.0749492272734642,0.07358217239379883,0.0714646503329277
3,2014-01-09,"[0.07146554 0.08154167 0.08123533 0.07401761 0.07811663 0.07497738
 0.07779983 0.07984014 0.07766531 0.07583719 0.0788866  0.07501406
 0.07360273]",0.9970062451526707,0.9969175778674001,0.011521545735759692,0.08154167234897614,0.08123533427715302,0.07401761412620544,0.07811663299798965,0.07497737556695938,0.07779982686042786,0.07984013855457306,0.0776653066277504,0.07583718746900558,0.07888659834861755,0.07501406222581863,0.07360272854566574,0.07146554440259933
4,2014-01-10,"[0.07151494 0.08155814 0.08126908 0.07395218 0.07807405 0.07498519
 0.07772595 0.07989337 0.07767431 0.07585811 0.07891868 0.07497003
 0.07360594]",0.9995005167403159,0.9991343480115371,0.014621862451273716,0.08155813813209534,0.08126907795667648,0.07395218312740326,0.07807404547929764,0.07498519122600555,0.07772595435380936,0.07989337295293808,0.07767431437969208,0.07585810869932175,0.07891868054866791,0.07497002929449081,0.07360593974590302,0.07151494175195694
5,2014-01-13,"[0.07153965 0.08149036 0.08117266 0.07399168 0.07803088 0.07504036
 0.07778325 0.07989305 0.07766701 0.0758682  0.0788462  0.07504579
 0.07363091]",0.9938164564566426,0.992974948112136,0.010683972849743845,0.08149036020040512,0.08117265999317169,0.07399167865514755,0.07803088426589966,0.07504035532474518,0.0777832493185997,0.07989305257797241,0.0776670053601265,0.07586820423603058,0.07884620130062103,0.07504579424858093,0.0736309140920639,0.07153964787721634
6,2014-01-14,"[0.         0.08786719 0.08757505 0.07953434 0.08426306 0.08073438
 0.0837976  0.08611087 0.08372562 0.08172461 0.08489139 0.08064494
 0.07913096]",0.9956917436887314,0.9949552282414176,0.07150376215516688,0.08786718547344208,0.0875750482082367,0.07953433692455292,0.08426306396722794,0.08073437958955765,0.08379760384559631,0.08611086755990982,0.08372562378644943,0.0817246064543724,0.08489138633012772,0.08064494282007217,0.07913095504045486,0.0
7,2014-01-15,"[0.07153317 0.08150401 0.08120858 0.07415461 0.0781536  0.0750667
 0.07792158 0.07974803 0.07769074 0.07576805 0.07866459 0.07507983
 0.07350649]",0.9951075750423953,0.9950147577784403,0.07122501233268987,0.08150400966405869,0.08120857924222946,0.07415460795164108,0.078153595328331,0.0750667005777359,0.07792157679796219,0.07974803447723389,0.0776907429099083,0.07576804608106613,0.07866459339857101,0.07507982850074768,0.07350648939609528,0.07153317332267761
8,2014-01-16,"[0.07154542 0.08168834 0.08147133 0.07389161 0.07808599 0.07491732
 0.07786018 0.07987481 0.07769678 0.07591652 0.07881225 0.07484708
 0.07339236]",1.010274052601422,1.0114224166793793,0.015923343844997412,0.08168833702802658,0.08147133141756058,0.07389160990715027,0.0780859887599945,0.07491731643676758,0.07786018401384354,0.07987480610609055,0.0776967778801918,0.07591652125120163,0.07881224900484085,0.07484707981348038,0.0733923614025116,0.07154542207717896
9,2014-01-17,"[0.07153592 0.08180134 0.08148488 0.07385024 0.0781678  0.07493933
 0.07787114 0.07995223 0.07769974 0.07599469 0.07872741 0.07467327
 0.07330202]",1.0096360456965492,1.0101828047237067,0.008686126826836548,0.08180133998394012,0.08148487657308578,0.07385024428367615,0.07816780358552933,0.07493932545185089,0.07787114381790161,0.07995223253965378,0.07769973576068878,0.07599468529224396,0.07872740924358368,0.07467327266931534,0.0733020156621933,0.07153591513633728
10,2014-01-21,"[0.07154717 0.08169311 0.0813933  0.07388064 0.07809993 0.074972
 0.07792269 0.07988163 0.07769967 0.07594104 0.07876927 0.07483974
 0.0733598 ]",1.0073293170849598,1.0076144506499836,0.009766650291065064,0.08169310539960861,0.081393301486969,0.073880635201931,0.07809992879629135,0.0749719962477684,0.07792269438505173,0.07988163083791733,0.07769966870546341,0.0759410411119461,0.0787692740559578,0.07483974099159241,0.07335980236530304,0.07154716551303864
