,Date,Weights,Profit,Base Profit,Volume,ENSV,CLB,HLX,RES,MMM,ATRI,CRY,TFX,STKL,PYX,UVV,ANDE,cash
0,2014-01-06,"[0.08122611 0.10726564 0.07871725 0.0936271  0.07579697 0.12806149
 0.08437409 0.09565777 0.08596934 0.07687763 0.         0.
 0.09242661]",0.9998162228789275,0.9998000000000002,0.9187738671898842,0.1072656437754631,0.07871724665164948,0.09362709522247314,0.07579696923494339,0.12806148827075958,0.0843740850687027,0.09565776586532593,0.08596933633089066,0.07687763124704361,0.0,0.0,0.0924266055226326,0.08122611045837402
1,2014-01-07,"[0.08136748 0.10725269 0.07877927 0.09354743 0.07575767 0.1281469
 0.08434258 0.09545187 0.08598829 0.07689465 0.         0.
 0.09247118]",1.0033255210500804,1.0070623925556268,0.0005971957056423513,0.10725269466638565,0.07877927273511887,0.09354742616415024,0.07575766742229462,0.12814690172672272,0.0843425840139389,0.09545186907052994,0.08598829060792923,0.07689464837312698,0.0,0.0,0.092471182346344,0.08136747777462006
2,2014-01-08,"[0.08147114 0.10726024 0.07879717 0.09348214 0.07575765 0.12815462
 0.08431798 0.09542167 0.08595999 0.07685915 0.         0.
 0.0925182 ]",1.0008818411873075,0.9988460401170162,0.008196953126773272,0.10726024210453033,0.07879716902971268,0.0934821367263794,0.07575765252113342,0.12815462052822113,0.08431798219680786,0.0954216718673706,0.08595999330282211,0.07685915380716324,0.0,0.0,0.09251820296049118,0.08147113770246506
3,2014-01-09,"[0.08146935 0.10728906 0.07878119 0.09353785 0.07573248 0.12812628
 0.08425756 0.09540223 0.08598467 0.07689603 0.         0.
 0.09252334]",1.0025396311680126,0.9984406384328502,0.012628804704033538,0.10728906095027924,0.07878118753433228,0.09353785216808319,0.07573247700929642,0.12812627851963043,0.08425755798816681,0.09540223330259323,0.08598466962575912,0.07689602673053741,0.0,0.0,0.09252333641052246,0.0814693495631218
4,2014-01-10,"[0.08132818 0.10727666 0.07871912 0.09366944 0.07570348 0.1281428
 0.08419999 0.09547905 0.08597815 0.07700381 0.         0.
 0.09249933]",1.009972552171415,1.003665579225509,0.005678405561454093,0.10727665573358536,0.0787191241979599,0.09366944432258606,0.07570347934961319,0.1281428039073944,0.08419999480247498,0.09547904878854752,0.08597815036773682,0.07700380682945251,0.0,0.0,0.09249933063983917,0.08132817596197128
5,2014-01-13,"[0.08129339 0.10735066 0.07880714 0.09374171 0.07564282 0.12809356
 0.0841869  0.09554967 0.08607337 0.0769658  0.         0.
 0.09229498]",1.012134267998098,1.0061334122181693,0.02292139395199705,0.1073506623506546,0.07880713790655136,0.09374170750379562,0.07564282417297363,0.12809355556964874,0.08418689668178558,0.09554967284202576,0.0860733687877655,0.0769658014178276,0.0,0.0,0.09229497611522675,0.08129338920116425
6,2014-01-14,"[0.08116546 0.10733942 0.07880225 0.09385727 0.07561795 0.1280881
 0.08419868 0.0956318  0.08611564 0.07700035 0.         0.
 0.09218305]",1.0119706699215967,1.0047485571915518,0.011649545891926554,0.10733941942453384,0.07880225032567978,0.09385726600885391,0.0756179466843605,0.1280881017446518,0.08419868350028992,0.09563180059194565,0.08611564338207245,0.07700034976005554,0.0,0.0,0.09218304604291916,0.08116545528173447
7,2014-01-15,"[0.08133758 0.1073633  0.07886728 0.09368105 0.07555514 0.12820058
 0.08415922 0.09569716 0.08594168 0.07694844 0.         0.
 0.09224854]",1.007412727012289,1.000055013645072,0.011399153459832513,0.10736329853534698,0.07886727899312973,0.09368105232715607,0.07555513828992844,0.12820057570934296,0.08415921777486801,0.09569716453552246,0.08594167977571487,0.07694844156503677,0.0,0.0,0.09224854409694672,0.0813375785946846
8,2014-01-16,"[0.08130031 0.10734954 0.07885918 0.09369586 0.07561737 0.128122
 0.08421855 0.09566788 0.08605127 0.0769037  0.         0.
 0.09221435]",1.00874322074838,0.9998532059943483,0.014668364188615137,0.10734953731298447,0.07885918021202087,0.09369586408138275,0.07561737298965454,0.1281220018863678,0.08421855419874191,0.09566788375377655,0.08605127036571503,0.07690370082855225,0.0,0.0,0.09221434593200684,0.08130031079053879
9,2014-01-17,"[0.08124612 0.10736248 0.07886917 0.09367145 0.07556786 0.12818265
 0.08421063 0.09578076 0.08597351 0.07693703 0.         0.
 0.09219836]",1.0124684548095721,1.006413642159499,0.015442323222182046,0.10736247897148132,0.07886917144060135,0.09367144852876663,0.07556785643100739,0.12818264961242676,0.08421063423156738,0.09578076004981995,0.08597350865602493,0.07693703472614288,0.0,0.0,0.09219835698604584,0.08124612271785736
10,2014-01-21,"[0.08146492 0.10744298 0.07898623 0.09345603 0.07539263 0.12836757
 0.08411387 0.09591959 0.08569039 0.07691006 0.         0.
 0.09225574]",1.0259482929359633,1.0191325215753837,0.007362196603684636,0.10744298249483109,0.07898623496294022,0.09345602989196777,0.07539262622594833,0.1283675730228424,0.08411386609077454,0.09591959416866302,0.08569039404392242,0.07691006362438202,0.0,0.0,0.09225574135780334,0.08146491646766663
11,2014-01-22,"[0.08123795 0.10752428 0.07908056 0.09361211 0.07527454 0.12834111
 0.08414757 0.09613929 0.08578709 0.07692675 0.         0.
 0.09192874]",1.0328525390707501,1.0262958887172235,0.018051411737978872,0.10752428323030472,0.07908055931329727,0.09361211210489273,0.07527454197406769,0.12834110856056213,0.08414757251739502,0.09613928943872452,0.0857870876789093,0.07692675292491913,0.0,0.0,0.09192874282598495,0.08123794943094254
