,Date,Weights,Profit,Base Profit,Volume,RES,ENSV,HLX,CLB,AAME,GL,CIA,FFG,ATRI,TFX,MMM,CRY,cash
0,2014-01-06,"[0.         0.         0.15466395 0.         0.         0.13633955
 0.10410552 0.09660506 0.15205774 0.11199854 0.         0.11931328
 0.1249164 ]",0.9950000295042992,0.9950000000000002,1.0000000298023224,0.0,0.15466395020484924,0.0,0.0,0.13633954524993896,0.10410552471876144,0.09660505503416061,0.1520577371120453,0.1119985356926918,0.0,0.11931327730417252,0.12491640448570251,0.0
1,2014-01-07,"[0.         0.         0.15431705 0.         0.         0.13681851
 0.10409223 0.09848163 0.15153366 0.11068441 0.         0.11902229
 0.12505019]",0.9958522817821566,0.9962709027254227,0.004953814508685468,0.0,0.15431705117225647,0.0,0.0,0.1368185132741928,0.10409222543239594,0.09848163276910782,0.15153366327285767,0.11068440973758698,0.0,0.11902228742837906,0.12505018711090088,0.0
2,2014-01-08,"[0.         0.         0.15432714 0.         0.         0.13676834
 0.10405677 0.09882949 0.15148005 0.11047526 0.         0.11899333
 0.1250696 ]",0.9965020866455454,0.9928570125769012,0.007235327351343661,0.0,0.1543271392583847,0.0,0.0,0.13676834106445312,0.10405676811933517,0.0988294929265976,0.1514800488948822,0.11047526448965073,0.0,0.11899332702159882,0.12506960332393646,0.0
3,2014-01-09,"[0.         0.         0.15456112 0.         0.         0.13641049
 0.10393145 0.0994534  0.15149866 0.11017705 0.         0.11894197
 0.12502585]",0.9910751842416411,0.9906028947446884,0.015738770512176835,0.0,0.1545611172914505,0.0,0.0,0.13641048967838287,0.10393144935369492,0.0994533970952034,0.15149866044521332,0.11017704755067825,0.0,0.11894197016954422,0.12502585351467133,0.0
4,2014-01-10,"[0.         0.         0.15444018 0.         0.         0.13628326
 0.10392524 0.10043594 0.1513532  0.10968374 0.         0.11897041
 0.12490802]",1.0028665331109543,0.994681493931313,0.009840992223029322,0.0,0.15444017946720123,0.0,0.0,0.1362832635641098,0.10392523556947708,0.10043594241142273,0.15135319530963898,0.10968374460935593,0.0,0.11897040903568268,0.12490801513195038,0.0
5,2014-01-13,"[0.         0.         0.15456268 0.         0.         0.13637502
 0.10386078 0.09969442 0.15122002 0.11009786 0.         0.11889368
 0.12529552]",0.9983773339629339,0.9951407960839828,0.023612338012354867,0.0,0.15456268191337585,0.0,0.0,0.13637502491474152,0.1038607805967331,0.09969441592693329,0.15122002363204956,0.11009786278009415,0.0,0.11889368295669556,0.1252955198287964,0.0
6,2014-01-14,"[0.         0.         0.15459779 0.         0.         0.13628455
 0.10386022 0.09946667 0.1513098  0.11027747 0.         0.11895907
 0.12524442]",0.9951260715852106,0.9957279705392164,0.015801807133485612,0.0,0.15459778904914856,0.0,0.0,0.13628454506397247,0.10386022180318832,0.09946667402982712,0.1513098031282425,0.11027747392654419,0.0,0.11895906925201416,0.12524442374706268,0.0
7,2014-01-15,"[0.         0.         0.15400808 0.         0.         0.1367611
 0.10401469 0.10024635 0.15099227 0.1097468  0.         0.11900534
 0.1252254 ]",0.995455481646051,0.9928657247737245,0.012252067677425954,0.0,0.15400807559490204,0.0,0.0,0.13676109910011292,0.10401469469070435,0.10024634748697281,0.1509922742843628,0.10974679887294769,0.0,0.11900534480810165,0.12522539496421814,0.0
8,2014-01-16,"[0.         0.         0.15423405 0.         0.         0.13688953
 0.10400696 0.09878938 0.1510629  0.11055697 0.         0.11893179
 0.1255284 ]",0.9951019791074379,0.9961554377610915,0.022286563963320988,0.0,0.15423405170440674,0.0,0.0,0.1368895322084427,0.10400696098804474,0.09878937900066376,0.15106290578842163,0.11055696755647659,0.0,0.11893178522586823,0.12552839517593384,0.0
9,2014-01-17,"[0.         0.         0.15415081 0.         0.         0.13726242
 0.1040618  0.09804105 0.15095535 0.11087941 0.         0.11884782
 0.1258013 ]",0.9971919464329786,0.9969338263846886,0.018242539264630278,0.0,0.1541508138179779,0.0,0.0,0.13726241886615753,0.1040618047118187,0.09804105013608932,0.15095534920692444,0.11087941378355026,0.0,0.1188478171825409,0.12580129504203796,0.0
10,2014-01-21,"[0.         0.         0.15374814 0.         0.         0.137651
 0.10411185 0.09963718 0.15028039 0.10991207 0.         0.11869562
 0.12596378]",1.0060623751619693,1.0024008691817754,0.013453005283332821,0.0,0.15374813973903656,0.0,0.0,0.1376509964466095,0.10411185026168823,0.09963718056678772,0.15028038620948792,0.10991206765174866,0.0,0.11869561672210693,0.12596377730369568,0.0
11,2014-01-22,"[0.         0.         0.15382855 0.         0.         0.13808434
 0.10417487 0.09758346 0.150361   0.11096194 0.         0.11860412
 0.12640174]",1.0115958754735155,1.0111517054033496,0.030768086321394893,0.0,0.15382854640483856,0.0,0.0,0.13808433711528778,0.10417487472295761,0.09758345782756805,0.15036100149154663,0.11096193641424179,0.0,0.11860411614179611,0.12640173733234406,0.0
12,2014-01-23,"[0.         0.         0.15347067 0.         0.         0.13859835
 0.10431221 0.09727942 0.15027039 0.11099352 0.         0.11861403
 0.12646142]",1.0105493741900207,1.0112167031524733,0.018730857667515734,0.0,0.15347066521644592,0.0,0.0,0.13859835267066956,0.10431221127510071,0.09727942198514938,0.15027038753032684,0.11099351942539215,0.0,0.11861403286457062,0.12646141648292542,0.0
