,Date,Weights,Profit,Base Profit,Volume,JNJ,PFE,ABT,BMY,F,OSK,SPAR,PCAR,LAWS,KAMN,WLFC,HDSN,cash
0,2014-01-06,"[0.09508296 0.         0.         0.088691   0.15320688 0.09590264
 0.10897434 0.13131087 0.         0.1031082  0.         0.0896717
 0.13405141]",1.0000000074415314,0.9999999999900002,0.9049170464277267,0.0,0.0,0.08869100362062454,0.15320688486099243,0.09590264409780502,0.10897433757781982,0.1313108652830124,0.0,0.10310819745063782,0.0,0.08967170119285583,0.13405141234397888,0.09508296102285385
1,2014-01-07,"[0.09413496 0.         0.         0.0898944  0.15081908 0.0978969
 0.10986265 0.12804393 0.         0.1048825  0.         0.08996149
 0.13450412]",1.0103348408866788,1.0117324990127072,0.012257511527271345,0.0,0.0,0.08989439904689789,0.1508190780878067,0.09789690375328064,0.10986264795064926,0.12804393470287323,0.0,0.10488250106573105,0.0,0.08996149152517319,0.13450412452220917,0.09413495659828186
2,2014-01-08,"[0.09424172 0.         0.         0.08979598 0.15084979 0.09781385
 0.10991842 0.12824623 0.         0.10480434 0.         0.0899068
 0.13442285]",1.0110748687610673,1.0115841396333098,0.007422995927693083,0.0,0.0,0.08979598432779312,0.15084978938102722,0.09781385213136673,0.10991842299699783,0.1282462328672409,0.0,0.10480434447526932,0.0,0.08990679681301117,0.13442285358905792,0.09424172341823578
3,2014-01-09,"[0.09413856 0.         0.         0.0899872  0.15059097 0.09807993
 0.10989498 0.12784562 0.         0.10498826 0.         0.09005067
 0.1344238 ]",1.0113384816983926,1.0124667526535058,0.009179234212352618,0.0,0.0,0.08998719602823257,0.15059097111225128,0.09807992726564407,0.10989497601985931,0.1278456151485443,0.0,0.10498826205730438,0.0,0.09005067497491837,0.13442380726337433,0.09413856267929077
4,2014-01-10,"[0.09416249 0.         0.         0.08999426 0.15061016 0.09804983
 0.10990603 0.12784249 0.         0.10498808 0.         0.09000978
 0.13443689]",1.0244059377023043,1.0232927598020387,0.0052538907273227825,0.0,0.0,0.08999425917863846,0.15061016380786896,0.0980498269200325,0.10990603268146515,0.1278424859046936,0.0,0.10498808324337006,0.0,0.09000977873802185,0.13443689048290253,0.09416249394416809
5,2014-01-13,"[0.09414363 0.         0.         0.0899765  0.15044014 0.09811912
 0.10999246 0.12776294 0.         0.10515646 0.         0.08999862
 0.13441011]",1.0366309614014957,1.0315367157157604,0.003410810576948715,0.0,0.0,0.08997650444507599,0.15044014155864716,0.09811911731958389,0.10999245941638947,0.12776294350624084,0.0,0.10515645891427994,0.0,0.08999861776828766,0.13441011309623718,0.09414362907409668
6,2014-01-14,"[0.09406827 0.         0.         0.09027422 0.1500954  0.09839317
 0.10998032 0.12720145 0.         0.10542129 0.         0.09014772
 0.13441812]",1.0404674366377773,1.0343847499755119,0.016930808412836375,0.0,0.0,0.09027422219514847,0.1500954031944275,0.09839317202568054,0.10998032242059708,0.12720145285129547,0.0,0.1054212898015976,0.0,0.0901477187871933,0.13441811501979828,0.09406827390193939
7,2014-01-15,"[0.09397761 0.         0.         0.09053241 0.1496689  0.09860964
 0.11008991 0.12668216 0.         0.10576659 0.         0.09025536
 0.13441738]",1.0297646358988022,1.0284794981279897,0.011151913778239307,0.0,0.0,0.09053241461515427,0.14966890215873718,0.09860964119434357,0.11008991301059723,0.12668216228485107,0.0,0.10576659440994263,0.0,0.09025535732507706,0.13441738486289978,0.09397760778665543
8,2014-01-16,"[0.09396563 0.         0.         0.09051996 0.149699   0.09862004
 0.1100696  0.12668154 0.         0.10577017 0.         0.09023505
 0.13443899]",1.0408294155629134,1.0367395083711572,0.011902740656363531,0.0,0.0,0.09051995724439621,0.14969900250434875,0.09862004220485687,0.11006960272789001,0.12668153643608093,0.0,0.10577017068862915,0.0,0.09023505449295044,0.13443899154663086,0.09396563470363617
9,2014-01-17,"[0.09392653 0.         0.         0.09044287 0.14963    0.09868054
 0.1101258  0.12668544 0.         0.10586968 0.         0.09019647
 0.1344427 ]",1.046449962623979,1.0440231668870572,0.015979089025025102,0.0,0.0,0.09044287353754044,0.14962999522686005,0.0986805409193039,0.11012579500675201,0.12668544054031372,0.0,0.10586968064308167,0.0,0.09019646793603897,0.13444270193576813,0.09392653405666351
10,2014-01-21,"[0.09405034 0.         0.         0.09027535 0.14956632 0.09863023
 0.11020573 0.12692314 0.         0.10589046 0.         0.09016077
 0.13429764]",1.0499020523026283,1.048111762947044,0.019302237689710157,0.0,0.0,0.0902753472328186,0.14956632256507874,0.09863023459911346,0.11020573228597641,0.12692314386367798,0.0,0.10589046031236649,0.0,0.09016077220439911,0.13429763913154602,0.0940503403544426
11,2014-01-22,"[0.09405378 0.         0.         0.09022424 0.14958544 0.09863321
 0.11018765 0.1269898  0.         0.10587396 0.         0.09017751
 0.13427438]",1.0535564869667429,1.052936776116,0.010463533314024,0.0,0.0,0.0902242437005043,0.14958544075489044,0.09863321483135223,0.11018764972686768,0.12698979675769806,0.0,0.1058739647269249,0.0,0.0901775062084198,0.13427437841892242,0.09405378252267838
12,2014-01-23,"[0.09411214 0.         0.         0.09024341 0.14958492 0.09862192
 0.11015766 0.12699646 0.         0.10585232 0.         0.09019753
 0.13423365]",1.050401721970593,1.0488185352769042,0.009040732543970594,0.0,0.0,0.09024341404438019,0.14958491921424866,0.0986219197511673,0.11015766113996506,0.1269964575767517,0.0,0.10585232079029083,0.0,0.09019753336906433,0.13423365354537964,0.09411214292049408
13,2014-01-24,"[0.09399676 0.         0.         0.09034228 0.14949444 0.09869271
 0.11019767 0.12679349 0.         0.10594742 0.         0.09021352
 0.13432172]",1.0481412416990419,1.044091445744625,0.00964096559060385,0.0,0.0,0.09034228324890137,0.14949443936347961,0.09869270771741867,0.11019767075777054,0.1267934888601303,0.0,0.10594742000102997,0.0,0.09021352231502533,0.13432171940803528,0.09399675577878952
14,2014-01-27,"[0.09398061 0.         0.         0.09051163 0.14916798 0.09883171
 0.110272   0.12646815 0.         0.10618785 0.         0.09031147
 0.1342686 ]",1.0369592757925292,1.0331836823640226,0.007916432587393715,0.0,0.0,0.09051162749528885,0.1491679847240448,0.09883170574903488,0.11027199774980545,0.12646815180778503,0.0,0.1061878502368927,0.0,0.09031146764755249,0.1342685967683792,0.09398061037063599
15,2014-01-28,"[0.09397144 0.         0.         0.09067778 0.14903587 0.0988279
 0.11031035 0.1262718  0.         0.10627086 0.         0.09037282
 0.13426119]",1.0116863372085232,1.0068326811574662,0.012859724186226391,0.0,0.0,0.09067777544260025,0.14903587102890015,0.09882789850234985,0.11031035333871841,0.1262717992067337,0.0,0.10627085715532303,0.0,0.09037282317876816,0.13426119089126587,0.09397143870592117
16,2014-01-29,"[0.09389105 0.         0.         0.09102929 0.14883098 0.09907711
 0.11022129 0.12574029 0.         0.10634895 0.         0.0905575
 0.13430357]",1.0079355405221453,1.005825851582345,0.017076622366077005,0.0,0.0,0.09102928638458252,0.14883098006248474,0.09907710552215576,0.11022128909826279,0.12574028968811035,0.0,0.10634894669055939,0.0,0.09055750072002411,0.13430356979370117,0.09389104694128036
17,2014-01-30,"[0.09368721 0.         0.         0.09167863 0.1484932  0.09955579
 0.11005907 0.12468486 0.         0.10651106 0.         0.09083666
 0.13449357]",1.0044970571888183,0.9996223549653536,0.023939049086517526,0.0,0.0,0.09167863428592682,0.1484932005405426,0.09955579042434692,0.11005906760692596,0.12468485534191132,0.0,0.10651106387376785,0.0,0.09083665907382965,0.13449357450008392,0.09368720650672913
18,2014-01-31,"[0.09379175 0.         0.         0.0915895  0.1486323  0.09940165
 0.11001777 0.12494651 0.         0.10636704 0.         0.09083532
 0.13441816]",1.0077530760232472,1.004366604368435,0.015215291601228434,0.0,0.0,0.09158950299024582,0.14863230288028717,0.09940165281295776,0.11001776903867722,0.12494651228189468,0.0,0.10636703670024872,0.0,0.0908353179693222,0.13441815972328186,0.09379175305366516
19,2014-02-03,"[0.09394343 0.         0.         0.09144061 0.14885907 0.09922691
 0.10996282 0.12530835 0.         0.10614119 0.         0.09077939
 0.13433824]",0.9944021175861626,0.9919350185934904,0.011810856605373551,0.0,0.0,0.0914406105875969,0.14885906875133514,0.09922690689563751,0.1099628210067749,0.1253083497285843,0.0,0.10614118725061417,0.0,0.0907793939113617,0.13433824479579926,0.09394343197345734
