,Date,Weights,Profit,Base Profit,Volume,ABT,JNJ,BMY,PFE,BCRX,TECH,NBIX,TTNP,JKHY,STRM,UIS,EBIX,cash
0,2014-01-06,"[0.08621367 0.12181213 0.09701774 0.         0.12248142 0.
 0.11055408 0.09693633 0.         0.         0.12036976 0.12558829
 0.11902659]",0.9999999999908623,0.9999999999917251,0.9137863263026167,0.12181212668778815,0.09701773889144999,0.0,0.12248141546753327,0.0,0.11055408456589359,0.09693633157585964,0.0,0.0,0.12036975678027431,0.12558828714095113,0.11902658519286652,0.08621367369738347
1,2014-01-07,"[0.         0.13424349 0.1041383  0.         0.13479747 0.
 0.12052743 0.10434935 0.         0.         0.13243794 0.13863219
 0.13087383]",1.009467258550127,1.0124751518239057,0.08621367369659576,0.13424348624664345,0.1041382981390695,0.0,0.13479747067673872,0.0,0.12052743486849171,0.10434935126624265,0.0,0.0,0.13243793795692005,0.1386321862808227,0.13087383456507118,0.0
2,2014-01-08,"[0.         0.1346845  0.10374087 0.         0.13494442 0.
 0.12039496 0.10397754 0.         0.         0.1326289  0.13883461
 0.1307942 ]",1.0754187229429784,1.0584846695121586,0.0045032044893212626,0.13468450030446785,0.10374087456569109,0.0,0.1349444159859659,0.0,0.12039495650769402,0.10397753836738176,0.0,0.0,0.13262890343578426,0.13883460774105727,0.13079420309195797,0.0
3,2014-01-09,"[0.         0.13351122 0.1033944  0.         0.13404558 0.
 0.12000194 0.10927861 0.         0.         0.13200322 0.13800808
 0.12975694]",1.0982987136952946,1.0754384775931665,0.10403398201321722,0.1335112225192139,0.10339440025913701,0.0,0.1340455810959825,0.0,0.12000194073117303,0.1092786140682034,0.0,0.0,0.1320032205795495,0.13800808396628245,0.12975693678045822,0.0
4,2014-01-10,"[0.         0.13383943 0.10360925 0.         0.1344023  0.
 0.120427   0.10551118 0.         0.         0.13283766 0.13840182
 0.13097135]",1.1072846756647698,1.0898934362816595,0.040163325364110256,0.1338394318157988,0.10360925424211898,0.0,0.13440230082387383,0.0,0.12042700364389437,0.10551117979180587,0.0,0.0,0.13283765816233306,0.13840182146875607,0.1309713500514191,0.0
5,2014-01-13,"[0.         0.13437217 0.10372951 0.         0.13486588 0.
 0.1208148  0.10361768 0.         0.         0.13310643 0.13854246
 0.13095106]",1.1021491865226392,1.0939531128926958,0.0043086623655760915,0.13437217136836585,0.10372950761263894,0.0,0.13486587513676312,0.0,0.12081480399760369,0.10361768458280879,0.0,0.0,0.13310643306466524,0.13854246105414533,0.1309510631830091,0.0
6,2014-01-14,"[0.         0.13439925 0.10383707 0.         0.13504965 0.
 0.12064379 0.10369508 0.         0.         0.13341535 0.13853199
 0.13042782]",1.0910305591129754,1.0961929046473702,0.013351685127647932,0.13439925485850174,0.1038370729543751,0.0,0.1350496500289804,0.0,0.1206437883559157,0.10369507500888903,0.0,0.0,0.1334153528210771,0.13853198871456132,0.13042781725769978,0.0
7,2014-01-15,"[0.         0.13439354 0.10394442 0.         0.13542383 0.
 0.12065721 0.1040238  0.         0.         0.13266661 0.13818363
 0.13070696]",1.0877475110412103,1.0937458680530328,0.01760144236994889,0.1343935374797365,0.10394441937796992,0.0,0.1354238336895419,0.0,0.12065720639253089,0.10402380261699322,0.0,0.0,0.13266661193417137,0.13818363073799483,0.13070695777106137,0.0
8,2014-01-16,"[0.         0.13452285 0.10380951 0.         0.13488353 0.
 0.12079109 0.10341477 0.         0.         0.13345526 0.13845155
 0.13067144]",1.1082535719308717,1.1214987827375604,0.008211883560118947,0.13452284597163094,0.10380951400012918,0.0,0.13488353325206742,0.0,0.12079109134442048,0.10341476528208735,0.0,0.0,0.13345526379069214,0.13845154621568542,0.1306714401432871,0.0
9,2014-01-17,"[0.         0.13417585 0.1036593  0.         0.13490287 0.
 0.12071597 0.10359459 0.         0.         0.13256968 0.13922586
 0.13115588]",1.1015176558493132,1.1042839648519074,0.013830635091683882,0.13417584898456564,0.1036593029475731,0.0,0.13490287289426,0.0,0.12071597007831134,0.10359459478768197,0.0,0.0,0.13256967810924877,0.13922585649393468,0.13115587570442447,0.0
10,2014-01-21,"[0.         0.13438225 0.1039504  0.         0.13520288 0.
 0.12075919 0.1033264  0.         0.         0.13298098 0.13893283
 0.13046507]",1.1091502360119203,1.10986101035271,0.008700074637728254,0.13438225049333866,0.10395039806253308,0.0,0.13520287549163978,0.0,0.12075919026909655,0.10332640172495124,0.0,0.0,0.13298098001428552,0.13893283207740423,0.13046507186675088,0.0
11,2014-01-22,"[0.         0.13436675 0.10388948 0.         0.13498632 0.
 0.12072513 0.1035186  0.         0.         0.13311584 0.13848632
 0.13091156]",1.1095442965505233,1.1157513276601683,0.0061423137632020276,0.13436674513219907,0.1038894845647706,0.0,0.13498631965193544,0.0,0.12072512968657917,0.1035185990882832,0.0,0.0,0.13311583748606742,0.13848632156470816,0.13091156282545707,0.0
12,2014-01-23,"[0.         0.1342619  0.10387286 0.         0.13493522 0.
 0.12092499 0.10360503 0.         0.         0.13292146 0.13860453
 0.130874  ]",1.0951206037690648,1.1142868572735694,0.004916669938157878,0.1342619032079574,0.10387286139327866,0.0,0.13493522077770106,0.0,0.12092499093774879,0.10360502569682895,0.0,0.0,0.1329214626189918,0.13860453119217672,0.13087400417531678,0.0
