,Date,Weights,Profit,Base Profit,DORM,STRT,SUP,MOD,MCD,JACK,PZZA,EAT,MXIM,INTC,KOPN,XLNX,cash
0,2014-01-06,"[0.0660919  0.08603578 0.08490089 0.         0.10165361 0.06999839
 0.1017487  0.07230511 0.12300579 0.08009846 0.         0.08510114
 0.12906023]",0.9999999999906609,0.9999999999917246,0.08603578305255083,0.08490088685637266,0.0,0.10165361394321948,0.06999838897220843,0.10174870029332356,0.07230510964406255,0.12300578907633745,0.08009845639071937,0.0,0.08510113840408631,0.12906023081227852,0.06609190255484092
1,2014-01-07,"[0.         0.09111366 0.08970059 0.         0.10919746 0.07334579
 0.10926442 0.07507967 0.13518343 0.08453911 0.         0.08998938
 0.14258649]",1.0026794685174898,1.001999590853312,0.0911136623762122,0.08970058997457499,0.0,0.10919745749702314,0.0733457859677968,0.10926442160031993,0.07507966843616284,0.13518343355264445,0.08453911155817236,0.0,0.08998937662472518,0.14258649241236798,0.0
2,2014-01-08,"[0.         0.0908547  0.08949131 0.         0.10920465 0.07333161
 0.10918099 0.07443841 0.13586977 0.08444384 0.         0.0897897
 0.14339502]",0.9924153342972527,0.993002455351998,0.09085470419151397,0.08949131205251419,0.0,0.10920464561630444,0.07333161429462524,0.10918098739860926,0.07443840713176578,0.13586976553434246,0.08444384391848195,0.0,0.08978970196416923,0.14339501789767342,0.0
3,2014-01-09,"[0.         0.0908344  0.08945759 0.         0.10920412 0.07326539
 0.10918082 0.07444313 0.13594603 0.08439185 0.         0.08975849
 0.14351818]",0.9930425497822375,0.9935557511568607,0.09083440197780958,0.08945758596813658,0.0,0.10920411689196143,0.07326538693321968,0.10918082393271003,0.07444313464031566,0.13594602927594432,0.08439184938994647,0.0,0.08975849354566731,0.14351817744428894,0.0
4,2014-01-10,"[0.         0.09082539 0.0894702  0.         0.10920789 0.07317463
 0.10921393 0.07453674 0.1359367  0.08434941 0.         0.08975423
 0.14353087]",0.9974157351833949,0.9952970695010531,0.09082539419741552,0.08947019967160859,0.0,0.10920789491712121,0.07317462979943401,0.1092139338181634,0.07453673912571163,0.13593670122905377,0.08434941298087825,0.0,0.08975422536979692,0.1435308688908167,0.0
5,2014-01-13,"[0.         0.09080362 0.08948413 0.         0.1092143  0.07323304
 0.10919718 0.07447288 0.13594127 0.08437749 0.         0.08976285
 0.14351324]",0.9890183107890336,0.9892397213820673,0.09080361922343501,0.08948413282648468,0.0,0.10921429548221549,0.07323303559820463,0.10919718167824688,0.07447287631493343,0.13594127420060864,0.08437749145032429,0.0,0.08976284840277453,0.14351324482277256,0.0
6,2014-01-14,"[0.         0.09081625 0.08947275 0.         0.10920668 0.07323292
 0.10919986 0.07447395 0.13593562 0.08438314 0.         0.08976228
 0.14351655]",0.9848263744537925,0.9889771870272601,0.09081625009361068,0.08947275495159045,0.0,0.10920668119079435,0.07323292276062718,0.10919985894160614,0.07447395253112511,0.13593561544899058,0.08438313936380477,0.0,0.08976227623682924,0.1435165484810214,0.0
7,2014-01-15,"[0.         0.09081366 0.08948001 0.         0.10923207 0.07312481
 0.10923364 0.07458269 0.135927   0.08431219 0.         0.08975844
 0.1435355 ]",0.9864968107839162,0.9896003517818804,0.09081365705253237,0.08948000630066409,0.0,0.1092320720895865,0.07312481405507112,0.10923363820469187,0.07458268887315186,0.13592699567356242,0.08431218636215752,0.0,0.08975843992117113,0.14353550146741112,0.0
8,2014-01-16,"[0.         0.09086966 0.08947096 0.         0.10925364 0.07266137
 0.10939039 0.07507308 0.13586799 0.084064   0.         0.08972387
 0.14362503]",1.0007927767095368,1.0006141347859785,0.09086965985824037,0.0894709645589895,0.0,0.10925364395694553,0.07266137429412908,0.10939038608718347,0.07507308009826263,0.13586798906833308,0.08406400278934154,0.0,0.08972387259130118,0.1436250266972735,0.0
9,2014-01-17,"[0.         0.09092022 0.08945485 0.         0.10924274 0.07239136
 0.10949296 0.07536687 0.13581524 0.08393461 0.         0.08970358
 0.14367757]",1.005795293034478,1.003229934335318,0.09092021905469405,0.08945485458873285,0.0,0.10924273989316119,0.07239135606774903,0.10949295961767896,0.07536686885352165,0.13581524319719424,0.08393461200433672,0.0,0.08970357727536231,0.14367756944756913,0.0
10,2014-01-21,"[0.         0.09089663 0.08946478 0.         0.10925778 0.07245925
 0.10946828 0.07528915 0.1358321  0.08395193 0.         0.08970555
 0.14367456]",1.0030426333024716,0.9980662654448159,0.09089663133205798,0.08946477702782606,0.0,0.1092577801607938,0.07245924731247086,0.10946827687091112,0.07528914907966797,0.1358320960378863,0.08395192909689199,0.0,0.08970554825415294,0.14367456482734106,0.0
11,2014-01-22,"[0.         0.09087638 0.08947163 0.         0.10928184 0.07247251
 0.10946142 0.0752693  0.1358441  0.08393777 0.         0.08970519
 0.14367985]",1.0006833759667704,0.9979703866836673,0.09087638038999261,0.08947163479870655,0.0,0.10928184462810601,0.07247251015308606,0.1094614221191667,0.07526929958292812,0.13584410126548885,0.08393776814040901,0.0,0.08970518507645772,0.1436798538456584,0.0
12,2014-01-23,"[0.         0.09087153 0.0894829  0.         0.10930663 0.07234179
 0.10950251 0.07540427 0.13583581 0.08385279 0.         0.08969653
 0.14370524]",1.0125796381528775,1.003827284508272,0.09087153261384712,0.08948290029214936,0.0,0.10930662550305967,0.0723417943164751,0.1095025058815901,0.07540427091053159,0.1358358075707389,0.08385279344371367,0.0,0.08969652981361896,0.1437052396542756,0.0
