,Date,Weights,Profit,Base Profit,Volume,MRCY,AVX,HUBB,IIN,FLS,GGG,ITT,IEX,HDSN,LAWS,KAMN,WLFC,cash
0,2014-01-06,"[0.10273903 0.         0.12041134 0.1091041  0.11837798 0.1068558
 0.         0.11380938 0.         0.10424763 0.11072964 0.11372511
 0.        ]",0.9999999999910273,0.9999999999917251,0.897260967217426,0.0,0.12041134265978963,0.10910409540033889,0.11837797613892115,0.10685579729732142,0.0,0.11380937718260627,0.0,0.10424762887634421,0.11072964150726222,0.11372510815484214,0.0,0.102739032782574
1,2014-01-07,"[0.         0.         0.13532785 0.12151741 0.13231928 0.11867995
 0.         0.12700356 0.         0.11507215 0.12322811 0.12685169
 0.        ]",1.01629548678298,1.0096358455419878,0.10273903278165214,0.0,0.13532785343163103,0.12151740865568116,0.13231927614496303,0.11867994797116053,0.0,0.12700355776836442,0.0,0.11507215492241672,0.12322811211276856,0.12685168899301458,0.0,0.0
2,2014-01-08,"[0.         0.         0.13532533 0.12138209 0.13315617 0.11848646
 0.         0.12687706 0.         0.11466616 0.12347363 0.12663309
 0.        ]",1.0170746354423212,1.0075677360245303,0.012921148633201726,0.0,0.1353253301707167,0.12138209125808395,0.13315617037178515,0.11848646083795349,0.0,0.12687705835212168,0.0,0.11466616331040325,0.12347363297947508,0.12663309271946072,0.0,0.0
3,2014-01-09,"[0.         0.         0.13556805 0.12139537 0.13277477 0.11829399
 0.         0.1269683  0.         0.1150088  0.12336014 0.12663058
 0.        ]",1.0175880217328017,1.0088838466843078,0.01355335526521056,0.0,0.1355680526292415,0.12139537478173217,0.1327747716182566,0.11829398931060263,0.0,0.12696829821910877,0.0,0.11500879780306877,0.12336013601073241,0.12663057962725727,0.0,0.0
4,2014-01-10,"[0.         0.         0.13568358 0.12168233 0.13217487 0.1185364
 0.         0.12721394 0.         0.11489161 0.1228819  0.12693537
 0.        ]",1.0198165299144217,1.0118863524774213,0.006113208317396375,0.0,0.13568358359436222,0.12168232872792266,0.132174870794021,0.11853640262523862,0.0,0.12721394098826397,0.0,0.11489160800722445,0.12288189726544418,0.12693536799752297,0.0,0.0
5,2014-01-13,"[0.         0.         0.13583828 0.12172474 0.1317149  0.11817517
 0.         0.12747233 0.         0.11496467 0.12321009 0.12689983
 0.        ]",1.0296417370411066,1.0177139687724248,0.014399690894911076,0.0,0.13583827583655186,0.12172474042251825,0.1317149006223472,0.11817516651303557,0.0,0.1274723251076473,0.0,0.11496466507486473,0.12321009219271123,0.126899834230324,0.0,0.0
6,2014-01-14,"[0.         0.         0.13544824 0.12123174 0.13259313 0.11816928
 0.         0.12722877 0.         0.1145166  0.12399229 0.12681995
 0.        ]",1.0364371666509353,1.021616965853623,0.014715588972494944,0.0,0.13544824032899624,0.12123174102206628,0.13259312592910197,0.11816927973352548,0.0,0.1272287730776421,0.0,0.11451659931194015,0.12399228677726193,0.1268199538194658,0.0,0.0
7,2014-01-15,"[0.         0.         0.1354186  0.12087626 0.13354723 0.11803067
 0.         0.12741407 0.         0.11458702 0.12341924 0.12670692
 0.        ]",1.0337112544972547,1.0187420827271192,0.01185555419454875,0.0,0.13541860105218437,0.12087625755238722,0.13354722585298134,0.1180306674906124,0.0,0.12741406854625378,0.0,0.1145870178745414,0.12341924279151109,0.12670691883952848,0.0,0.0
8,2014-01-16,"[0.         0.         0.13564378 0.1207809  0.13268289 0.11826078
 0.         0.12723958 0.         0.11448836 0.12355861 0.1273451
 0.        ]",1.0415331442862108,1.0276773004966868,0.010408416175887334,0.0,0.13564377891583343,0.12078090020950047,0.1326828942571978,0.11826077955716367,0.0,0.12723957640376882,0.0,0.11448836165482071,0.12355860654256057,0.12734510245915454,0.0,0.0
9,2014-01-17,"[0.         0.         0.13563335 0.12069588 0.13348919 0.11825966
 0.         0.12716338 0.         0.11529885 0.12257971 0.12687998
 0.        ]",1.0551853913232925,1.037690379455969,0.014301857345177981,0.0,0.13563335187772727,0.12069588245941613,0.13348919248791943,0.11825965590998182,0.0,0.12716337799086233,0.0,0.1152988521016989,0.12257970834695148,0.1268799788254427,0.0,0.0
10,2014-01-21,"[0.         0.         0.13547485 0.12054757 0.13290407 0.11817886
 0.         0.12710076 0.         0.11452755 0.12450078 0.12676555
 0.        ]",1.0522377828473901,1.0362482463064624,0.014652863693235563,0.0,0.13547484805808013,0.12054757284506788,0.13290407284486433,0.11817886423393396,0.0,0.1271007611078071,0.0,0.11452754607853745,0.12450078028312257,0.1267655545485866,0.0,0.0
11,2014-01-22,"[0.         0.         0.13518419 0.12055164 0.13333653 0.11839176
 0.         0.1269316  0.         0.11449776 0.1240955  0.12701102
 0.        ]",1.064739710500824,1.0450607854684042,0.011185663583401189,0.0,0.13518419340696378,0.12055164092545016,0.13333653393723902,0.11839175539454998,0.0,0.12693159877784355,0.0,0.11449775743444794,0.12409550257817142,0.12701101754533417,0.0,0.0
12,2014-01-23,"[0.         0.         0.13516    0.12026083 0.13381161 0.11822208
 0.         0.12699462 0.         0.11477402 0.12398182 0.12679502
 0.        ]",1.0709259831071654,1.047029079517533,0.010114903126029789,0.0,0.13515999903513143,0.12026083159122763,0.13381161159735683,0.11822207562245275,0.0,0.1269946154304021,0.0,0.11477402056690392,0.12398182208339227,0.12679502407313314,0.0,0.0
