,Date,Weights,Profit,Base Profit,JACK,EAT,MCD,PZZA,HUBB,MRCY,IIN,AVX,PMD,AMS,LH,DGX,cash
17,2014-01-30,"[0.         0.30633209 0.         0.31305357 0.         0.
 0.163773   0.         0.         0.         0.         0.21684133
 0.        ]",1.0042959241358136,1.0347861640932403,0.30633209437390363,0.0,0.31305356781431715,0.0,0.0,0.1637730044286834,0.0,0.0,0.0,0.0,0.21684133338309586,0.0,0.0
18,2014-01-31,"[0.         0.30681905 0.         0.31292497 0.         0.
 0.16365853 0.         0.         0.         0.         0.21659746
 0.        ]",0.9948653633640665,1.0279176886471613,0.30681905069035126,0.0,0.3129249654502507,0.0,0.0,0.16365852643006865,0.0,0.0,0.0,0.0,0.21659745742932934,0.0,0.0
19,2014-02-03,"[0.         0.30624119 0.         0.31315863 0.         0.
 0.16361522 0.         0.         0.         0.         0.21698496
 0.        ]",0.9837682366190809,1.0206768945841902,0.3062411866392269,0.0,0.3131586303868484,0.0,0.0,0.1636152231741572,0.0,0.0,0.0,0.0,0.21698495979976756,0.0,0.0
20,2014-02-04,"[0.         0.30595553 0.         0.31328123 0.         0.
 0.16358464 0.         0.         0.         0.         0.2171786
 0.        ]",0.9947613954982433,1.0269990715035664,0.3059555342888376,0.0,0.3132812250589892,0.0,0.0,0.16358464313417628,0.0,0.0,0.0,0.0,0.21717859751799712,0.0,0.0
21,2014-02-05,"[0.         0.30572185 0.         0.31331414 0.         0.
 0.16345204 0.         0.         0.         0.         0.21751197
 0.        ]",0.9759871899095565,1.0099599155793269,0.3057218542289358,0.0,0.3133141360409762,0.0,0.0,0.1634520395715091,0.0,0.0,0.0,0.0,0.21751197015857904,0.0,0.0
22,2014-02-06,"[0.         0.30540678 0.         0.3134738  0.         0.
 0.16345964 0.         0.         0.         0.         0.21765978
 0.        ]",0.9766626641424428,1.021067067230162,0.3054067761812924,0.0,0.31347380257771945,0.0,0.0,0.1634596420549641,0.0,0.0,0.0,0.0,0.21765977918602408,0.0,0.0
23,2014-02-07,"[0.         0.30561521 0.         0.31344513 0.         0.
 0.16350777 0.         0.         0.         0.         0.21743189
 0.        ]",0.9829486382504713,1.0129989691900325,0.30561521196117747,0.0,0.31344512689243725,0.0,0.0,0.1635077722753578,0.0,0.0,0.0,0.0,0.21743188887102738,0.0,0.0
24,2014-02-10,"[0.         0.30536818 0.         0.31355866 0.         0.
 0.16358807 0.         0.         0.         0.         0.2174851
 0.        ]",0.9889217552285338,1.0276265236561901,0.30536817809106787,0.0,0.3135586573734645,0.0,0.0,0.16358806692994884,0.0,0.0,0.0,0.0,0.21748509760551887,0.0,0.0
25,2014-02-11,"[0.         0.30323971 0.         0.31456791 0.         0.
 0.16376979 0.         0.         0.         0.         0.21842259
 0.        ]",1.0019441963449356,1.0325712553744368,0.3032397129539315,0.0,0.31456790540582436,0.0,0.0,0.16376979329934327,0.0,0.0,0.0,0.0,0.21842258834090086,0.0,0.0
26,2014-02-12,"[0.         0.30314672 0.         0.3147248  0.         0.
 0.16391758 0.         0.         0.         0.         0.21821089
 0.        ]",1.0057329194873572,1.04111704034824,0.30314672497331746,0.0,0.3147247969975215,0.0,0.0,0.16391758394074868,0.0,0.0,0.0,0.0,0.21821089408841224,0.0,0.0
27,2014-02-13,"[0.         0.30278387 0.         0.31495763 0.         0.
 0.16395233 0.         0.         0.         0.         0.21830616
 0.        ]",1.0154029366047537,1.0490503650992256,0.3027838724712275,0.0,0.3149576306728026,0.0,0.0,0.16395233473189683,0.0,0.0,0.0,0.0,0.2183061621240732,0.0,0.0
28,2014-02-14,"[0.         0.30332784 0.         0.31476922 0.         0.
 0.16394606 0.         0.         0.         0.         0.21795689
 0.        ]",0.9992572189780216,1.0372630842081194,0.3033278352471645,0.0,0.31476922218312664,0.0,0.0,0.1639460554066912,0.0,0.0,0.0,0.0,0.21795688716301775,0.0,0.0
29,2014-02-18,"[0.         0.30384734 0.         0.31461633 0.         0.
 0.1640642  0.         0.         0.         0.         0.21747213
 0.        ]",1.0185456621979514,1.0526078908541556,0.30384733672893766,0.0,0.3146163262894253,0.0,0.0,0.16406420407004949,0.0,0.0,0.0,0.0,0.21747213291158746,0.0,0.0
30,2014-02-19,"[0.         0.25452388 0.         0.32693315 0.         0.
 0.15202527 0.         0.         0.         0.         0.26651769
 0.        ]",1.0251921419808876,1.0611769477872708,0.2545238805514376,0.0,0.32693315456331745,0.0,0.0,0.15202527320775025,0.0,0.0,0.0,0.0,0.26651769167749484,0.0,0.0
31,2014-02-20,"[0.         0.25680837 0.         0.32385659 0.         0.
 0.1512743  0.         0.         0.         0.         0.26806074
 0.        ]",1.0294940229673772,1.0568569977564446,0.25680837435319764,0.0,0.3238565891570859,0.0,0.0,0.15127429737092904,0.0,0.0,0.0,0.0,0.26806073911878747,0.0,0.0
32,2014-02-21,"[0.         0.25735317 0.         0.32293419 0.         0.
 0.15121245 0.         0.         0.         0.         0.26850019
 0.        ]",1.0343178398230664,1.064888965093708,0.2573531740722984,0.0,0.3229341866981443,0.0,0.0,0.1512124500665406,0.0,0.0,0.0,0.0,0.2685001891630166,0.0,0.0
