,Date,Weights,Profit,Base Profit,CTO,TRC,FRPH,CIGI,FLEX,CTS,SANM,IEC,CLB,ENSV,RES,HLX,cash
0,2014-01-06,"[0.0856066  0.         0.08870346 0.         0.10238269 0.09270082
 0.12976435 0.13209722 0.09720138 0.         0.17998082 0.09156266
 0.        ]",0.9999999999908561,0.9999999999917246,0.0,0.08870346244156768,0.0,0.10238268749959076,0.09270081728092203,0.12976434931767986,0.1320972245746703,0.09720137852228325,0.0,0.17998081765918605,0.09156266219832299,0.0,0.08560660050577726
1,2014-01-07,"[0.         0.         0.0938828  0.         0.10943789 0.09868959
 0.14273862 0.14628594 0.10326019 0.         0.20872195 0.09698303
 0.        ]",1.010860166229756,1.0056639960512153,0.0,0.09388280171964336,0.0,0.10943788556192051,0.09868958962172651,0.1427386224168189,0.14628593648808794,0.10326018711388288,0.0,0.208721949393158,0.09698302768476195,0.0,0.0
2,2014-01-08,"[0.         0.         0.09301097 0.         0.10908285 0.09781278
 0.14287559 0.14606562 0.10287541 0.         0.21188066 0.0963961
 0.        ]",1.0137486876166335,1.002789162798675,0.0,0.0930109747408683,0.0,0.10908285341213086,0.09781277877704846,0.14287559430298497,0.1460656222066398,0.10287541421233654,0.0,0.21188065813768633,0.09639610421030477,0.0,0.0
3,2014-01-09,"[0.         0.         0.09281183 0.         0.10915967 0.09757388
 0.1429468  0.14572432 0.10300928 0.         0.21237504 0.0963992
 0.        ]",1.0141250624277807,1.0045988259490168,0.0,0.09281182682188005,0.0,0.10915966747138373,0.09757387772173998,0.1429467955202104,0.14572432085593612,0.10300927721841019,0.0,0.2123750379847671,0.09639919640567245,0.0,0.0
4,2014-01-10,"[0.         0.         0.09264344 0.         0.10901199 0.09762746
 0.14301748 0.14567638 0.10300831 0.         0.21259582 0.09641913
 0.        ]",1.0337092196975204,1.0082931694543245,0.0,0.09264343557421877,0.0,0.10901198959667788,0.0976274648626172,0.14301747792403283,0.14567637919359497,0.10300830720071855,0.0,0.21259581606175618,0.09641912958638366,0.0,0.0
5,2014-01-13,"[0.         0.         0.0924927  0.         0.1090729  0.09760015
 0.14309901 0.14546528 0.10313088 0.         0.212624   0.09651508
 0.        ]",1.0203816187326449,1.00244215488561,0.0,0.09249270113134715,0.0,0.10907290380254044,0.0976001512741598,0.14309900998262154,0.14546527973629794,0.10313087824294831,0.0,0.21262399844807126,0.09651507738201359,0.0,0.0
6,2014-01-14,"[0.         0.         0.09236079 0.         0.10933433 0.09747493
 0.14317771 0.14506351 0.10339445 0.         0.21250539 0.09668888
 0.        ]",1.0115769486268253,0.9969450283496595,0.0,0.09236079119196701,0.0,0.10933433256925888,0.09747493376332514,0.1431777117152398,0.145063512012041,0.10339445321774209,0.0,0.21250539040090244,0.09668887512952368,0.0,0.0
7,2014-01-15,"[0.         0.         0.09214058 0.         0.10989669 0.09679503
 0.14428577 0.14384229 0.1041178  0.         0.21184986 0.09707198
 0.        ]",1.0181968173614917,0.9939758553876423,0.0,0.09214057999340446,0.0,0.10989669231198763,0.09679502868773149,0.14428576650768762,0.14384229269157064,0.10411780237152236,0.0,0.2118498583989861,0.09707197903710969,0.0,0.0
8,2014-01-16,"[0.         0.         0.09234454 0.         0.10897771 0.09605426
 0.14651723 0.14488744 0.10321764 0.         0.211724   0.09627718
 0.        ]",1.016686524856535,0.9970450667506667,0.0,0.09234453693167433,0.0,0.10897771336061529,0.09605426164653168,0.14651723088559873,0.14488744050342311,0.10321764161756393,0.0,0.21172399566936234,0.0962771793852307,0.0,0.0
9,2014-01-17,"[0.         0.         0.08935478 0.         0.09069748 0.0913225
 0.13464397 0.14528982 0.08620817 0.08293775 0.19803399 0.08151153
 0.        ]",1.0279103324183991,1.0071420531974558,0.0,0.08935478060230694,0.0,0.09069748051602435,0.0913225009871158,0.1346439712200288,0.14528981896976967,0.08620817224158739,0.08293775007606673,0.1980339927211087,0.08151153266599151,0.0,0.0
10,2014-01-21,"[0.         0.         0.09019811 0.         0.09438648 0.09471717
 0.12609994 0.14257168 0.08712868 0.08123011 0.19768012 0.0859877
 0.        ]",1.0472341330622528,1.0135233672784123,0.0,0.09019811160630076,0.0,0.09438648247557888,0.09471717174626473,0.12609993904354563,0.14257168150893595,0.0871286840312285,0.08123011151906613,0.19768011806045668,0.08598770000862264,0.0,0.0
11,2014-01-22,"[0.         0.         0.0897467  0.         0.09786037 0.09337511
 0.12626391 0.13977295 0.0896172  0.07972027 0.19635676 0.08728672
 0.        ]",1.0451195796447674,1.0137264506155605,0.0,0.08974670163984166,0.0,0.09786036769439596,0.09337511388000456,0.12626390612850222,0.1397729500257976,0.08961720479992089,0.07972027259217981,0.19635675906299963,0.08728672417635763,0.0,0.0
12,2014-01-23,"[0.         0.         0.08832112 0.         0.09924843 0.09240326
 0.12738564 0.13798677 0.09158055 0.07929272 0.19583341 0.08794809
 0.        ]",1.0487795797909705,1.0155892699296578,0.0,0.08832111653770228,0.0,0.09924843302841356,0.0924032578965834,0.12738564173388323,0.13798676611838817,0.09158055380522187,0.07929272339831693,0.1958334135713723,0.08794809391011839,0.0,0.0
13,2014-01-24,"[0.         0.         0.08736741 0.         0.09931951 0.09182255
 0.12847312 0.13706739 0.09246672 0.07990023 0.1954974  0.08808568
 0.        ]",1.060477075278925,1.0208792163285765,0.0,0.08736741412069637,0.0,0.09931950554005972,0.09182254998335913,0.1284731159391147,0.13706739166096546,0.09246671634064198,0.07990022610827308,0.19549739856277037,0.08808568174411914,0.0,0.0
