,Date,Weights,Profit,Base Profit,STKL,PYX,ANDE,UVV,PKI,WAT,BIO,COHR,NBIX,TECH,TTNP,BCRX,cash
0,2014-01-06,"[0.10347598 0.         0.         0.         0.16233296 0.
 0.         0.23524645 0.         0.13715597 0.2354936  0.
 0.12629505]",0.9999999999910347,0.9999999999917246,0.0,0.0,0.0,0.16233295594312636,0.0,0.0,0.23524644728631386,0.0,0.13715596618830947,0.23549359873947612,0.0,0.12629505396293444,0.1034759778798396
1,2014-01-07,"[0.         0.         0.         0.08743133 0.16024603 0.
 0.         0.24996252 0.         0.13160378 0.25057566 0.
 0.12018069]",1.010320452740252,1.012043263877325,0.0,0.0,0.08743132513243974,0.16024602709285074,0.0,0.0,0.24996252298128788,0.0,0.13160378266290224,0.2505756570948625,0.0,0.12018068503565689,0.0
2,2014-01-08,"[0.         0.         0.         0.09402485 0.15779041 0.
 0.         0.25006937 0.         0.12912977 0.25101862 0.
 0.11796698]",1.0938474022815963,1.052298160042916,0.0,0.0,0.09402484654981243,0.15779040995699148,0.0,0.0,0.25006937290628256,0.0,0.1291297653101772,0.2510186204328416,0.0,0.11796698484389473,0.0
3,2014-01-09,"[0.         0.         0.         0.09439505 0.15748148 0.
 0.         0.25016901 0.         0.12898584 0.25104109 0.
 0.11792753]",1.1186125087068517,1.0690695455929926,0.0,0.0,0.09439505443443456,0.15748147561540693,0.0,0.0,0.2501690141855153,0.0,0.12898583860326596,0.2510410892965442,0.0,0.11792752786483296,0.0
4,2014-01-10,"[0.         0.         0.         0.09434121 0.15726468 0.
 0.         0.25030009 0.         0.12901359 0.25113758 0.
 0.11794285]",1.1369569010048615,1.080125120892908,0.0,0.0,0.09434121258888124,0.15726467504840946,0.0,0.0,0.2503000899471712,0.0,0.1290135897380925,0.25113758110403095,0.0,0.11794285157341458,0.0
5,2014-01-13,"[0.         0.         0.         0.09426128 0.15745975 0.
 0.         0.25034773 0.         0.12910826 0.25095201 0.
 0.11787097]",1.1535090138433608,1.088702889305326,0.0,0.0,0.09426128113883915,0.15745974919543343,0.0,0.0,0.2503477277684514,0.0,0.1291082574281091,0.2509520129732164,0.0,0.11787097149595056,0.0
6,2014-01-14,"[0.         0.         0.         0.09424444 0.15790948 0.
 0.         0.25037282 0.         0.12923748 0.25047561 0.
 0.11776016]",1.1608733278364212,1.0940839208638955,0.0,0.0,0.09424444004501036,0.15790947726209198,0.0,0.0,0.25037282480940737,0.0,0.12923748129080534,0.2504756116537081,0.0,0.11776016493897704,0.0
7,2014-01-15,"[0.         0.         0.         0.09433479 0.15790248 0.
 0.         0.2503409  0.         0.12917554 0.25048954 0.
 0.11775674]",1.153910194421934,1.087002219572015,0.0,0.0,0.09433478999095407,0.15790247977991942,0.0,0.0,0.25034090429666395,0.0,0.12917553861023284,0.2504895436297514,0.0,0.11775674369247835,0.0
8,2014-01-16,"[0.         0.         0.         0.09435637 0.15793835 0.
 0.         0.2502727  0.         0.12917031 0.25046752 0.
 0.11779475]",1.1867161648273923,1.1098297416418132,0.0,0.0,0.09435636947466484,0.15793835029178965,0.0,0.0,0.25027270283887026,0.0,0.12917030692553796,0.2504675218189613,0.0,0.117794748650176,0.0
9,2014-01-17,"[0.         0.         0.         0.09437092 0.15764054 0.
 0.         0.25032149 0.         0.1291307  0.25066417 0.
 0.11787218]",1.1733912978261605,1.1026347412504947,0.0,0.0,0.09437092327240856,0.15764053512505155,0.0,0.0,0.2503214916689585,0.0,0.12913069882407857,0.25066417011745723,0.0,0.11787218099204566,0.0
