,Date,Weights,Profit,Base Profit,Volume,MTH,BZH,PHM,NVR,HUBB,IIN,MRCY,AVX,BIO,PKI,COHR,WAT,cash
0,2014-01-06,"[0.096071   0.         0.08857379 0.11274676 0.08654067 0.0994949
 0.09090288 0.13767162 0.10561369 0.0921865  0.09019819 0.
 0.        ]",0.9999999999909611,0.9999999999917251,0.9039290048408909,0.0,0.08857379149173483,0.11274676100093303,0.08654067031277167,0.0994949029935963,0.09090287813230799,0.13767161931698996,0.10561368769823244,0.09218650152791848,0.09019819236640625,0.0,0.0,0.0960709951591092
1,2014-01-07,"[0.         0.         0.09690294 0.1263253  0.09439874 0.11004283
 0.09890388 0.15752131 0.11690019 0.10103661 0.0979682  0.
 0.        ]",1.0056517763076585,1.004487598652947,0.09607099515824112,0.0,0.09690293986896129,0.12632529727528444,0.0943987435136553,0.11004282947550807,0.09890388013461751,0.15752130693364433,0.11690018853736896,0.10103661139355735,0.09796820286740279,0.0,0.0,0.0
2,2014-01-08,"[0.         0.         0.09624568 0.12623128 0.09377305 0.10977329
 0.09930092 0.15875823 0.11713776 0.10068197 0.09809782 0.
 0.        ]",1.0039209132668272,1.004233495875322,0.01137137875598316,0.0,0.09624568270430006,0.12623128380320126,0.09377305239858258,0.10977328748193033,0.09930091586158028,0.1587582267374962,0.11713775926135105,0.1006819745526538,0.09809781719890434,0.0,0.0,0.0
3,2014-01-09,"[0.         0.         0.09652675 0.12673245 0.09420971 0.10999359
 0.09864944 0.15893264 0.11676    0.10080363 0.0973918  0.
 0.        ]",0.9965556805408687,0.9999489830952728,0.00847824033046297,0.0,0.09652674567210527,0.12673244654882,0.09420970651145431,0.10999358878930612,0.09864944005154926,0.15893264361554116,0.11675999874020045,0.10080362886294349,0.09739180120808015,0.0,0.0,0.0
4,2014-01-10,"[0.         0.         0.09644167 0.12664739 0.09424376 0.11042333
 0.09820607 0.15918839 0.11665619 0.10093846 0.09725473 0.
 0.        ]",1.0037295551052359,1.005331082765968,0.013618986572649506,0.0,0.09644167169733614,0.12664739214457255,0.09424376453086056,0.11042332899097888,0.09820607197618708,0.15918839326568213,0.11665618577857269,0.10093846114871567,0.0972547304670943,0.0,0.0,0.0
5,2014-01-13,"[0.         0.         0.09699755 0.12732854 0.09444336 0.11064497
 0.09756311 0.1588532  0.11644721 0.10080882 0.09691325 0.
 0.        ]",1.0098013360652864,1.0079394618309152,0.011347703612061538,0.0,0.09699754796970478,0.12732854283769882,0.09444335975173514,0.11064496873860905,0.09756310513410882,0.158853199868408,0.11644720574244624,0.10080882085539357,0.09691324910189565,0.0,0.0,0.0
6,2014-01-14,"[0.         0.         0.09677183 0.12669222 0.09425995 0.11046728
 0.09812796 0.15895861 0.11652457 0.10102413 0.09717345 0.
 0.        ]",1.0154486872954103,1.0108523063589403,0.01045024586233677,0.0,0.09677183142911315,0.12669221859090593,0.09425994902677182,0.11046728119522979,0.0981279558904304,0.15895861080783555,0.11652457127191869,0.10102412862225493,0.09717345316553981,0.0,0.0,0.0
7,2014-01-15,"[0.         0.         0.09685816 0.12708843 0.09419762 0.11028446
 0.09851594 0.15880425 0.11645366 0.10087307 0.0969244  0.
 0.        ]",1.0032238561055993,0.9993407833780075,0.011349070479134702,0.0,0.09685816185031436,0.12708843283025267,0.09419762418396747,0.11028446233400611,0.09851593699876521,0.1588042495317695,0.11645366405263992,0.1008730667735945,0.0969244014446904,0.0,0.0,0.0
8,2014-01-16,"[0.         0.         0.09672067 0.12682549 0.09440025 0.11036934
 0.09810305 0.15942272 0.11665421 0.10061576 0.0968885  0.
 0.        ]",1.01819233076355,1.0121641128098322,0.008383525046572388,0.0,0.09672067438247303,0.1268254852749132,0.09440025319942469,0.11036934295445058,0.09810305008343498,0.15942271922297493,0.11665421486322625,0.10061576221330984,0.09688849780579226,0.0,0.0,0.0
9,2014-01-17,"[0.         0.         0.09674131 0.12663027 0.0941965  0.11002511
 0.09853689 0.15951063 0.11656128 0.10064581 0.09715221 0.
 0.        ]",1.0247470602340252,1.0170944723860111,0.009086025714880194,0.0,0.09674130941601898,0.12663026695858426,0.09419649964908683,0.11002510831037568,0.09853688690478477,0.1595106296952876,0.11656127828869672,0.10064580799350702,0.09715221278365799,0.0,0.0,0.0
