,Date,Weights,Profit,Base Profit,Volume,ABT,JNJ,BMY,PFE,BCRX,TECH,NBIX,TTNP,JKHY,STRM,UIS,EBIX,cash
0,2014-01-06,"[0.         0.12230495 0.         0.12937815 0.10608243 0.
 0.15694141 0.         0.12674756 0.         0.10619713 0.10552672
 0.14682166]",1.0000000223417418,0.9999999999900002,1.0000000223517418,0.12230494618415833,0.0,0.12937815487384796,0.10608243197202682,0.0,0.15694141387939453,0.0,0.12674756348133087,0.0,0.10619713366031647,0.10552671551704407,0.14682166278362274,0.0
1,2014-01-07,"[0.         0.12210508 0.         0.12917703 0.10617128 0.
 0.15634887 0.         0.12716974 0.         0.10640807 0.10567405
 0.1469459 ]",1.0101908015010381,1.0150751190216227,0.0019870739743971626,0.12210507690906525,0.0,0.1291770339012146,0.10617128014564514,0.0,0.15634886920452118,0.0,0.12716974318027496,0.0,0.10640807449817657,0.10567405074834824,0.14694589376449585,0.0
2,2014-01-08,"[0.         0.12212788 0.         0.12926015 0.10610867 0.
 0.15648137 0.         0.12706931 0.         0.10642026 0.10562139
 0.14691097]",1.0107624823165093,1.0706735570261003,0.006397899141880235,0.12212787568569183,0.0,0.12926015257835388,0.1061086654663086,0.0,0.15648137032985687,0.0,0.12706930935382843,0.0,0.10642025619745255,0.10562139004468918,0.14691096544265747,0.0
3,2014-01-09,"[0.         0.12195001 0.         0.12885423 0.10655519 0.
 0.15614785 0.         0.12716444 0.         0.10668639 0.10597955
 0.1466623 ]",1.0109606134229525,1.0911607365248843,0.006731518338729991,0.12195000797510147,0.0,0.12885423004627228,0.10655518621206284,0.0,0.15614785254001617,0.0,0.12716443836688995,0.0,0.10668639093637466,0.1059795543551445,0.14666229486465454,0.0
4,2014-01-10,"[0.         0.12192306 0.         0.12882923 0.10657333 0.
 0.1561094  0.         0.12718107 0.         0.10669868 0.1059986
 0.14668669]",1.0213804498462598,1.1086282772616713,0.01350446816528082,0.1219230592250824,0.0,0.128829225897789,0.10657332837581635,0.0,0.15610939264297485,0.0,0.1271810680627823,0.0,0.10669868439435959,0.10599859803915024,0.14668668806552887,0.0
5,2014-01-13,"[0.         0.1220393  0.         0.12901342 0.10644741 0.
 0.15640321 0.         0.12702051 0.         0.10669401 0.10589585
 0.14648627]",1.0177110175079533,1.1135340378459548,0.004625761557738164,0.1220393031835556,0.0,0.12901341915130615,0.10644740611314774,0.0,0.15640321373939514,0.0,0.12702050805091858,0.0,0.10669401288032532,0.10589585453271866,0.14648626744747162,0.0
6,2014-01-14,"[0.         0.12208735 0.         0.12906621 0.10642234 0.
 0.15648425 0.         0.12701035 0.         0.10660853 0.10588489
 0.14643614]",1.0121837009870527,1.1162406283357524,0.01747820078063163,0.12208735197782516,0.0,0.12906621396541595,0.10642234236001968,0.0,0.15648424625396729,0.0,0.12701034545898438,0.0,0.10660853236913681,0.10588488727807999,0.14643613994121552,0.0
7,2014-01-15,"[0.         0.12208106 0.         0.1291729  0.10638037 0.
 0.1565745  0.         0.12696679 0.         0.10660003 0.10585652
 0.14636783]",1.0069411989409394,1.1132836007636138,0.018718351431854335,0.12208105623722076,0.0,0.1291729062795639,0.10638036578893661,0.0,0.15657450258731842,0.0,0.12696678936481476,0.0,0.10660003125667572,0.1058565229177475,0.14636783301830292,0.0
8,2014-01-16,"[0.         0.12200072 0.         0.12905188 0.10647144 0.
 0.15646115 0.         0.12695034 0.         0.10674842 0.1059098
 0.14640628]",1.0259286717756606,1.1468205466839414,0.00866603825043115,0.12200071662664413,0.0,0.12905187904834747,0.10647144168615341,0.0,0.15646114945411682,0.0,0.12695033848285675,0.0,0.10674842447042465,0.1059098020195961,0.14640627801418304,0.0
9,2014-01-17,"[0.         0.12204432 0.         0.12918133 0.10638804 0.
 0.15665248 0.         0.12682904 0.         0.10671283 0.10584506
 0.14634685]",1.012570192749333,1.1260179598918127,0.014746639796410938,0.12204432487487793,0.0,0.12918132543563843,0.10638803988695145,0.0,0.15665248036384583,0.0,0.12682904303073883,0.0,0.10671282559633255,0.10584505647420883,0.14634685218334198,0.0
10,2014-01-21,"[0.         0.12203166 0.         0.12916265 0.10640733 0.
 0.15663464 0.         0.12684223 0.         0.10670678 0.10586885
 0.14634584]",1.0186403495579825,1.1327573267468516,0.01564875232950667,0.12203165888786316,0.0,0.12916265428066254,0.10640732944011688,0.0,0.1566346436738968,0.0,0.12684223055839539,0.0,0.10670677572488785,0.1058688536286354,0.1463458389043808,0.0
11,2014-01-22,"[0.         0.12203293 0.         0.12917824 0.10640757 0.
 0.15662277 0.         0.12687232 0.         0.10668153 0.10587499
 0.14632961]",1.0161768057121776,1.1398752549082465,0.0050251750937992355,0.12203292548656464,0.0,0.1291782408952713,0.10640756785869598,0.0,0.1566227674484253,0.0,0.12687231600284576,0.0,0.10668153315782547,0.10587498545646667,0.1463296115398407,0.0
12,2014-01-23,"[0.         0.12201928 0.         0.12915878 0.10641877 0.
 0.15659097 0.         0.12686525 0.         0.10672441 0.1058572
 0.14636534]",1.0187773143805021,1.1381055718059285,0.004266601188410911,0.12201928347349167,0.0,0.12915877997875214,0.10641876608133316,0.0,0.15659096837043762,0.0,0.12686525285243988,0.0,0.10672441124916077,0.10585720092058182,0.14636534452438354,0.0
