,Date,Weights,Profit,Base Profit,Volume,VSAT,SCON,MSI,BKTI,OSK,PCAR,SPAR,F,PYX,STKL,ANDE,UVV,cash
0,2014-01-06,"[0.09520248 0.11380455 0.11770279 0.095981   0.10944411 0.
 0.         0.09621876 0.         0.13075328 0.14315771 0.09773531
 0.        ]",0.999999999990952,0.9999999999917251,0.9047975199614646,0.11380455015896118,0.11770279022065258,0.0959810045826547,0.1094441123372641,0.0,0.0,0.09621876046885343,0.0,0.13075328315664192,0.14315771383218803,0.09773530520424865,0.0,0.09520248003853544
1,2014-01-07,"[0.         0.12582805 0.13078449 0.10396573 0.1197532  0.
 0.         0.10446284 0.         0.1468797  0.16202855 0.10629744
 0.        ]",1.01125852347602,1.0096491002468833,0.09520248003767398,0.125828050357983,0.13078448826788447,0.10396572785671677,0.11975319911023309,0.0,0.0,0.10446284224759207,0.0,0.14687970163243994,0.16202854799418814,0.10629744253296249,0.0,0.0
2,2014-01-08,"[0.         0.12587358 0.13063498 0.10358001 0.11944977 0.
 0.         0.10389292 0.         0.1482606  0.16244916 0.10585897
 0.        ]",1.0386944771975504,1.022114775686483,0.009624050652683458,0.12587357908053137,0.13063498142565425,0.10358001177126513,0.1194497676478282,0.0,0.0,0.10389291991550263,0.0,0.14826060057923093,0.16244916464983422,0.10585897493015328,0.0,0.0
3,2014-01-09,"[0.         0.12526244 0.13535739 0.10306822 0.11917077 0.
 0.         0.10368019 0.         0.14606931 0.16199961 0.10539207
 0.        ]",1.0240906393350142,1.0143362549517787,0.06404639307516312,0.12526244476518525,0.13535738509429462,0.10306821849165487,0.11917077030523832,0.0,0.0,0.10368019167372503,0.0,0.14606931122079306,0.16199960605932176,0.10539207238978694,0.0,0.0
4,2014-01-10,"[0.         0.12663796 0.13025034 0.10354585 0.11872957 0.
 0.         0.1041366  0.         0.146872   0.16391336 0.10591432
 0.        ]",1.0428146902316315,1.026338037214773,0.029066682470430212,0.1266379600091439,0.13025033679195772,0.10354585404374435,0.11872957120101715,0.0,0.0,0.10413659578921852,0.0,0.14687200234759742,0.16391336294658762,0.10591431687073338,0.0,0.0
5,2014-01-13,"[0.         0.12556051 0.13163391 0.10325796 0.11977912 0.
 0.         0.10390394 0.         0.14671529 0.16377992 0.10536936
 0.        ]",1.0320594822394147,1.0201692993694944,0.025614342082021277,0.12556050789617346,0.13163390717334553,0.1032579606281871,0.11977911546712809,0.0,0.0,0.10390393989796777,0.0,0.1467152897590489,0.1637799241213525,0.10536935505679665,0.0,0.0
6,2014-01-14,"[0.         0.12557432 0.13000941 0.1033954  0.11917822 0.
 0.         0.10414721 0.         0.14793517 0.16399115 0.10576911
 0.        ]",1.018437762749604,1.016186251256113,0.020044371916232304,0.12557432038364044,0.13000940613156273,0.10339540056445194,0.11917822151289546,0.0,0.0,0.10414721478241665,0.0,0.1479351689422209,0.16399115385163598,0.10576911383117599,0.0,0.0
7,2014-01-15,"[0.         0.12604558 0.13113255 0.10328792 0.11928637 0.
 0.         0.10397796 0.         0.14755816 0.16333422 0.10537723
 0.        ]",1.0086218985944502,1.0081512610973766,0.007113690701577857,0.126045578177053,0.13113254904659685,0.10328792489588592,0.11928636953894226,0.0,0.0,0.10397796198131427,0.0,0.14755816002685102,0.16333422400397068,0.10537723232938599,0.0,0.0
8,2014-01-16,"[0.         0.12599423 0.13056065 0.10332823 0.12021753 0.
 0.         0.10369188 0.         0.14790588 0.1627851  0.1055165
 0.        ]",1.0127984124598859,1.0151555408103647,0.01815540361118265,0.1259942317510575,0.13056064545035578,0.10332822561844646,0.12021753490153222,0.0,0.0,0.10369187877284516,0.0,0.14790587993766538,0.16278510174155367,0.10551650182654389,0.0,0.0
9,2014-01-17,"[0.         0.12604935 0.131604   0.10334021 0.11952164 0.
 0.         0.10423551 0.         0.14729744 0.16229221 0.10565963
 0.        ]",1.033928586193595,1.029331226766222,0.012867756141045112,0.12604935110407714,0.13160400433359545,0.10334021070614023,0.1195216446554772,0.0,0.0,0.10423551026245245,0.0,0.14729744335681358,0.1622922079477786,0.1056596276336652,0.0,0.0
