,Date,Weights,Profit,Base Profit,SPAR,OSK,PCAR,F,BIO,COHR,WAT,PKI,MTH,NVR,PHM,BZH,cash
0,2014-01-06,"[0.06529689 0.13502578 0.13837616 0.07279147 0.         0.14649029
 0.0791844  0.         0.14024    0.10828917 0.         0.11430584
 0.        ]",0.9999999999906529,0.9999999999917246,0.13502578282723307,0.13837615945701423,0.07279147401129867,0.0,0.14649028639593878,0.07918440394558024,0.0,0.14023999776830431,0.10828916655790627,0.0,0.11430584148500472,0.0,0.06529688755171956
1,2014-01-07,"[0.         0.14717235 0.15112168 0.0740069  0.         0.15824206
 0.08230551 0.         0.15125616 0.11315678 0.         0.12273855
 0.        ]",1.006106340399978,1.0033524112710093,0.14717235454381547,0.1511216818195271,0.07400689951406042,0.0,0.15824206452324843,0.08230551161028446,0.0,0.15125616151158242,0.11315678128139776,0.0,0.12273854519608406,0.0,0.0
2,2014-01-08,"[0.         0.14770357 0.151697   0.0733169  0.         0.15825485
 0.08196187 0.         0.15159232 0.11251833 0.         0.12295516
 0.        ]",1.0026857039788846,1.001314096630146,0.1477035659756707,0.1516969989003961,0.07331690090779358,0.0,0.1582548545867594,0.08196186587707964,0.0,0.1515923231780871,0.11251833041314487,0.0,0.12295516016106858,0.0,0.0
3,2014-01-09,"[0.         0.14793731 0.15183533 0.07318012 0.         0.15794823
 0.08200207 0.         0.15165246 0.11230955 0.         0.12313493
 0.        ]",1.0036798985837947,0.9978032884909203,0.1479373126909884,0.1518353261195464,0.07318012273501061,0.0,0.15794822957925156,0.08200206692384042,0.0,0.1516524600807792,0.11230955253773833,0.0,0.12313492933284512,0.0,0.0
4,2014-01-10,"[0.         0.14783853 0.15149136 0.07322372 0.         0.15836567
 0.08178273 0.         0.15220483 0.112241   0.         0.12285216
 0.        ]",1.0151328966106767,1.0057989713280988,0.14783853372615505,0.15149136126302443,0.07322371944994165,0.0,0.1583656712028837,0.08178272724273454,0.0,0.15220482969985613,0.11224099598750517,0.0,0.12285216142789937,0.0,0.0
5,2014-01-13,"[0.         0.14776459 0.1512744  0.07317286 0.         0.15877827
 0.08149704 0.         0.15246422 0.11249473 0.         0.12255389
 0.        ]",1.0216885004613725,1.0085898162589375,0.14776459192410552,0.15127440210443638,0.07317286166238189,0.0,0.15877826733054118,0.08149703694058084,0.0,0.15246422443890448,0.11249472806952662,0.0,0.12255388752952306,0.0,0.0
6,2014-01-14,"[0.         0.14787407 0.15132545 0.07342081 0.         0.1592112
 0.08129933 0.         0.15189145 0.11294349 0.         0.12203421
 0.        ]",1.0257356834313485,1.0110055033258114,0.14787407054724894,0.15132544666343406,0.07342080640662994,0.0,0.15921120035167755,0.08129933140414453,0.0,0.15189145057882472,0.11294348896735966,0.0,0.12203420508068058,0.0,0.0
7,2014-01-15,"[0.         0.1480613  0.15133754 0.07345688 0.         0.15923177
 0.08123777 0.         0.15152811 0.11321374 0.         0.12193289
 0.        ]",1.0044848570760458,0.9964923666601027,0.14806129810996893,0.15133753636435038,0.07345688079662022,0.0,0.15923176912569798,0.08123776549119317,0.0,0.15152811313754894,0.11321374227766362,0.0,0.12193289469695666,0.0,0.0
8,2014-01-16,"[0.         0.14814041 0.1513105  0.07341401 0.         0.15946167
 0.08106224 0.         0.15139469 0.11345791 0.         0.12175856
 0.        ]",1.01985518615708,1.0080407090922234,0.1481404087582151,0.15131050021808068,0.07341401116022787,0.0,0.1594616707757517,0.08106224244671291,0.0,0.15139469028907035,0.11345791254434227,0.0,0.12175856380759902,0.0,0.0
9,2014-01-17,"[0.         0.14821645 0.15151089 0.07332961 0.         0.15948367
 0.08102189 0.         0.15092596 0.11374926 0.         0.12176227
 0.        ]",1.021929817060355,1.0115544847345797,0.1482164483451041,0.151510891724044,0.07332961442614662,0.0,0.15948366881019505,0.08102189047589083,0.0,0.15092595927198188,0.11374925897653443,0.0,0.1217622679701031,0.0,0.0
10,2014-01-21,"[0.         0.14819425 0.15139537 0.07337107 0.         0.1594505
 0.08106055 0.         0.15116418 0.1135706  0.         0.12179348
 0.        ]",1.0271310249520158,1.015755241438806,0.14819424702262274,0.15139536954780317,0.07337107137200026,0.0,0.15945049727031785,0.08106055098455515,0.0,0.1511641784626133,0.11357060448682683,0.0,0.1217934808532607,0.0,0.0
11,2014-01-22,"[0.         0.14820974 0.15147107 0.07332842 0.         0.15914779
 0.08122065 0.         0.15121502 0.11337561 0.         0.1220317
 0.        ]",1.0318580503759698,1.0199403319944629,0.1482097364752563,0.151471070020674,0.07332841770588006,0.0,0.1591477923847931,0.08122065042726358,0.0,0.1512150184590437,0.11337560966841743,0.0,0.12203170485867178,0.0,0.0
12,2014-01-23,"[0.         0.14835356 0.15182206 0.07326382 0.         0.1589209
 0.08135125 0.         0.15062317 0.11344081 0.         0.12222443
 0.        ]",1.025642830711718,1.0161645787238955,0.14835356205521663,0.15182205896056652,0.07326382214300468,0.0,0.1589208950688273,0.08135124520948743,0.0,0.15062317176939743,0.11344081127183853,0.0,0.1222244335216614,0.0,0.0
13,2014-01-24,"[0.         0.14822048 0.15172917 0.07330623 0.         0.15926052
 0.08121075 0.         0.150712   0.11354295 0.         0.1220179
 0.        ]",1.0233827923147454,1.0152005183723534,0.14822047720505496,0.15172917264292582,0.07330623134518326,0.0,0.159260522353201,0.08121074716999457,0.0,0.1507119998042132,0.11354294836189686,0.0,0.12201790111753023,0.0,0.0
