,Date,Weights,Profit,Base Profit,Volume,UVV,STKL,PYX,ANDE,UMBF,C,TCF,JPM,PHM,MTH,NVR,BZH,cash
0,2014-01-06,"[0.07857406 0.07887701 0.07726863 0.0760582  0.07847898 0.07723907
 0.0760791  0.0761729  0.07748476 0.07432942 0.076907   0.07690118
 0.07562973]",0.9998157520508659,0.9998000000000002,0.9214259758591652,0.07887700945138931,0.07726863026618958,0.07605820149183273,0.07847897708415985,0.07723906636238098,0.0760791003704071,0.07617290318012238,0.07748475670814514,0.0743294209241867,0.07690700143575668,0.07690117508172989,0.07562973350286484,0.07857406139373779
1,2014-01-07,"[0.07819219 0.0783034  0.0776941  0.07593906 0.07903385 0.07749399
 0.07627904 0.07623945 0.07685649 0.0746816  0.07754732 0.07626499
 0.07547449]",1.0068365434792454,1.0074043325862174,0.004605858302044134,0.07830339670181274,0.07769409567117691,0.07593905925750732,0.07903385162353516,0.07749398797750473,0.07627904415130615,0.0762394517660141,0.07685648649930954,0.0746816024184227,0.07754731923341751,0.07626499235630035,0.07547449320554733,0.07819218933582306
2,2014-01-08,"[0.07820274 0.07832121 0.07770891 0.07593445 0.07903735 0.07749281
 0.07627523 0.07622584 0.0768735  0.07467868 0.07753826 0.07624681
 0.07546423]",0.9988040290863373,0.9986079198363069,0.010413892969634533,0.07832121104001999,0.0777089074254036,0.07593444734811783,0.07903735339641571,0.07749281078577042,0.07627522945404053,0.07622583955526352,0.07687349617481232,0.0746786817908287,0.07753825932741165,0.07624681293964386,0.07546423375606537,0.0782027393579483
3,2014-01-09,"[0.07813158 0.07829709 0.07772937 0.07596927 0.07904169 0.07750834
 0.07624559 0.07624476 0.07686988 0.07466597 0.07754748 0.07627983
 0.07546912]",0.9907894983809501,0.9897929690090667,0.010495805181666991,0.07829708606004715,0.07772936671972275,0.07596927136182785,0.07904168963432312,0.0775083377957344,0.07624559104442596,0.07624475657939911,0.07686987519264221,0.07466597110033035,0.07754747569561005,0.07627983391284943,0.07546912133693695,0.07813157886266708
4,2014-01-10,"[0.07806262 0.07822233 0.0778285  0.07603375 0.07899027 0.0774948
 0.07624791 0.07622118 0.07685805 0.07469165 0.07752452 0.07631625
 0.07550815]",0.9972282361357717,0.9968009804208756,0.01619395268158277,0.07822232693433762,0.07782850414514542,0.07603374868631363,0.07899027317762375,0.0774948000907898,0.07624790817499161,0.07622117549180984,0.0768580511212349,0.07469165325164795,0.07752452045679092,0.07631625235080719,0.07550814747810364,0.07806261628866196
5,2014-01-13,"[0.07805257 0.07819433 0.07785185 0.07606295 0.07897241 0.07750143
 0.07622325 0.07621285 0.07683983 0.0746912  0.0775377  0.07632364
 0.07553597]",0.9977810949695565,0.9974196031986791,0.011432757621969235,0.07819432765245438,0.07785185426473618,0.07606294751167297,0.07897241413593292,0.07750143110752106,0.07622325420379639,0.07621285319328308,0.07683982700109482,0.07469119876623154,0.07753770053386688,0.07632363587617874,0.07553596794605255,0.0780525729060173
6,2014-01-14,"[0.07795572 0.0781034  0.07797386 0.07620225 0.07891472 0.0774803
 0.07616657 0.07617299 0.07682006 0.0746889  0.07749254 0.07637725
 0.07565143]",0.9892654263113473,0.9882828550356804,0.006122402795881507,0.07810340076684952,0.0779738649725914,0.07620225101709366,0.07891472429037094,0.07748030126094818,0.07616657018661499,0.07617299258708954,0.07682006061077118,0.07468889653682709,0.07749254256486893,0.0763772502541542,0.07565142959356308,0.0779557153582573
7,2014-01-15,"[0.07793851 0.07810538 0.07796947 0.07619123 0.0789417  0.07748862
 0.07616766 0.07617936 0.07681445 0.07468226 0.07750379 0.07637412
 0.07564344]",0.9786793648542484,0.9768826442076698,0.007528654225611082,0.0781053826212883,0.07796946913003922,0.07619123160839081,0.0789417028427124,0.07748862355947495,0.07616765797138214,0.07617936283349991,0.0768144503235817,0.07468225806951523,0.07750379294157028,0.0763741210103035,0.07564343512058258,0.077938511967659
8,2014-01-16,"[0.07797586 0.07815582 0.07793137 0.07617694 0.07894395 0.07748115
 0.07616242 0.07617494 0.07684452 0.07467513 0.07748847 0.07636051
 0.07562893]",0.9800911800513401,0.9783093507435072,0.0101320658309867,0.07815582305192947,0.07793136686086655,0.07617694139480591,0.07894394546747208,0.07748115062713623,0.0761624202132225,0.07617493718862534,0.07684452086687088,0.07467512786388397,0.077488474547863,0.07636050879955292,0.07562892884016037,0.07797586172819138
9,2014-01-17,"[0.07792301 0.07810502 0.07797521 0.07624017 0.0789362  0.07747598
 0.07612259 0.07615943 0.07681841 0.07467843 0.07749829 0.0763974
 0.07566987]",0.984492532681122,0.9829132194980068,0.008235091084789568,0.07810501754283905,0.07797521352767944,0.076240174472332,0.07893620431423187,0.07747597992420197,0.07612258940935135,0.07615942507982254,0.07681840658187866,0.07467842847108841,0.07749828696250916,0.07639739662408829,0.07566986978054047,0.0779230147600174
10,2014-01-21,"[0.0779643  0.07813647 0.07791956 0.07622062 0.07892437 0.07747516
 0.07613712 0.07615168 0.0768251  0.07468183 0.07750805 0.07639091
 0.07566486]",0.9871373782283033,0.9855841313103915,0.00968619123908871,0.07813647389411926,0.07791955769062042,0.07622062414884567,0.07892436534166336,0.0774751603603363,0.07613711804151535,0.07615167647600174,0.0768250972032547,0.0746818259358406,0.07750804722309113,0.07639090716838837,0.07566485553979874,0.07796429842710495
