,Date,Weights,Profit,Base Profit,Volume,MSI,VSAT,BKTI,SCON,GL,CIA,FFG,AAME,WLFC,KAMN,HDSN,LAWS,cash
0,2014-01-06,"[0.14426659 0.20023391 0.1782345  0.         0.30916779 0.
 0.         0.1680972  0.         0.         0.         0.
 0.        ]",0.99828853318653,0.998344934881643,0.8557334067350316,0.20023390563553084,0.17823450474459687,0.0,0.30916779247260623,0.0,0.0,0.1680972038822978,0.0,0.0,0.0,0.0,0.0,0.14426659326496824
1,2014-01-07,"[0.         0.22624931 0.19817774 0.         0.39049615 0.
 0.         0.1850768  0.         0.         0.         0.
 0.        ]",1.0037865055073363,1.0029574562282721,0.1434352524051627,0.22624930832591858,0.19817774161388008,0.0,0.39049615214935174,0.0,0.0,0.18507679791084958,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.22170306 0.1931472  0.         0.40473978 0.
 0.         0.18040996 0.         0.         0.         0.
 0.        ]",1.119855389463422,1.02222953895004,0.10505413911723577,0.22170305572866408,0.1931471956375032,0.0,0.40473978380267517,0.0,0.0,0.18040996483115737,0.0,0.0,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.2200196  0.19130467 0.         0.40946927 0.
 0.         0.17920646 0.         0.         0.         0.
 0.        ]",1.093637219917909,1.0128760090768676,0.054981818307111824,0.22001959745913846,0.1913046716620231,0.0,0.40946926831914493,0.0,0.0,0.1792064625596934,0.0,0.0,0.0,0.0,0.0,0.0
4,2014-01-10,"[0.         0.21937748 0.19057362 0.         0.41099035 0.
 0.         0.17905855 0.         0.         0.         0.
 0.        ]",1.123458008711828,1.0247378070620732,0.02812293384194786,0.21937748176208985,0.19057362078612902,0.0,0.41099034719245214,0.0,0.0,0.17905855025932899,0.0,0.0,0.0,0.0,0.0,0.0
5,2014-01-13,"[0.         0.2186734  0.19009498 0.         0.41106607 0.
 0.         0.18016555 0.         0.         0.         0.
 0.        ]",1.0886655352777532,1.0178045418955495,0.03557543323866438,0.2186734024570431,0.19009498154305887,0.0,0.41106606900693826,0.0,0.0,0.18016554699295986,0.0,0.0,0.0,0.0,0.0,0.0
6,2014-01-14,"[0.         0.21844218 0.19006837 0.         0.41094268 0.
 0.         0.18054677 0.         0.         0.         0.
 0.        ]",1.0811312681564256,1.0132880929640318,0.006254805462780094,0.2184421821192732,0.19006837385272493,0.0,0.4109426775506096,0.0,0.0,0.18054676647739232,0.0,0.0,0.0,0.0,0.0,0.0
7,2014-01-15,"[0.         0.2183115  0.19013264 0.         0.41082304 0.
 0.         0.18073283 0.         0.         0.         0.
 0.        ]",1.0554781645525348,1.0110239772637704,0.014694250607632076,0.2183114958402173,0.1901326381265877,0.0,0.4108230375612021,0.0,0.0,0.18073282847199304,0.0,0.0,0.0,0.0,0.0,0.0
8,2014-01-16,"[0.         0.21813423 0.190123   0.         0.41059559 0.
 0.         0.18114718 0.         0.         0.         0.
 0.        ]",1.0761262176007333,1.0167364680732476,0.012999718531103682,0.21813423414917904,0.19012300154884915,0.0,0.4105955860637829,0.0,0.0,0.18114717823818888,0.0,0.0,0.0,0.0,0.0,0.0
9,2014-01-17,"[0.         0.21788194 0.19005432 0.         0.41022998 0.
 0.         0.18183376 0.         0.         0.         0.
 0.        ]",1.1131952433008563,1.0290479636129273,0.039222560802818024,0.21788193602937891,0.19005432047207935,0.0,0.41022997882251283,0.0,0.0,0.181833764676029,0.0,0.0,0.0,0.0,0.0,0.0
10,2014-01-21,"[0.         0.19548776 0.17016036 0.         0.36845557 0.
 0.         0.16371981 0.         0.         0.         0.1021765
 0.        ]",1.0982208600720704,1.0257425667888551,0.20435300219440802,0.19548776117098618,0.1701603565232232,0.0,0.3684555705802909,0.0,0.0,0.1637198106282957,0.0,0.0,0.0,0.10217650109720386,0.0,0.0
11,2014-01-22,"[0.         0.1939789  0.16926969 0.         0.35870239 0.
 0.         0.1631234  0.         0.         0.         0.11492561
 0.        ]",1.0876815336598349,1.0275751487418956,0.027223351027842402,0.19397890392399364,0.16926969337852943,0.0,0.3587023903709861,0.0,0.0,0.16312340080759527,0.0,0.0,0.0,0.11492561151889559,0.0,0.0
12,2014-01-23,"[0.         0.19418474 0.16978696 0.         0.35601356 0.
 0.         0.16343468 0.         0.         0.         0.11658006
 0.        ]",1.0994592982375366,1.0299623043476567,0.04459184034358449,0.19418474104577665,0.16978695606063499,0.0,0.35601356451146104,0.0,0.0,0.16343468206912098,0.0,0.0,0.0,0.11658005631300618,0.0,0.0
13,2014-01-24,"[0.         0.19422994 0.16981326 0.         0.35526161 0.
 0.         0.16372395 0.         0.         0.         0.11697124
 0.        ]",1.0942490160278038,1.0268326078281238,0.012611827267850234,0.1942299441327852,0.1698132588553011,0.0,0.3552616125428324,0.0,0.0,0.16372394826510064,0.0,0.0,0.0,0.11697123620398062,0.0,0.0
14,2014-01-27,"[0.         0.19398583 0.16951152 0.         0.35496218 0.
 0.         0.16426343 0.         0.         0.         0.11727703
 0.        ]",1.0829008586307314,1.0169823744699618,0.010364330162554378,0.19398583458074523,0.1695115214580883,0.0,0.35496218267693713,0.0,0.0,0.16426343007793626,0.0,0.0,0.0,0.11727703120629304,0.0,0.0
15,2014-01-28,"[0.         0.1939952  0.16952023 0.         0.35507496 0.
 0.         0.16415242 0.         0.         0.         0.1172572
 0.        ]",1.0557715888755255,1.0039642851465012,0.03143721191027446,0.19399519545511287,0.16952022839975134,0.0,0.35507495790337634,0.0,0.0,0.16415242016344617,0.0,0.0,0.0,0.11725719807831339,0.0,0.0
