,Date,Weights,Profit,Base Profit,Volume,ENSV,CLB,HLX,RES,MMM,ATRI,CRY,TFX,STKL,PYX,UVV,ANDE,cash
0,2014-01-06,"[0.         0.08207195 0.08282053 0.08555415 0.08310074 0.08206019
 0.0840992  0.085138   0.08337384 0.08253557 0.08138677 0.08091109
 0.086948  ]",0.9998000223428011,0.9998000000000002,1.0000000223517418,0.082071952521801,0.08282053470611572,0.08555414527654648,0.08310074359178543,0.08206018805503845,0.0840991958975792,0.0851380005478859,0.08337383717298508,0.08253557235002518,0.08138676732778549,0.08091108500957489,0.08694799989461899,0.0
1,2014-01-07,"[0.         0.08157123 0.08239659 0.08645867 0.08297213 0.08230557
 0.0837891  0.08540149 0.0833995  0.08224285 0.08116008 0.08116229
 0.08714052]",1.0070083839062343,1.0070623925556268,0.0037648227348841354,0.08157122880220413,0.08239658921957016,0.08645866811275482,0.08297213166952133,0.08230556547641754,0.08378909528255463,0.0854014903306961,0.08339950442314148,0.08224284648895264,0.08116008341312408,0.08116228878498077,0.0871405228972435,0.0
2,2014-01-08,"[0.         0.0815776  0.0824069  0.08645983 0.08296596 0.08229652
 0.08377673 0.08539651 0.08340052 0.08224806 0.0811536  0.08118272
 0.08713508]",0.9989517255913495,0.9988460401170162,0.011982071639390206,0.0815775990486145,0.0824069008231163,0.08645983040332794,0.08296596258878708,0.08229652047157288,0.08377673476934433,0.08539651334285736,0.08340051770210266,0.08224806189537048,0.08115360140800476,0.08118271827697754,0.08713507652282715,0.0
3,2014-01-09,"[0.         0.08157805 0.08242035 0.08645219 0.08295105 0.0822954
 0.08378734 0.08540013 0.08340471 0.08226193 0.08115139 0.08119142
 0.08710601]",0.9986752654390347,0.9984406384328502,0.013096739812119016,0.08157805353403091,0.08242034912109375,0.0864521861076355,0.08295105397701263,0.08229540288448334,0.08378734439611435,0.08540012687444687,0.08340471237897873,0.08226192742586136,0.08115138858556747,0.08119142055511475,0.08710601180791855,0.0
4,2014-01-10,"[0.         0.08165411 0.08237232 0.08640039 0.0829533  0.08232599
 0.08375093 0.08543508 0.0833976  0.08230212 0.08116524 0.0811966
 0.08704628]",1.0032095993440642,1.003665579225509,0.010268977973733972,0.08165410906076431,0.08237232267856598,0.08640038967132568,0.08295329660177231,0.0823259949684143,0.08375092595815659,0.08543507754802704,0.08339760452508926,0.08230212330818176,0.08116523921489716,0.08119659870862961,0.08704628050327301,0.0
5,2014-01-13,"[0.         0.08159982 0.08231834 0.08641928 0.08301408 0.08240306
 0.08373976 0.08546235 0.08337615 0.08221474 0.08109795 0.08106665
 0.0872878 ]",1.0063901393796435,1.0061334122181693,0.02141019010860347,0.08159982413053513,0.08231833577156067,0.08641927689313889,0.08301407843828201,0.08240305632352829,0.0837397649884224,0.08546235412359238,0.08337615430355072,0.08221474289894104,0.08109795302152634,0.08106665313243866,0.0872877985239029,0.0
6,2014-01-14,"[0.         0.08162807 0.08226076 0.08640867 0.08304229 0.08244343
 0.08370104 0.08552089 0.08334814 0.08223285 0.08109493 0.08102146
 0.0872975 ]",1.0046577758825603,1.0047485571915518,0.011503020824587018,0.08162806928157806,0.08226075768470764,0.08640866726636887,0.08304228633642197,0.08244343101978302,0.08370104432106018,0.08552089333534241,0.08334814012050629,0.08223284780979156,0.08109492808580399,0.08102145791053772,0.08729749917984009,0.0
7,2014-01-15,"[0.         0.08163121 0.08224881 0.08640789 0.08306653 0.08246884
 0.08368052 0.08547565 0.08335117 0.08220038 0.08110038 0.08101311
 0.08735549]",0.9991909908582619,1.000055013645072,0.011642916747553071,0.08163121342658997,0.08224880695343018,0.08640789240598679,0.08306653052568436,0.08246883749961853,0.08368051797151566,0.08547564595937729,0.08335117250680923,0.08220037817955017,0.08110038191080093,0.08101310580968857,0.08735548704862595,0.0
8,2014-01-16,"[0.         0.0815533  0.0822209  0.08641723 0.08312784 0.0824936
 0.08372695 0.08549186 0.0833358  0.0821512  0.08105194 0.08092601
 0.08750337]",0.9997519828247122,0.9998532059943483,0.013914195224860417,0.08155330270528793,0.0822208970785141,0.08641722798347473,0.08312784135341644,0.0824936032295227,0.08372694998979568,0.0854918584227562,0.08333580195903778,0.08215120434761047,0.08105193823575974,0.08092600852251053,0.08750337362289429,0.0
9,2014-01-17,"[0.         0.08161795 0.08218501 0.08639871 0.08316542 0.08253587
 0.08374519 0.08546177 0.0833184  0.0821209  0.08104882 0.08083697
 0.08756495]",1.0061397436883095,1.006413642159499,0.015343436235838313,0.08161795139312744,0.08218500763177872,0.08639871329069138,0.08316542208194733,0.08253587037324905,0.08374518901109695,0.08546176552772522,0.08331839740276337,0.08212089538574219,0.08104882389307022,0.08083697408437729,0.08756495267152786,0.0
10,2014-01-21,"[0.         0.08161864 0.08221582 0.08640644 0.08315022 0.08252359
 0.08377954 0.08539318 0.083336   0.08209377 0.08108485 0.08086009
 0.08753784]",1.0177690211807828,1.0191325215753837,0.009869075719277344,0.08161863684654236,0.0822158232331276,0.08640643954277039,0.083150215446949,0.08252359181642532,0.08377953618764877,0.08539317548274994,0.0833360031247139,0.08209376782178879,0.08108485490083694,0.08086009323596954,0.08753784000873566,0.0
