,Date,Weights,Profit,Base Profit,Volume,MMM,ATRI,CRY,TFX,PMD,LH,DGX,AMS,TCF,C,UMBF,JPM,cash
0,2014-01-06,"[0.0683231  0.         0.13143746 0.08182565 0.0811168  0.0988834
 0.09868084 0.11510257 0.08144635 0.         0.0856498  0.083267
 0.07426703]",0.9999999999906831,0.9999999999917251,0.9316768993719858,0.0,0.13143746115016017,0.08182565174134405,0.08111680205018439,0.0988833953123488,0.09868084077444376,0.11510256744209367,0.0814463518308372,0.0,0.08564979684877731,0.08326700095892016,0.07426703126287641,0.06832310062801415
1,2014-01-07,"[0.         0.         0.14580363 0.08647168 0.08621905 0.10630386
 0.1057894  0.12717918 0.08563391 0.         0.09091661 0.08772926
 0.0779534 ]",1.010988182950635,1.0089368405394568,0.06832310062737741,0.0,0.14580362938746766,0.0864716818589304,0.08621905406977688,0.10630386461369287,0.10578940478682797,0.1271791821133874,0.08563391116522732,0.0,0.0909166116952288,0.08772925620888664,0.07795340410057411,0.0
2,2014-01-08,"[0.         0.         0.14635361 0.08619271 0.08602225 0.1064511
 0.10566086 0.12813615 0.08540828 0.         0.09084213 0.08724869
 0.07768422]",1.013520517714646,1.0093857582549433,0.009910201989755871,0.0,0.14635360981742435,0.08619270681989706,0.08602224924953078,0.10645110186179403,0.10566085820837774,0.12813615426681857,0.08540827950037828,0.0,0.0908421262289132,0.08724869160124758,0.07768422244561839,0.0
3,2014-01-09,"[0.         0.         0.1471027  0.08607513 0.08614273 0.10633213
 0.10541933 0.12819878 0.08517261 0.         0.09086209 0.08707254
 0.07762197]",1.016578458451288,1.0116488636555205,0.012078641306472659,0.0,0.1471027025824415,0.08607512604002818,0.08614273083166779,0.10633212897877273,0.10541932817684935,0.128198777135068,0.08517260623054704,0.0,0.09086208932374876,0.08707254208910142,0.0776219686117752,0.0
4,2014-01-10,"[0.         0.         0.14658294 0.08620744 0.08632651 0.1064424
 0.10574451 0.1289134  0.08453574 0.         0.09069754 0.08702152
 0.077528  ]",1.0148271728723637,1.0094199155784989,0.009860796721743758,0.0,0.146582942528274,0.08620743857699698,0.0863265067824235,0.10644239956524855,0.10574451320583421,0.12891339818140457,0.08453573912917436,0.0,0.09069754347666281,0.08702151936229587,0.07752799919168529,0.0
5,2014-01-13,"[0.         0.         0.14701591 0.08628132 0.0864209  0.10651978
 0.10549477 0.12892102 0.08379686 0.         0.09090847 0.08693617
 0.0777048 ]",1.0199826900996953,1.0130356094759712,0.007514376049528745,0.0,0.1470159127635969,0.08628132088214203,0.08642090040983763,0.10651977690046127,0.10549476765321648,0.12892102089356292,0.0837968619524737,0.0,0.09090846641501883,0.0869361698574549,0.07770480227223538,0.0
6,2014-01-14,"[0.         0.         0.14692505 0.08653518 0.08654794 0.10629375
 0.10551511 0.12919911 0.08368669 0.         0.09079642 0.08689524
 0.07760551]",1.0215014711016641,1.0125394699643657,0.008222763544942294,0.0,0.1469250533593672,0.08653518188271196,0.0865479404138879,0.10629375442716053,0.10551510962648089,0.12919910633372375,0.08368668724748349,0.0,0.0907964153010658,0.08689523763231508,0.07760551377580353,0.0
7,2014-01-15,"[0.         0.         0.14702295 0.08641507 0.08647139 0.10644869
 0.10535698 0.12936555 0.08393271 0.         0.09073905 0.08661856
 0.07762905]",1.021832616944731,1.0140930867361968,0.005886087287662446,0.0,0.14702295358529024,0.08641507108819384,0.08647139197082154,0.10644869241360982,0.10535697581244628,0.12936554723160862,0.08393270514046984,0.0,0.09073905121391117,0.0866185572061414,0.07762905433750728,0.0
8,2014-01-16,"[0.         0.         0.1466103  0.08631911 0.08645798 0.10655131
 0.10534566 0.12941178 0.08418831 0.         0.09081616 0.08665107
 0.07764832]",1.028150843715935,1.0211137935161732,0.013325210390108776,0.0,0.14661029921154217,0.0863191060609467,0.08645797846202287,0.10655131241033025,0.10534565959573618,0.12941177685943325,0.08418831387596848,0.0,0.09081616105034325,0.08665107256958963,0.07764831990408705,0.0
9,2014-01-17,"[0.         0.         0.14664208 0.08662643 0.0864624  0.10668478
 0.1054597  0.12929427 0.08374887 0.         0.09090437 0.0865914
 0.07758569]",1.0243790766073952,1.0176214064891602,0.009137806919704596,0.0,0.1466420838890459,0.08662643062579493,0.0864624005731128,0.10668478248444475,0.10545969931421902,0.1292942739481457,0.08374887162263635,0.0,0.09090437046005749,0.08659140166602793,0.07758568541651499,0.0
10,2014-01-21,"[0.         0.         0.14709269 0.08663409 0.08649662 0.10660809
 0.10546346 0.12960137 0.08292934 0.         0.09079523 0.08657944
 0.07779968]",1.0260837165325463,1.0189790849051672,0.007700043486285203,0.0,0.1470926852559855,0.08663409497428765,0.08649662139602578,0.1066080899348886,0.1054634562165389,0.1296013710019536,0.08292933535182594,0.0,0.09079523044643785,0.08657943695122819,0.07779967847082804,0.0
11,2014-01-22,"[0.         0.         0.14740681 0.08694966 0.08653981 0.10646596
 0.1055001  0.12976154 0.08238108 0.         0.09077179 0.08649329
 0.07772996]",1.025893741089531,1.0203714796576322,0.007976546326639758,0.0,0.14740680707123582,0.0869496592328833,0.08653980644354202,0.1064659550300459,0.1055001029895086,0.12976154139733148,0.08238108069906754,0.0,0.09077179439036243,0.08649329434535287,0.07772995840067008,0.0
