,Date,Weights,Profit,Base Profit,Volume,IEX,FLS,GGG,ITT,SANM,FLEX,CTS,IEC,ANDE,UVV,STKL,PYX,cash
0,2014-01-06,"[0.11532073 0.17511851 0.12298691 0.20006612 0.13788907 0.
 0.         0.         0.         0.         0.12289681 0.
 0.12572185]",0.9999999999911532,0.9999999999917251,0.8846792666743548,0.17511850938571313,0.12298690608285266,0.20006611974642236,0.13788907018470972,0.0,0.0,0.0,0.0,0.0,0.12289681314816066,0.0,0.12572184812649623,0.11532073332564532
1,2014-01-07,"[0.         0.2021148  0.13508495 0.23709527 0.15245087 0.
 0.         0.         0.         0.         0.13466141 0.
 0.1385927 ]",1.0133679883833064,1.0069427463946732,0.11532073332462504,0.20211480215025682,0.13508494536987184,0.23709527064819877,0.15245087214239605,0.0,0.0,0.0,0.0,0.0,0.13466141037319423,0.0,0.1385926993160823,0.0
2,2014-01-08,"[0.         0.20308899 0.13396086 0.2402223  0.15120569 0.
 0.         0.         0.         0.         0.13337792 0.
 0.13814423]",0.9958701549470403,0.9982298520191989,0.01293745702651244,0.2030889900243728,0.1339608618066644,0.24022230399579697,0.15120569381461643,0.0,0.0,0.0,0.0,0.0,0.1333779244205601,0.0,0.13814422593798925,0.0
3,2014-01-09,"[0.         0.20361502 0.13397973 0.24126085 0.15086524 0.
 0.         0.         0.         0.         0.1333127  0.
 0.13696647]",0.9949389778903291,0.998953755866746,0.009671636357685278,0.20361501667808582,0.13397973431665602,0.24126084692779695,0.1508652361463235,0.0,0.0,0.0,0.0,0.0,0.13331269586482467,0.0,0.1369664700663131,0.0
4,2014-01-10,"[0.         0.20344112 0.13408761 0.24150904 0.15067657 0.
 0.         0.         0.         0.         0.13344254 0.
 0.13684312]",0.9941612902408766,1.000534863827744,0.010710496056795717,0.20344112235096123,0.13408761212449516,0.24150904300984724,0.1506765701429601,0.0,0.0,0.0,0.0,0.0,0.13344253615957763,0.0,0.13684311621215867,0.0
5,2014-01-13,"[0.         0.20364512 0.13361075 0.24162058 0.15075161 0.
 0.         0.         0.         0.         0.13316503 0.
 0.1372069 ]",0.9980454827062959,1.001598279563747,0.007150611703673721,0.20364512423217818,0.13361075317630594,0.24162058013638238,0.15075160670591722,0.0,0.0,0.0,0.0,0.0,0.13316503475972077,0.0,0.1372069009894955,0.0
6,2014-01-14,"[0.         0.20330159 0.13360064 0.2416993  0.15090862 0.
 0.         0.         0.         0.         0.13286432 0.
 0.13762553]",0.9974807256972763,0.9926133834673434,0.004614658234340417,0.20330158501411838,0.13360064148433398,0.24169930080353405,0.15090861970479083,0.0,0.0,0.0,0.0,0.0,0.1328643200639423,0.0,0.1376255329292804,0.0
7,2014-01-15,"[0.         0.20353105 0.13372432 0.24077101 0.15162854 0.
 0.         0.         0.         0.         0.13300816 0.
 0.13733692]",0.9927964927594773,0.9858880689027553,0.006627532237379712,0.2035310480837982,0.13372432356450312,0.24077100887351094,0.15162854326766062,0.0,0.0,0.0,0.0,0.0,0.13300815808048522,0.0,0.13733691813004184,0.0
8,2014-01-16,"[0.         0.2027579  0.13520796 0.23773247 0.15157572 0.
 0.         0.         0.         0.         0.13368629 0.
 0.13903965]",0.9995874634709765,0.9893742058064867,0.005673866221964574,0.2027579045672612,0.13520795904480173,0.23773247353233642,0.15157572246747586,0.0,0.0,0.0,0.0,0.0,0.1336862882547164,0.0,0.13903965213340852,0.0
9,2014-01-17,"[0.         0.20285717 0.13563825 0.23465292 0.15347953 0.
 0.         0.         0.         0.         0.13422282 0.
 0.1391493 ]",1.0065006049065723,0.996873117065215,0.014426719263466881,0.20285717466253575,0.1356382495837378,0.23465292397449775,0.153479526091998,0.0,0.0,0.0,0.0,0.0,0.13422282359723153,0.0,0.13914930208999923,0.0
10,2014-01-21,"[0.         0.1724733  0.11747539 0.18190607 0.15642099 0.
 0.         0.         0.13096246 0.         0.11789722 0.
 0.12286456]",1.0063586530625965,0.9964912023280339,0.26902088601082164,0.1724733029194519,0.1174753900413112,0.1819060705891944,0.15642099173319726,0.0,0.0,0.0,0.1309624568627766,0.0,0.11789722452376518,0.0,0.12286456333030349,0.0
11,2014-01-22,"[0.         0.17086097 0.12072313 0.18680101 0.14662542 0.
 0.         0.         0.13079579 0.         0.11876387 0.
 0.1254298 ]",1.0077230508767552,0.9966738462683873,0.020037709777408583,0.17086096988532493,0.12072313284169633,0.18680100884382383,0.14662542445025611,0.0,0.0,0.0,0.13079579475640157,0.0,0.11876386818765573,0.0,0.12542980103484175,0.0
12,2014-01-23,"[0.         0.17419551 0.12167336 0.19539181 0.1433162  0.
 0.         0.         0.12048011 0.         0.11947513 0.
 0.12546788]",1.0054571551296554,0.996918569775293,0.024273986927222328,0.174195507619586,0.12167335744792797,0.19539181426327398,0.14331619633472878,0.0,0.0,0.0,0.12048010739409885,0.0,0.11947513468709046,0.0,0.1254678822532939,0.0
13,2014-01-24,"[0.         0.17610721 0.12174314 0.20033209 0.14153134 0.
 0.         0.         0.11540096 0.         0.11964588 0.
 0.12523938]",1.001291386073503,0.9936724595337924,0.01792089345122111,0.17610720537056854,0.12174314115641136,0.2003320861924809,0.14153134482476432,0.0,0.0,0.0,0.11540096138949917,0.0,0.1196458773886264,0.0,0.12523938367764936,0.0
