,Date,Weights,Profit,Base Profit,Volume,PFIN,LECO,SPXC,CVR,NBIX,TECH,BCRX,TTNP,OSK,F,PCAR,SPAR,cash
0,2014-01-06,"[0.         0.0806068  0.0861043  0.0890897  0.0824962  0.08085591
 0.08503447 0.08226339 0.08484244 0.08158402 0.08175396 0.0834372
 0.08193162]",0.9998000148952007,0.9998000000000002,1.0000000149011612,0.08060680329799652,0.08610429614782333,0.08908969908952713,0.08249620348215103,0.08085590600967407,0.08503446727991104,0.08226338773965836,0.08484244346618652,0.08158402144908905,0.08175396174192429,0.08343720436096191,0.08193162083625793,0.0
1,2014-01-07,"[0.         0.08223977 0.08423402 0.08832141 0.08549067 0.07972741
 0.08346153 0.08181518 0.08455323 0.08196434 0.08058901 0.08188906
 0.08571436]",1.0152894856784789,1.0153572007636558,0.017577472370573808,0.08223976939916611,0.08423402160406113,0.08832141011953354,0.08549066632986069,0.0797274112701416,0.08346153050661087,0.08181518316268921,0.08455323427915573,0.08196434378623962,0.08058901131153107,0.0818890631198883,0.08571436256170273,0.0
2,2014-01-08,"[0.         0.08227472 0.0843045  0.08840982 0.08542317 0.07981431
 0.08337326 0.08196085 0.08456901 0.08189269 0.08052839 0.08189681
 0.08555246]",1.0669492665985603,1.069056319297053,0.010300927767253528,0.08227472007274628,0.08430450409650803,0.08840981870889664,0.08542317152023315,0.07981431484222412,0.08337326347827911,0.08196084946393967,0.08456900715827942,0.08189269155263901,0.0805283859372139,0.0818968117237091,0.08555246144533157,0.0
3,2014-01-09,"[0.         0.08207846 0.08369834 0.08882457 0.08398854 0.08007963
 0.08405177 0.08096185 0.08430315 0.08278952 0.08170361 0.08239936
 0.0851212 ]",1.0813623383965654,1.0907450626159738,0.0908962160923016,0.0820784643292427,0.0836983397603035,0.0888245701789856,0.08398853987455368,0.08007963001728058,0.08405177295207977,0.08096184581518173,0.08430314809083939,0.08278951793909073,0.08170361071825027,0.08239936083555222,0.08512119948863983,0.0
4,2014-01-10,"[0.         0.08198866 0.08377036 0.08886227 0.08378689 0.08023016
 0.08403429 0.08088039 0.08453657 0.08282699 0.08179689 0.08226522
 0.08502132]",1.096357307904642,1.105650735402182,0.027079852755516255,0.08198865503072739,0.08377036452293396,0.08886227011680603,0.08378688991069794,0.08023016154766083,0.08403429388999939,0.08088038861751556,0.08453657478094101,0.08282699435949326,0.08179689198732376,0.0822652205824852,0.08502131700515747,0.0
5,2014-01-13,"[0.         0.08180267 0.0838265  0.0888418  0.08355567 0.0803962
 0.08389484 0.08087883 0.08469771 0.08305699 0.08196412 0.08201054
 0.08507413]",1.1030508247067814,1.1140867912013974,0.016802212300750775,0.08180267363786697,0.08382650464773178,0.08884179592132568,0.083555668592453,0.08039619773626328,0.08389484137296677,0.0808788314461708,0.08469770848751068,0.0830569863319397,0.08196412026882172,0.08201054483652115,0.08507413417100906,0.0
6,2014-01-14,"[0.         0.08188636 0.08359561 0.08855009 0.08334874 0.08045098
 0.08427761 0.08061771 0.08467186 0.08332903 0.08215821 0.08199491
 0.08511889]",1.1121264562768578,1.1251185713848049,0.014838513077602436,0.08188635855913162,0.08359561115503311,0.08855009078979492,0.08334874361753464,0.08045098185539246,0.08427761495113373,0.08061771094799042,0.08467186242341995,0.08332902938127518,0.08215820789337158,0.0819949060678482,0.08511888980865479,0.0
7,2014-01-15,"[0.         0.08181091 0.08355195 0.08870666 0.08343992 0.08036819
 0.08404019 0.08057693 0.0847988  0.08327813 0.08209708 0.08190174
 0.0854295 ]",1.097294416718406,1.111046558564927,0.02227228121580111,0.08181090652942657,0.08355195075273514,0.08870665729045868,0.0834399163722992,0.08036819100379944,0.08404018729925156,0.08057692646980286,0.08479879796504974,0.083278127014637,0.08209707587957382,0.08190174400806427,0.08542950451374054,0.0
8,2014-01-16,"[0.         0.08165074 0.08347473 0.08867759 0.08321267 0.08038759
 0.0840687  0.08033718 0.08489776 0.08356607 0.08231869 0.08177891
 0.08562937]",1.142152117729511,1.1580561571068135,0.021247983880444278,0.0816507413983345,0.08347472548484802,0.08867758512496948,0.08321266621351242,0.08038759231567383,0.08406870067119598,0.08033718168735504,0.08489776402711868,0.08356606960296631,0.08231868594884872,0.08177891373634338,0.08562937378883362,0.0
9,2014-01-17,"[0.         0.08170045 0.08343984 0.08836731 0.08312786 0.08044213
 0.08403768 0.08027991 0.0850367  0.0837298  0.08240934 0.08157381
 0.08585513]",1.131681005565692,1.1436789660184266,0.043496927987917496,0.08170045167207718,0.08343984186649323,0.08836730569601059,0.08312786370515823,0.08044213056564331,0.08403768390417099,0.08027990907430649,0.08503670245409012,0.0837298035621643,0.0824093371629715,0.08157381415367126,0.08585512638092041,0.0
10,2014-01-21,"[0.         0.08159823 0.08345337 0.08831841 0.08312377 0.08050706
 0.08397427 0.08020815 0.08507938 0.08367851 0.08260662 0.08166704
 0.08578516]",1.1363336182052142,1.1494596596694393,0.023636354214971067,0.08159822970628738,0.08345337212085724,0.08831840753555298,0.08312377333641052,0.0805070623755455,0.08397427201271057,0.08020815253257751,0.0850793793797493,0.08367850631475449,0.08260662108659744,0.08166704326868057,0.0857851579785347,0.0
