,Date,Weights,Profit,Base Profit,SCON,VSAT,MSI,BKTI,VECO,ASYS,TRT,IVAC,FRPH,CTO,CIGI,TRC,cash
0,2014-01-06,"[0.07977113 0.         0.11669481 0.1236714  0.         0.10950645
 0.         0.15075416 0.17711046 0.         0.13292994 0.
 0.10956165]",0.9999999999907977,0.9999999999917246,0.0,0.11669481296777168,0.12367140287673474,0.0,0.10950644713529889,0.0,0.1507541564701267,0.17711046311704057,0.0,0.1329299370908489,0.0,0.10956165414417343,0.07977112619800508
1,2014-01-07,"[0.         0.         0.1248521  0.13496255 0.         0.11669931
 0.         0.16670098 0.19843922 0.         0.14454915 0.
 0.11379669]",1.005119759967224,1.0090861608403316,0.0,0.1248520999065336,0.13496254555338894,0.0,0.1166993055842347,0.0,0.16670097889365382,0.19843922235405598,0.0,0.14454915406076155,0.0,0.1137966936473714,0.0
2,2014-01-08,"[0.         0.         0.12456087 0.13639858 0.         0.11541986
 0.         0.16740914 0.19937804 0.         0.14409875 0.
 0.11273475]",0.9951001305951037,1.0225842232466893,0.0,0.12456086817174578,0.13639858202965147,0.0,0.11541986125647385,0.0,0.16740914036612717,0.19937804203882173,0.0,0.1440987517035107,0.0,0.11273475443366929,0.0
3,2014-01-09,"[0.         0.         0.12427981 0.13571303 0.         0.11569929
 0.         0.16736831 0.19995221 0.         0.14438021 0.
 0.11260712]",1.0176131500937007,1.0270768895832467,0.0,0.12427981407611413,0.13571303427617187,0.0,0.11569929129196713,0.0,0.16736831222317197,0.19995221145839806,0.0,0.14438021450918037,0.0,0.11260712216499645,0.0
4,2014-01-10,"[0.         0.         0.12368465 0.13354973 0.         0.11794093
 0.         0.1669367  0.20073778 0.         0.14544406 0.
 0.11170615]",1.0300881953588474,1.0470647571794682,0.0,0.12368465149221025,0.13354972559322087,0.0,0.11794093305247082,0.0,0.16693669805025135,0.20073777555445763,0.0,0.1454440629149032,0.0,0.1117061533424858,0.0
5,2014-01-13,"[0.         0.         0.12344368 0.13287497 0.         0.11910422
 0.         0.16667999 0.20076334 0.         0.14606442 0.
 0.11106938]",1.0222477754325763,1.0398106438189716,0.0,0.1234436791659928,0.1328749658268777,0.0,0.11910422429175059,0.0,0.16667998926777355,0.20076334203482468,0.0,0.14606442381818313,0.0,0.11106937559459759,0.0
6,2014-01-14,"[0.         0.         0.12381887 0.13434677 0.         0.11806158
 0.         0.16689238 0.20002036 0.         0.1455958  0.
 0.11126424]",1.0188454723424971,1.0335652760130458,0.0,0.12381887138491848,0.13434677194195252,0.0,0.11806157530971849,0.0,0.16689237848317373,0.20002036383982869,0.0,0.14559579787371868,0.0,0.11126424116668936,0.0
7,2014-01-15,"[0.         0.         0.1239076  0.13473818 0.         0.11799331
 0.         0.16690954 0.19978251 0.         0.14551681 0.
 0.11115206]",1.0121400809580912,1.0247339954231987,0.0,0.12390759974625272,0.13473817514006062,0.0,0.11799330984464299,0.0,0.166909537251061,0.19978250874311454,0.0,0.145516806987529,0.0,0.11115206228733901,0.0
8,2014-01-16,"[0.         0.         0.12389565 0.13429544 0.         0.11777041
 0.         0.16695386 0.20014789 0.         0.14540475 0.
 0.11153199]",1.0297874057141727,1.0372749608058687,0.0,0.12389565271579579,0.13429544176297634,0.0,0.11777040991441193,0.0,0.1669538595317285,0.20014789449219308,0.0,0.14540474909907444,0.0,0.11153199248381977,0.0
9,2014-01-17,"[0.         0.         0.12394095 0.13432547 0.         0.11777543
 0.         0.16700094 0.20001201 0.         0.14541223 0.
 0.11153297]",1.0349300836460653,1.0562022138554183,0.0,0.12394094549858324,0.13432547260988736,0.0,0.11777543229169041,0.0,0.16700093747632258,0.20001201019256332,0.0,0.14541223375058462,0.0,0.11153296818036851,0.0
