,Date,Weights,Profit,Base Profit,PHM,MTH,NVR,BZH,JNJ,BMY,PFE,ABT,INTC,KOPN,MXIM,XLNX,cash
0,2014-01-06,"[0.09447507 0.22997428 0.10761527 0.18529696 0.         0.
 0.         0.         0.20325749 0.         0.         0.17938092
 0.        ]",0.9999999999909448,0.9999999999917246,0.22997428299191197,0.10761527427730551,0.18529695873198218,0.0,0.0,0.0,0.0,0.20325748610553449,0.0,0.0,0.17938092324086644,0.0,0.09447507465239947
1,2014-01-07,"[0.         0.26356523 0.10983678 0.20434599 0.         0.
 0.         0.         0.22731166 0.         0.         0.19494034
 0.        ]",1.0061974794033952,1.0051877169419676,0.2635652329450308,0.10983678272621314,0.2043459868446461,0.0,0.0,0.0,0.0,0.2273116606617329,0.0,0.0,0.1949403368223771,0.0,0.0
2,2014-01-08,"[0.         0.26651141 0.10810719 0.20401346 0.         0.
 0.         0.         0.22788046 0.         0.         0.19348748
 0.        ]",1.0081374940350758,1.0011866852586135,0.2665114056323791,0.10810718779620536,0.20401346334354384,0.0,0.0,0.0,0.0,0.2278804646537237,0.0,0.0,0.1934874785741481,0.0,0.0
3,2014-01-09,"[0.         0.26747973 0.10826329 0.20340564 0.         0.
 0.         0.         0.22754092 0.         0.         0.19331043
 0.        ]",0.9934291153692926,0.992799501260768,0.2674797274244765,0.10826329051678875,0.2034056355155597,0.0,0.0,0.0,0.0,0.2275409176817671,0.0,0.0,0.1933104288614079,0.0,0.0
4,2014-01-10,"[0.         0.26762829 0.1080442  0.20335959 0.         0.
 0.         0.         0.22765067 0.         0.         0.19331725
 0.        ]",1.003704200503935,1.000796664068435,0.26762829167053687,0.10804420314203865,0.20335958744557628,0.0,0.0,0.0,0.0,0.22765067095459027,0.0,0.0,0.19331724678725792,0.0,0.0
5,2014-01-13,"[0.         0.26785253 0.10811637 0.20301902 0.         0.
 0.         0.         0.22752351 0.         0.         0.19348857
 0.        ]",0.9953008319890455,0.9980684248085531,0.2678525304371139,0.10811636665914075,0.20301901642421907,0.0,0.0,0.0,0.0,0.22752351257602657,0.0,0.0,0.1934885739034999,0.0,0.0
6,2014-01-14,"[0.         0.26800649 0.10807346 0.20304283 0.         0.
 0.         0.         0.22742746 0.         0.         0.19344977
 0.        ]",0.9953589868408665,0.9972961303528146,0.2680064872348866,0.1080734554021152,0.20304282671417362,0.0,0.0,0.0,0.0,0.2274274635492327,0.0,0.0,0.19344976709959175,0.0,0.0
7,2014-01-15,"[0.         0.26805617 0.10854987 0.20295567 0.         0.
 0.         0.         0.22713029 0.         0.         0.193308
 0.        ]",0.9840773690756769,0.9914073078782988,0.2680561711006468,0.10854986632215367,0.20295566566408343,0.0,0.0,0.0,0.0,0.22713029282475625,0.0,0.0,0.19330800408835985,0.0,0.0
8,2014-01-16,"[0.         0.26787866 0.10846075 0.20318968 0.         0.
 0.         0.         0.22729629 0.         0.         0.19317463
 0.        ]",0.9919940803750894,1.0027313746018198,0.2678786592976082,0.10846074964600046,0.20318967682225725,0.0,0.0,0.0,0.0,0.2272962873376915,0.0,0.0,0.1931746268964426,0.0,0.0
9,2014-01-17,"[0.         0.26770655 0.1085214  0.20334129 0.         0.
 0.         0.         0.22734857 0.         0.         0.19308218
 0.        ]",0.9885608939812512,1.0032263788875724,0.26770655492710604,0.108521404015325,0.20334128937838755,0.0,0.0,0.0,0.0,0.22734857115619916,0.0,0.0,0.19308218052298226,0.0,0.0
