,Date,Weights,Profit,Base Profit,BKTI,SCON,VSAT,MSI,MCD,EAT,JACK,PZZA,UVV,PYX,ANDE,STKL,cash
0,2014-01-06,"[0.07145249 0.14318264 0.09926674 0.0897556  0.10935042 0.
 0.17268474 0.09348216 0.14392133 0.         0.07690388 0.
 0.        ]",0.9999999999907145,0.9999999999917246,0.1431826412637475,0.09926673795157252,0.08975560323815837,0.10935042352703019,0.0,0.1726847373526684,0.09348215686345955,0.1439213277406637,0.0,0.0769038773526899,0.0,0.0,0.07145249471000976
1,2014-01-07,"[0.         0.15702741 0.10415916 0.09345068 0.11601426 0.
 0.19509008 0.09741325 0.1578682  0.         0.07897697 0.
 0.        ]",1.0073609477495942,1.007446808770716,0.1570274104072399,0.10415915698615626,0.0934506788778755,0.11601425813249633,0.0,0.1950900792189307,0.09741325051816853,0.15786819628176477,0.0,0.07897696957736819,0.0,0.0,0.0
2,2014-01-08,"[0.         0.15763807 0.10357722 0.0926898  0.11528955 0.
 0.19697351 0.09701191 0.15808899 0.         0.07873096 0.
 0.        ]",1.0289731537669766,1.0186493117782784,0.1576380722228331,0.1035772153113842,0.09268980226148726,0.11528954846704668,0.0,0.19697350597597776,0.09701190616313454,0.15808898960282722,0.0,0.0787309599953093,0.0,0.0,0.0
3,2014-01-09,"[0.         0.15763271 0.1034699  0.0926543  0.11528692 0.
 0.19745424 0.09681569 0.15817835 0.         0.07850789 0.
 0.        ]",1.0128339244734987,1.0102742504680304,0.1576327081527039,0.1034699046189695,0.09265429741318534,0.11528691511259766,0.0,0.19745423909151558,0.09681568938313909,0.15817835458187676,0.0,0.07850789164601227,0.0,0.0,0.0
4,2014-01-10,"[0.         0.15765123 0.10345983 0.09263369 0.11524601 0.
 0.19747052 0.09681229 0.15812376 0.         0.07860266 0.
 0.        ]",1.0294763470936337,1.021463766462621,0.1576512341493887,0.10345983250249337,0.09263369462316022,0.11524601183279932,0.0,0.19747051662916962,0.09681228862824078,0.1581237649255304,0.0,0.0786026567092176,0.0,0.0,0.0
5,2014-01-13,"[0.         0.15760929 0.10345008 0.09264481 0.11529752 0.
 0.19757358 0.09674092 0.15819543 0.         0.07848837 0.
 0.        ]",1.0158787339171325,1.0124563825494493,0.15760928974217087,0.10345008277118865,0.09264480968675654,0.11529752262225616,0.0,0.1975735791060411,0.09674091598398943,0.15819542945243845,0.0,0.0784883706351589,0.0,0.0,0.0
6,2014-01-14,"[0.         0.15760495 0.10346115 0.09259723 0.11528093 0.
 0.19756786 0.09676375 0.15822178 0.         0.07850236 0.
 0.        ]",1.008617417736247,1.005563506247429,0.15760495101174676,0.10346115017132254,0.09259722911032818,0.1152809277149125,0.0,0.1975678553836259,0.09676374663325202,0.15822177853103297,0.0,0.07850236144377917,0.0,0.0,0.0
7,2014-01-15,"[0.         0.157596   0.10345501 0.09259985 0.11530591 0.
 0.19759787 0.09673294 0.1582389  0.         0.07847351 0.
 0.        ]",1.0144466167171156,1.0019659680937476,0.15759599909710792,0.10345501444668899,0.09259985383832252,0.11530591031979058,0.0,0.19759787218472508,0.09673294037021728,0.15823890464911483,0.0,0.07847350509403282,0.0,0.0,0.0
8,2014-01-16,"[0.         0.15759381 0.10343781 0.09264482 0.11535514 0.
 0.1976293  0.09665939 0.15821115 0.         0.07846858 0.
 0.        ]",1.0306979545553152,1.0097887571747168,0.1575938122950294,0.10343781436989904,0.09264481553936517,0.11535514375921829,0.0,0.19762929753802763,0.0966593863159206,0.1582111466814761,0.0,0.07846858350106378,0.0,0.0,0.0
9,2014-01-17,"[0.         0.15763882 0.10345485 0.09260308 0.11528572 0.
 0.1975244  0.09674894 0.1581457  0.         0.07859848 0.
 0.        ]",1.045912915014466,1.0232207664372288,0.1576388204950088,0.10345484727760365,0.09260308283143477,0.11528572016168902,0.0,0.19752440125966678,0.0967489446259447,0.15814570399672176,0.0,0.0785984793519307,0.0,0.0,0.0
10,2014-01-21,"[0.         0.15764471 0.10345384 0.09261597 0.11528854 0.
 0.19751854 0.09674857 0.15813712 0.         0.0785927  0.
 0.        ]",1.0513915303794088,1.0266953128984724,0.15764471461299898,0.10345384179795669,0.09261596513056529,0.11528854057248868,0.0,0.19751854184342635,0.09674857391788702,0.15813711911548115,0.0,0.0785927030091958,0.0,0.0,0.0
11,2014-01-22,"[0.         0.15761826 0.1034474  0.09262294 0.11532734 0.
 0.19757963 0.09669701 0.1581832  0.         0.07852422 0.
 0.        ]",1.0483553097576885,1.0244700191208993,0.15761825708634636,0.10344740303062593,0.09262293777363108,0.11532734128590137,0.0,0.1975796279675084,0.0966970102464703,0.15818319985856646,0.0,0.07852422275095015,0.0,0.0,0.0
12,2014-01-23,"[0.         0.15764665 0.10345685 0.09259661 0.11528169 0.
 0.19751253 0.09674861 0.15813833 0.         0.07861873 0.
 0.        ]",1.0661967157188155,1.032273866019519,0.15764664990960744,0.10345684523976871,0.09259661321315812,0.11528169477451296,0.0,0.1975125319048809,0.0967486122294038,0.15813832593190352,0.0,0.07861872679676445,0.0,0.0,0.0
