,Date,Weights,Profit,Base Profit,UVV,PYX,STKL,ANDE,F,PCAR,SPAR,OSK,LH,AMS,PMD,DGX,cash
0,2014-01-06,"[0.12760109 0.         0.13499125 0.         0.24879293 0.1539915
 0.         0.         0.15000439 0.18461885 0.         0.
 0.        ]",0.999999999991276,0.9999999999917246,0.0,0.13499125126098915,0.0,0.24879292870812023,0.15399149843792964,0.0,0.0,0.1500043873111371,0.18461884519020808,0.0,0.0,0.0,0.12760108909161563
1,2014-01-07,"[0.         0.         0.14864308 0.         0.3050477  0.16970106
 0.         0.         0.16723996 0.20936821 0.         0.
 0.        ]",1.0147726704559392,1.0127740177245064,0.0,0.14864307819042644,0.0,0.3050477005228237,0.16970105606321872,0.0,0.0,0.1672399591130752,0.20936820611045603,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.         0.14645403 0.         0.31301905 0.16723998
 0.         0.         0.16523929 0.20804765 0.         0.
 0.        ]",0.9977737764612964,1.005734565956051,0.0,0.14645402676626934,0.0,0.31301904895289095,0.16723998403794962,0.0,0.0,0.16523928632879545,0.20804765391409466,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.         0.14595934 0.         0.31536204 0.16642248
 0.         0.         0.16484385 0.20741229 0.         0.
 0.        ]",0.9987974881780598,1.0081944024002383,0.0,0.1459593360708972,0.0,0.3153620405890165,0.16642248330329548,0.0,0.0,0.16484384564272403,0.20741229439406678,0.0,0.0,0.0,0.0
4,2014-01-10,"[0.         0.         0.14588578 0.         0.3162166  0.16613018
 0.         0.         0.16480101 0.20696643 0.         0.
 0.        ]",0.9939654267739348,1.0088935713670557,0.0,0.14588577833384772,0.0,0.31621660272984026,0.16613017882470374,0.0,0.0,0.16480100807056242,0.20696643204104603,0.0,0.0,0.0,0.0
5,2014-01-13,"[0.         0.         0.14589099 0.         0.31663171 0.16594747
 0.         0.         0.16480318 0.20672666 0.         0.
 0.        ]",1.000272213756617,1.0118878221496388,0.0,0.14589098529552855,0.0,0.3166317108542745,0.16594746961810902,0.0,0.0,0.1648031760127908,0.20672665821929725,0.0,0.0,0.0,0.0
6,2014-01-14,"[0.         0.         0.14591608 0.         0.31670056 0.16595417
 0.         0.         0.16477336 0.20665584 0.         0.
 0.        ]",0.9935506437386528,1.0118106865766503,0.0,0.145916083174842,0.0,0.3167005559387249,0.1659541661741127,0.0,0.0,0.16477335822708392,0.2066558364852365,0.0,0.0,0.0,0.0
7,2014-01-15,"[0.         0.         0.14591634 0.         0.31640074 0.16620683
 0.         0.         0.16458772 0.20688837 0.         0.
 0.        ]",0.9832265493055085,1.0098217958988636,0.0,0.14591633788784517,0.0,0.3164007403533058,0.16620683314852816,0.0,0.0,0.16458771790183482,0.2068883707084861,0.0,0.0,0.0,0.0
8,2014-01-16,"[0.         0.         0.14602144 0.         0.31609507 0.16630601
 0.         0.         0.16451397 0.20706352 0.         0.
 0.        ]",0.990497721677832,1.0167193353134147,0.0,0.14602143753375732,0.0,0.3160950710619206,0.16630600506962914,0.0,0.0,0.16451396698336765,0.20706351935132547,0.0,0.0,0.0,0.0
9,2014-01-17,"[0.         0.         0.14612976 0.         0.31619713 0.16618963
 0.         0.         0.16458659 0.20689688 0.         0.
 0.        ]",0.9964911810453203,1.0200499724269236,0.0,0.1461297638123167,0.0,0.31619713433770025,0.1661896335375185,0.0,0.0,0.16458658983647784,0.2068968784759868,0.0,0.0,0.0,0.0
