,Date,Weights,Profit,Base Profit,JKHY,EBIX,UIS,STRM,KAMN,HDSN,WLFC,LAWS,STKL,ANDE,UVV,PYX,cash
0,2014-01-06,"[0.08654012 0.22134141 0.         0.         0.         0.
 0.1123004  0.10857815 0.         0.20313563 0.10706625 0.16103803
 0.        ]",0.9999999999908654,0.9999999999917246,0.22134141299176902,0.0,0.0,0.0,0.0,0.11230040405204843,0.10857815091411772,0.0,0.203135630809419,0.1070662517953225,0.16103802907038156,0.0,0.08654012036694186
1,2014-01-07,"[0.         0.25581372 0.         0.         0.         0.
 0.11702263 0.11307474 0.         0.23069537 0.10991271 0.17348084
 0.        ]",1.005587370593021,1.0096967648515076,0.2558137187857321,0.0,0.0,0.0,0.0,0.11702263115848277,0.11307473811324906,0.0,0.2306953673497446,0.1099127065939305,0.1734808379988609,0.0,0.0
2,2014-01-08,"[0.         0.25971841 0.         0.         0.         0.
 0.11546957 0.11163155 0.         0.23286301 0.10825849 0.17205898
 0.        ]",0.9993620502483243,1.0039858440393334,0.25971840611519365,0.0,0.0,0.0,0.0,0.11546957030806143,0.11163154949272086,0.0,0.23286300571556054,0.10825848730728883,0.17205898106117476,0.0,0.0
3,2014-01-09,"[0.         0.2602594  0.         0.         0.         0.
 0.11519265 0.11192964 0.         0.23299861 0.10807241 0.17154729
 0.        ]",1.0079363740215816,1.0074924233990843,0.26025940092700744,0.0,0.0,0.0,0.0,0.11519265327950537,0.11192964236474065,0.0,0.23299860611145964,0.10807241065528085,0.17154728666200597,0.0,0.0
4,2014-01-10,"[0.         0.26059652 0.         0.         0.         0.
 0.11513403 0.11200242 0.         0.23266768 0.10773599 0.17186337
 0.        ]",1.0247247650993256,1.0142194399815685,0.2605965167036425,0.0,0.0,0.0,0.0,0.11513403101543847,0.11200241808712529,0.0,0.2326676755289896,0.10773598785146171,0.1718633708133424,0.0,0.0
5,2014-01-13,"[0.         0.26084722 0.         0.         0.         0.
 0.11492364 0.11179584 0.         0.23255581 0.10768765 0.17218984
 0.        ]",1.0246251396061907,1.015836853737895,0.260847220850146,0.0,0.0,0.0,0.0,0.11492364149077494,0.11179583525977,0.0,0.23255580964643352,0.10768765062821789,0.17218984212465757,0.0,0.0
6,2014-01-14,"[0.         0.26159732 0.         0.         0.         0.
 0.11478816 0.110915   0.         0.23262557 0.10736888 0.17270507
 0.        ]",1.016431937904795,1.0045636502324933,0.26159732204035835,0.0,0.0,0.0,0.0,0.11478816389875567,0.11091499646024196,0.0,0.2326255705036631,0.1073688761233366,0.17270507097364435,0.0,0.0
7,2014-01-15,"[0.         0.26187163 0.         0.         0.         0.
 0.11455938 0.11055884 0.         0.23281073 0.10744147 0.17275795
 0.        ]",0.9989620290264712,0.9999102300532081,0.26187163437966576,0.0,0.0,0.0,0.0,0.11455938268595961,0.11055884277120817,0.0,0.23281072508132614,0.10744146635615599,0.17275794872568434,0.0,0.0
8,2014-01-16,"[0.         0.26152824 0.         0.         0.         0.
 0.11444209 0.11101441 0.         0.23283109 0.10767654 0.17250762
 0.        ]",1.0038647430610663,1.004185252148826,0.2615282398645893,0.0,0.0,0.0,0.0,0.11444209173687821,0.11101441377535617,0.0,0.23283109178427935,0.10767653816148501,0.17250762467741204,0.0,0.0
9,2014-01-17,"[0.         0.26174585 0.         0.         0.         0.
 0.11428105 0.110765   0.         0.23272123 0.10756767 0.17291921
 0.        ]",1.0094515494819591,1.011324295358963,0.2617458517311069,0.0,0.0,0.0,0.0,0.11428104582416086,0.11076499663899347,0.0,0.23272123381826118,0.10756766625356799,0.1729192057339095,0.0,0.0
10,2014-01-21,"[0.         0.26187624 0.         0.         0.         0.
 0.11395425 0.11056314 0.         0.23275894 0.10768848 0.17315894
 0.        ]",1.0067803607118735,1.0139399736222638,0.26187623878884453,0.0,0.0,0.0,0.0,0.11395425056470496,0.11056314430739995,0.0,0.2327589438596375,0.10768848337668838,0.17315893910272473,0.0,0.0
11,2014-01-22,"[0.         0.26199791 0.         0.         0.         0.
 0.1138729  0.11044714 0.         0.23272023 0.10765415 0.17330766
 0.        ]",1.0112350413610507,1.017745351520617,0.26199790917260635,0.0,0.0,0.0,0.0,0.11387290433719816,0.11044714244435604,0.0,0.23272022879188484,0.10765415182986643,0.17330766342408835,0.0,0.0
12,2014-01-23,"[0.         0.26203755 0.         0.         0.         0.
 0.11376739 0.11039515 0.         0.23272309 0.10766902 0.17340779
 0.        ]",1.0145890136762177,1.018910837724844,0.26203755317963695,0.0,0.0,0.0,0.0,0.11376738536942592,0.11039515237701605,0.0,0.2327230948477191,0.10766902135515644,0.17340779287104555,0.0,0.0
13,2014-01-24,"[0.         0.26169352 0.         0.         0.         0.
 0.11385502 0.110794   0.         0.23282647 0.10786198 0.17296902
 0.        ]",1.0114732405796363,1.0216446611820178,0.26169352323322564,0.0,0.0,0.0,0.0,0.11385501510509793,0.110793998246665,0.0,0.23282646837358223,0.10786197970274314,0.1729690153386861,0.0,0.0
14,2014-01-27,"[0.         0.26208895 0.         0.         0.         0.
 0.1136614  0.11003778 0.         0.23315343 0.10786364 0.1731948
 0.        ]",1.0002425074943757,1.0110868797433463,0.2620889492337723,0.0,0.0,0.0,0.0,0.11366139911360147,0.11003778241170127,0.0,0.23315342883052537,0.10786363753409904,0.17319480287630049,0.0,0.0
