,Date,Weights,Profit,Base Profit,Volume,ENSV,CLB,HLX,RES,BCRX,TTNP,NBIX,TECH,ATRI,TFX,CRY,MMM,cash
0,2014-01-06,"[0.14564491 0.         0.1832328  0.14699131 0.         0.14515277
 0.         0.         0.         0.         0.16932937 0.20964883
 0.        ]",0.9999999999914565,0.9999999999917251,0.8543550869859382,0.0,0.18323279944797885,0.14699131047753566,0.0,0.14515277361467158,0.0,0.0,0.0,0.0,0.16932937212900584,0.20964883131674614,0.0,0.14564491301406193
1,2014-01-07,"[0.         0.         0.21672834 0.16404159 0.         0.16580022
 0.         0.         0.         0.         0.19954978 0.25388005
 0.        ]",1.0082360847778018,1.0080746223411008,0.1456449130128176,0.0,0.21672834340771505,0.16404159282170042,0.0,0.16580022407002315,0.0,0.0,0.0,0.0,0.19954978488314543,0.25388005481741593,0.0,0.0
2,2014-01-08,"[0.         0.         0.21649544 0.1608076  0.         0.16643
 0.         0.         0.         0.         0.1992872  0.25697975
 0.        ]",1.0049815467524026,1.0536272205920059,0.020817341637495046,0.0,0.21649544370978613,0.16080760173137146,0.0,0.16642999848823442,0.0,0.0,0.0,0.0,0.19928720280039797,0.25697975327021,0.0,0.0
3,2014-01-09,"[0.         0.         0.21580548 0.1612358  0.         0.16605835
 0.         0.         0.         0.         0.19945085 0.25744951
 0.        ]",1.0080560299585397,1.0673316066521565,0.010567851532222153,0.0,0.2158054827438119,0.16123579738203614,0.0,0.1660583532529183,0.0,0.0,0.0,0.0,0.19945085405418753,0.2574495125670462,0.0,0.0
4,2014-01-10,"[0.         0.         0.21604477 0.16146824 0.         0.16566874
 0.         0.         0.         0.         0.199057   0.25776125
 0.        ]",1.0190417135914052,1.0788556763223285,0.0042397833782592455,0.0,0.2160447654449549,0.16146823731533805,0.0,0.16566874342489177,0.0,0.0,0.0,0.0,0.19905700469290089,0.25776124912191445,0.0,0.0
5,2014-01-13,"[0.         0.         0.21654045 0.15996206 0.         0.1678051
 0.         0.         0.         0.         0.19897766 0.25671473
 0.        ]",1.0401641239551582,1.0841467996665006,0.023944401458243576,0.0,0.2165404528045582,0.15996206051545073,0.0,0.16780509530103166,0.0,0.0,0.0,0.0,0.19897766022085728,0.2567147311581022,0.0,0.0
6,2014-01-14,"[0.         0.         0.21547958 0.16073364 0.         0.1665883
 0.         0.         0.         0.         0.19903242 0.25816605
 0.        ]",1.0472519436463679,1.0969971152039841,0.0118197920493372,0.0,0.21547957799062495,0.1607336431233419,0.0,0.16658830457685014,0.0,0.0,0.0,0.0,0.1990324217664212,0.2581660525427618,0.0,0.0
7,2014-01-15,"[0.         0.         0.21761239 0.15981834 0.         0.16667906
 0.         0.         0.         0.         0.19847751 0.2574127
 0.        ]",1.0426528688978405,1.096114537946672,0.0043556475407637235,0.0,0.21761239423009884,0.15981834184400723,0.0,0.16667905601342756,0.0,0.0,0.0,0.0,0.19847751278775755,0.2574126951247088,0.0,0.0
8,2014-01-16,"[0.         0.         0.21803236 0.15821119 0.         0.16712037
 0.         0.         0.         0.         0.20013232 0.25650376
 0.        ]",1.0745011630278662,1.1178707335263365,0.013303204578201819,0.0,0.21803235580557154,0.15821119498909275,0.0,0.16712037459486878,0.0,0.0,0.0,0.0,0.20013231831958778,0.2565037562908791,0.0,0.0
9,2014-01-17,"[0.         0.         0.21757206 0.15667956 0.         0.1689726
 0.         0.         0.         0.         0.19985873 0.25691706
 0.        ]",1.059340487070953,1.1060948539492064,0.03206316989014284,0.0,0.21757205609556704,0.15667955717841184,0.0,0.16897259962991207,0.0,0.0,0.0,0.0,0.19985872941738808,0.2569170576787211,0.0,0.0
10,2014-01-21,"[0.         0.         0.2189143  0.15752546 0.         0.16485939
 0.         0.         0.         0.         0.20012911 0.25857174
 0.        ]",1.0641086035542533,1.1173458455779777,0.016498758314274917,0.0,0.21891429844472982,0.15752545583400776,0.0,0.1648593889122818,0.0,0.0,0.0,0.0,0.2001291139798918,0.25857174282908874,0.0,0.0
11,2014-01-22,"[0.         0.         0.21837123 0.15565734 0.         0.16444107
 0.         0.         0.         0.         0.20099151 0.26053884
 0.        ]",1.0941069333299656,1.1298586890209013,0.005919745986742148,0.0,0.21837123100929334,0.15565734302152043,0.0,0.1644410739869879,0.0,0.0,0.0,0.0,0.20099151415239067,0.26053883782980775,0.0,0.0
12,2014-01-23,"[0.         0.         0.2180412  0.15459349 0.         0.16515063
 0.         0.         0.         0.         0.19994971 0.26226497
 0.        ]",1.1020382435450047,1.1332429350764823,0.01892851825472301,0.0,0.21804119738008937,0.1545934874334785,0.0,0.16515063246429287,0.0,0.0,0.0,0.0,0.19994971297024655,0.2622649697518927,0.0,0.0
13,2014-01-24,"[0.         0.         0.21861789 0.15449545 0.         0.16592457
 0.         0.         0.         0.         0.20054247 0.26041962
 0.        ]",1.1020157623860527,1.1456919474278406,0.00978922123122034,0.0,0.21861789007857158,0.15449545228480827,0.0,0.16592456825104057,0.0,0.0,0.0,0.0,0.2005424740190336,0.260419615366546,0.0,0.0
14,2014-01-27,"[0.         0.         0.21679617 0.15814605 0.         0.16797738
 0.         0.         0.         0.         0.1990082  0.25807219
 0.        ]",1.0873096414374317,1.1423648918787797,0.017094377690349126,0.0,0.21679617323989653,0.158146054169056,0.0,0.1679773754743403,0.0,0.0,0.0,0.0,0.19900820417830475,0.25807219293840233,0.0,0.0
