,Date,Weights,Profit,Base Profit,Volume,PCAR,OSK,F,SPAR,FFG,AAME,GL,CIA,SPXC,LECO,PFIN,CVR,cash
0,2014-01-06,"[0.13821952 0.11263539 0.21304813 0.         0.         0.
 0.         0.         0.15192024 0.11175509 0.         0.14278975
 0.12963192]",1.0000000446948658,0.9999999999900002,0.8617805242538452,0.11263538897037506,0.21304813027381897,0.0,0.0,0.0,0.0,0.0,0.15192024409770966,0.11175508797168732,0.0,0.14278975129127502,0.1296319216489792,0.13821952044963837
1,2014-01-07,"[0.1378061  0.11360204 0.21289606 0.         0.         0.
 0.         0.         0.1521872  0.111379   0.         0.14241889
 0.12971072]",1.0078908433988787,1.007080134127242,0.0022114185454955885,0.11360204219818115,0.21289606392383575,0.0,0.0,0.0,0.0,0.0,0.15218719840049744,0.1113789975643158,0.0,0.14241889119148254,0.12971071898937225,0.13780610263347626
2,2014-01-08,"[0.13771927 0.11356589 0.21289897 0.         0.         0.
 0.         0.         0.1522375  0.11138548 0.         0.1424089
 0.12978394]",1.0033851885563836,1.0023126580316986,0.008825724172774496,0.11356589198112488,0.21289896965026855,0.0,0.0,0.0,0.0,0.0,0.15223750472068787,0.11138547956943512,0.0,0.14240890741348267,0.12978394329547882,0.1377192735671997
3,2014-01-09,"[0.13760564 0.11353689 0.21294527 0.         0.         0.
 0.         0.         0.15219045 0.11134809 0.         0.14252442
 0.12984924]",1.0075111697376624,1.005179754894148,0.011247545885243468,0.11353689432144165,0.21294526755809784,0.0,0.0,0.0,0.0,0.0,0.1521904468536377,0.11134809255599976,0.0,0.14252442121505737,0.12984924018383026,0.13760563731193542
4,2014-01-10,"[0.13757175 0.11370208 0.21292946 0.         0.         0.
 0.         0.         0.15228656 0.11125737 0.         0.14247997
 0.12977283]",1.013233239471853,1.010261683820982,0.013375870288064206,0.11370208114385605,0.21292945742607117,0.0,0.0,0.0,0.0,0.0,0.152286559343338,0.11125737428665161,0.0,0.14247997105121613,0.1297728270292282,0.13757175207138062
5,2014-01-13,"[0.1376255  0.1137367  0.21291587 0.         0.         0.
 0.         0.         0.15219216 0.1111858  0.         0.14257085
 0.12977315]",1.0129997908451007,1.0127671821875832,0.006416955775989558,0.11373669654130936,0.21291586756706238,0.0,0.0,0.0,0.0,0.0,0.152192160487175,0.11118580400943756,0.0,0.1425708532333374,0.12977315485477448,0.13762550055980682
6,2014-01-14,"[0.13790222 0.11384426 0.21286406 0.         0.         0.
 0.         0.         0.15208836 0.11115465 0.         0.14254166
 0.1296048 ]",1.014529159010976,1.0088628230184609,0.013131445626884035,0.11384426057338715,0.21286405622959137,0.0,0.0,0.0,0.0,0.0,0.15208835899829865,0.11115464568138123,0.0,0.14254166185855865,0.12960480153560638,0.13790221512317657
7,2014-01-15,"[0.13803661 0.11401778 0.2128072  0.         0.         0.
 0.         0.         0.15226507 0.11112476 0.         0.14236207
 0.12938656]",0.9984839225676365,0.9929778829786272,0.0164690836869477,0.1140177845954895,0.21280719339847565,0.0,0.0,0.0,0.0,0.0,0.15226507186889648,0.11112476140260696,0.0,0.1423620730638504,0.1293865591287613,0.1380366086959839
8,2014-01-16,"[0.13811928 0.11407892 0.21279724 0.         0.         0.
 0.         0.         0.15218084 0.11108375 0.         0.14239344
 0.12934652]",1.0326844049058725,1.0170126889434155,0.019172817653779754,0.11407891660928726,0.21279723942279816,0.0,0.0,0.0,0.0,0.0,0.15218083560466766,0.1110837459564209,0.0,0.14239344000816345,0.12934651970863342,0.13811928033828735
9,2014-01-17,"[0.1381622  0.11414759 0.21278314 0.         0.         0.
 0.         0.         0.15208322 0.11097039 0.         0.14248624
 0.12936722]",1.0282386832380008,1.0176450322456108,0.034753491379053106,0.11414758861064911,0.21278314292430878,0.0,0.0,0.0,0.0,0.0,0.15208321809768677,0.1109703928232193,0.0,0.14248624444007874,0.12936721742153168,0.13816219568252563
10,2014-01-21,"[0.13799074 0.11409637 0.2128271  0.         0.         0.
 0.         0.         0.15218882 0.11094894 0.         0.14256325
 0.1293848 ]",1.0249280013366153,1.0153255680819089,0.012062979549254367,0.11409636586904526,0.21282710134983063,0.0,0.0,0.0,0.0,0.0,0.15218882262706757,0.11094894260168076,0.0,0.14256325364112854,0.12938480079174042,0.13799074292182922
