,Date,Weights,Profit,Base Profit,Volume,BCPC,FMC,GRA,OLN,STRM,JKHY,UIS,EBIX,DORM,SUP,STRT,MOD,cash
0,2014-01-06,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",0.9997999999999998,0.9998,0.9999999999999998,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
1,2014-01-07,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.006568035737284,1.0027951485560371,1.9425017150354048e-16,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
2,2014-01-08,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.002997631528039,0.9963574707649986,0.006360116583103439,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
3,2014-01-09,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",0.9982955926183689,1.0000845172302488,0.005830035189259358,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
4,2014-01-10,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0040712446687394,1.0047492862729106,0.006007172696667969,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
5,2014-01-13,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.001760903160147,0.9994891410350224,0.005004173203606167,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
6,2014-01-14,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",0.9906134964604469,0.9899691092756755,0.004766828039986613,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
7,2014-01-15,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",0.9849827025247365,0.9846429281640938,0.010353189065205493,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
8,2014-01-16,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0030236283463307,0.9965572985698912,0.012825313488300703,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
9,2014-01-17,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0030568105046322,0.9912855308280027,0.0126988948358746,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
10,2014-01-21,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0051269849340452,0.9927613760348633,0.00573400381592199,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
11,2014-01-22,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0103974854048383,0.9913479936390108,0.003672465621218413,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
12,2014-01-23,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0132630314369886,0.9908069445478637,0.005712962699494706,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
13,2014-01-24,"[0.         0.14285714 0.14285714 0.14285714 0.14285714 0.
 0.14285714 0.14285714 0.         0.         0.         0.14285714
 0.        ]",1.0099373055719825,0.993007547707154,0.011743988077863806,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
