,Date,Weights,Profit,Base Profit,Volume,CTO,TRC,CIGI,FRPH,FFG,CIA,GL,AAME,PFE,BMY,JNJ,ABT,cash
20,2014-02-04,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9592185207708572,0.9376551617517347,0.013696049061037887,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
21,2014-02-05,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9526622842392812,0.9224693747203817,0.009544886867282675,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
22,2014-02-06,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.95199627193353,0.9195384549191054,0.013520312778503001,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
23,2014-02-07,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9461669721550809,0.9176803380020931,0.010392260095884441,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
24,2014-02-10,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9506174369830894,0.9242419426608599,0.0067028398910853795,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
25,2014-02-11,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9567109190302812,0.9327503546632616,0.004461086397852567,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
26,2014-02-12,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9562296117625477,0.9358347124239607,0.008709491674572259,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
27,2014-02-13,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9575042722169419,0.9477788173752609,0.014591661954519454,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
28,2014-02-14,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9530269029508726,0.9438139369199883,0.003504925175936146,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
29,2014-02-18,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9630150983638395,0.9571060639341841,0.015611384897302846,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
30,2014-02-19,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9653586988086809,0.9588265534645745,0.0027109700045659796,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
31,2014-02-20,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9735511866361501,0.9643126888262165,0.004633392240395953,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
32,2014-02-21,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.970056847678622,0.9632286013027656,0.006575517412924497,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
33,2014-02-24,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9749917803318943,0.9688533533378193,0.01024804068089299,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
34,2014-02-25,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9662674259782343,0.965910209057444,0.0074838584992571126,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
35,2014-02-26,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9698681768177085,0.9736150706325623,0.012219819885759042,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
36,2014-02-27,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.957757892074901,0.9674368706099349,0.01030661002069417,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
37,2014-02-28,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9662567778179821,0.9703034243780286,0.013745112334864605,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
38,2014-03-03,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9693024324946934,0.9789339246277582,0.006143994808431297,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
39,2014-03-04,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9599925622015288,0.9741139767276482,0.005792958573391822,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
40,2014-03-05,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9750525028978112,0.9853230862545599,0.0083494073459466,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
41,2014-03-06,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9799928949826312,1.0010484780025568,0.012411354323036732,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
42,2014-03-07,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9863919994694451,1.0022281712664693,0.02152098205657657,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
43,2014-03-10,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9903299604154018,1.00184903524,0.0018769347782701235,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
44,2014-03-11,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9885910118170443,1.0039821289139674,0.00958559137744383,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
45,2014-03-12,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9755186927872064,1.0027404597474487,0.014992396498713884,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
46,2014-03-13,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9653026388827036,0.9876760520163146,0.011930174324377785,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
47,2014-03-14,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9670269928584264,1.000939749887232,0.017155581066515976,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
48,2014-03-17,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9425885332066656,0.9818014340740823,0.012941297000730998,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
49,2014-03-18,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9377527178463091,0.9841613354583008,0.003729833794529207,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
50,2014-03-19,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9347031198203388,0.9849632287549794,0.016749341376618865,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
51,2014-03-20,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9534257424175754,0.9938488398459236,0.006827955561130776,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
52,2014-03-21,[0.  0.  0.2 0.  0.2 0.  0.  0.  0.2 0.2 0.  0.  0.2],0.9408478836647223,0.9846681050617354,0.38137029696703,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0
53,2014-03-24,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9533271001152513,0.9969322513965428,0.3780209865057845,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
54,2014-03-25,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9525780457399189,1.0002390880296144,0.0073625725000967725,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
55,2014-03-26,[0.   0.   0.25 0.   0.25 0.   0.   0.   0.25 0.25 0.   0.   0.  ],0.9486962605322738,0.9973426601310958,0.008191199855317586,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
