,Date,Weights,Profit,Base Profit,CIA,AAME,FFG,GL,CIGI,FRPH,CTO,TRC,NBIX,BCRX,TECH,TTNP,cash
0,2014-06-03,"[0.06529186 0.15893623 0.11970616 0.16913991 0.06822789 0.
 0.         0.         0.17213967 0.16872592 0.         0.
 0.07783236]",0.9999999999906529,0.9999999999917246,0.1589362268845247,0.11970615503299768,0.16913990776149262,0.06822788847297162,0.0,0.0,0.0,0.1721396733712635,0.1687259234379846,0.0,0.0,0.07783236259627098,0.06529186244249427
1,2014-06-04,"[0.         0.16061758 0.11783588 0.16770086 0.12105245 0.
 0.         0.         0.17029933 0.16807215 0.         0.
 0.09442176]",0.9837662142480859,0.9826272193931783,0.16061758330734757,0.11783587977984142,0.16770085937864287,0.12105244896670884,0.0,0.0,0.0,0.1702993258312676,0.16807214705783177,0.0,0.0,0.09442175567836002,0.0
2,2014-06-05,"[0.         0.15975659 0.10896864 0.16759307 0.12740145 0.
 0.         0.         0.16991133 0.16796065 0.         0.
 0.09840826]",0.990427844397675,0.9899369916429733,0.15975659485711388,0.10896863998835166,0.16759307325433126,0.12740145449225213,0.0,0.0,0.0,0.1699113308032356,0.16796064513840947,0.0,0.0,0.09840826146630605,0.0
3,2014-06-06,"[0.         0.1569913  0.11024503 0.16329218 0.13563574 0.
 0.         0.         0.16532639 0.16349332 0.         0.
 0.10501604]",0.9948572790424142,0.9962676491361582,0.15699129556222943,0.11024503324505375,0.1632921825177768,0.13563573666149178,0.0,0.0,0.0,0.16532639340298208,0.16349331974812642,0.0,0.0,0.1050160388623396,0.0
4,2014-06-09,"[0.         0.15449727 0.11538633 0.15927238 0.1420152  0.
 0.         0.         0.16112565 0.15954024 0.         0.
 0.10816293]",1.0316908436736973,1.0202565909581314,0.15449727098776087,0.11538632691032978,0.15927238183555345,0.14201520072503113,0.0,0.0,0.0,0.16112565379313543,0.15954023948115367,0.0,0.0,0.1081629262670359,0.0
5,2014-06-10,"[0.         0.15495958 0.11705666 0.15951946 0.13987759 0.
 0.         0.         0.16134431 0.15963845 0.         0.
 0.10760396]",1.0339754954204505,1.0244714702226045,0.154959580021398,0.11705665754568503,0.15951945766058906,0.13987758934009695,0.0,0.0,0.0,0.16134431158042722,0.15963844745819178,0.0,0.0,0.10760395639361185,0.0
6,2014-06-11,"[0.         0.15352227 0.11424128 0.15848177 0.14533722 0.
 0.         0.         0.16027852 0.15896028 0.         0.
 0.10917866]",1.0460556047605523,1.0330465813300558,0.15352227143310684,0.11424127675596775,0.1584817655356551,0.14533722199530816,0.0,0.0,0.0,0.1602785187649865,0.15896028078337665,0.0,0.0,0.10917866473159886,0.0
7,2014-06-12,"[0.         0.16075805 0.11824655 0.16628747 0.12166997 0.
 0.         0.         0.16837045 0.16537451 0.         0.
 0.09929299]",1.0412122040776317,1.0313903406564913,0.16075804947959288,0.11824654912973596,0.16628747300979535,0.12166997303869012,0.0,0.0,0.0,0.1683704541143145,0.16537451370051023,0.0,0.0,0.09929298752736086,0.0
8,2014-06-13,"[0.         0.16528124 0.119936   0.17227942 0.10431505 0.
 0.         0.         0.17473907 0.17085865 0.         0.
 0.09259057]",1.0397702069076113,1.0341116781571846,0.1652812362405557,0.11993599592495403,0.17227942476184596,0.104315047723913,0.0,0.0,0.0,0.17473906937505265,0.17085865137351944,0.0,0.0,0.09259057460015917,0.0
9,2014-06-16,"[0.         0.18626464 0.1328491  0.20141573 0.         0.
 0.         0.         0.20590396 0.19841331 0.         0.
 0.07515326]",1.0326588957669218,1.028578570742652,0.18626464199581133,0.13284909959874178,0.20141573016644834,0.0,0.0,0.0,0.0,0.20590395835173303,0.19841331075604465,0.0,0.0,0.07515325913122092,0.0
