,Date,Weights,Profit,Base Profit,Volume,ASYS,TRT,VECO,IVAC,BCRX,TECH,TTNP,NBIX,OLN,GRA,FMC,BCPC,cash
20,2014-02-04,[0.  0.  0.  0.2 0.  0.  0.2 0.2 0.  0.2 0.2 0.  0. ],1.0224056492354445,1.1047017865302668,0.012933408376047697,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
21,2014-02-05,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",0.9973024779077796,1.0730467584370578,0.17040094153924087,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
22,2014-02-06,[0.  0.  0.  0.2 0.  0.  0.2 0.2 0.  0.2 0.2 0.  0. ],0.98726513277826,1.0776715058507267,0.17025894075462464,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
23,2014-02-07,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",0.9960664505149328,1.0840879259715293,0.16454418879637675,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
24,2014-02-10,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",1.003400826569393,1.0831177996954102,0.023115672622935166,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
25,2014-02-11,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",1.005926229659038,1.1009601861984413,0.004751865639400923,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
26,2014-02-12,[0.  0.  0.  0.2 0.  0.  0.2 0.2 0.  0.2 0.2 0.  0. ],1.0082813017685475,1.1037256507659536,0.16722951120686602,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
27,2014-02-13,[0.  0.  0.  0.2 0.  0.  0.2 0.2 0.  0.2 0.2 0.  0. ],1.024127888425153,1.104701159105933,0.006730302034030837,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
28,2014-02-14,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",1.0126979694351441,1.089715519672019,0.17068798140419217,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
29,2014-02-18,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",1.0259061086801669,1.111850317482118,0.00880817743967712,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
30,2014-02-19,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.16666667 0.16666667 0.         0.16666667 0.16666667 0.
 0.        ]",1.0272090006228736,1.1148424046455454,0.012707087987031136,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
