,Date,Weights,Profit,Base Profit,Volume,BKTI,MSI,VSAT,SCON,TRT,IVAC,VECO,ASYS,AAME,FFG,GL,CIA,cash
0,2014-01-06,"[0.0882788  0.10347289 0.09124459 0.09404624 0.10539287 0.08777642
 0.         0.         0.09694552 0.1220822  0.         0.11242125
 0.09833921]",0.9954413718631553,0.9950000000000002,0.9117211773991585,0.10347288846969604,0.09124459326267242,0.09404624253511429,0.10539286583662033,0.08777641505002975,0.0,0.0,0.09694551676511765,0.1220821961760521,0.0,0.11242125183343887,0.09833920747041702,0.08827880024909973
1,2014-01-07,"[0.0885293  0.10319296 0.09117761 0.09399327 0.10534787 0.08772276
 0.         0.         0.09716216 0.12214831 0.         0.11243291
 0.09829284]",1.0024119943259047,1.0007741845335738,0.0008354947645115884,0.10319296270608902,0.09117760509252548,0.09399326890707016,0.10534787178039551,0.0877227634191513,0.0,0.0,0.0971621572971344,0.1221483126282692,0.0,0.11243291199207306,0.09829284250736237,0.08852929621934891
2,2014-01-08,"[0.08811188 0.10385633 0.09132182 0.0940076  0.10564572 0.08795636
 0.         0.         0.09670413 0.1217972  0.         0.11243048
 0.09816848]",1.0266897688364758,1.0191469338345587,0.011511459693885898,0.10385633260011673,0.09132181853055954,0.09400760382413864,0.10564571619033813,0.08795636147260666,0.0,0.0,0.09670412540435791,0.12179720401763916,0.0,0.11243047565221786,0.09816848486661911,0.08811188489198685
3,2014-01-09,"[0.08807367 0.1037953  0.09136932 0.09411246 0.10559166 0.08788485
 0.         0.         0.09670106 0.12196763 0.         0.11241877
 0.09808524]",1.0190192891600898,1.0196062137019108,0.05781271504060972,0.10379530489444733,0.09136932343244553,0.09411245584487915,0.10559166222810745,0.08788485080003738,0.0,0.0,0.09670106321573257,0.1219676285982132,0.0,0.1124187707901001,0.09808523952960968,0.08807367086410522
4,2014-01-10,"[0.08811526 0.10390708 0.09133644 0.09405311 0.1058505  0.08798652
 0.         0.         0.09674023 0.1216412  0.         0.11238031
 0.09798935]",1.046099006703317,1.044461396557041,0.03275488527380135,0.10390707850456238,0.0913364440202713,0.09405311197042465,0.10585049539804459,0.087986521422863,0.0,0.0,0.0967402309179306,0.12164119631052017,0.0,0.11238031089305878,0.09798935055732727,0.08811526000499725
5,2014-01-13,"[0.08807412 0.10384402 0.09137805 0.09417102 0.10584918 0.08792783
 0.         0.         0.09676948 0.12176198 0.         0.11234234
 0.09788194]",1.0322166054755897,1.0376724468437901,0.032802620040871026,0.10384402424097061,0.09137804806232452,0.09417102485895157,0.10584918409585953,0.08792783319950104,0.0,0.0,0.09676948189735413,0.1217619776725769,0.0,0.11234234273433685,0.09788194298744202,0.08807411789894104
6,2014-01-14,"[0.0880568  0.10393638 0.09137966 0.09412131 0.10590146 0.08799055
 0.         0.         0.09670366 0.12164455 0.         0.11235655
 0.09790909]",1.0267617999430003,1.0315547555308315,0.030481613904633265,0.10393638163805008,0.09137965738773346,0.09412131458520889,0.10590145736932755,0.08799055218696594,0.0,0.0,0.0967036634683609,0.12164454907178879,0.0,0.11235655099153519,0.09790908545255661,0.08805680274963379
7,2014-01-15,"[0.08806169 0.10403403 0.0913673  0.09406795 0.10601878 0.08806844
 0.         0.         0.09667397 0.12145793 0.         0.11235294
 0.09789696]",1.023632516947468,1.023289220849144,0.006355324157320077,0.10403402894735336,0.09136730432510376,0.09406795352697372,0.1060187816619873,0.08806844055652618,0.0,0.0,0.09667397290468216,0.12145792692899704,0.0,0.11235294491052628,0.09789696335792542,0.08806169033050537
8,2014-01-16,"[0.08809964 0.10404427 0.09135636 0.09403683 0.10605534 0.08809364
 0.         0.         0.09667748 0.1213906  0.         0.11235654
 0.09788928]",1.0370489298854642,1.0383301276921382,0.01611035317721172,0.10404426604509354,0.09135635942220688,0.09403682500123978,0.10605534166097641,0.08809363842010498,0.0,0.0,0.09667748212814331,0.12139060348272324,0.0,0.11235654354095459,0.09788928180932999,0.0880996435880661
9,2014-01-17,"[0.08791851 0.10436136 0.09141058 0.09405271 0.10625111 0.08821797
 0.         0.         0.09648992 0.1211502  0.         0.11234354
 0.0978041 ]",1.0503477683220581,1.0531633629825727,0.013653145668820676,0.10436135530471802,0.09141058474779129,0.09405270963907242,0.10625110566616058,0.08821796625852585,0.0,0.0,0.09648992121219635,0.12115020304918289,0.0,0.11234354227781296,0.09780409932136536,0.08791851252317429
10,2014-01-21,"[0.08767561 0.10458142 0.09152157 0.09418058 0.1063195  0.08823225
 0.         0.         0.0963061  0.12120996 0.         0.11231422
 0.0976588 ]",1.051476768393098,1.0505940823931752,0.023271480030203788,0.10458142310380936,0.09152156859636307,0.09418057650327682,0.10631950199604034,0.08823224902153015,0.0,0.0,0.09630610048770905,0.12120996415615082,0.0,0.11231421679258347,0.09765879809856415,0.08767560869455338
11,2014-01-22,"[0.0878112  0.10445845 0.09148347 0.09411079 0.10623884 0.08821844
 0.         0.         0.09636641 0.12124378 0.         0.11235005
 0.09771857]",1.044737402305205,1.051011617133273,0.017657664196325952,0.10445845127105713,0.0914834663271904,0.09411078691482544,0.10623884201049805,0.08821843564510345,0.0,0.0,0.09636641293764114,0.12124378234148026,0.0,0.11235005408525467,0.09771856665611267,0.08781120181083679
