,Date,Weights,Profit,Base Profit,Volume,AAME,FFG,CIA,GL,RES,HLX,ENSV,CLB,LAWS,HDSN,WLFC,KAMN,cash
11,2014-01-22,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0480440141937537,1.035004601374796,0.029245154105176203,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
12,2014-01-23,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0542756445191976,1.0396244968071273,0.010499066992328753,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
13,2014-01-24,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0663368225570493,1.0451563113169808,0.00802368983926412,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
14,2014-01-27,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0533966277839522,1.0309151140064907,0.017116305387664156,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
15,2014-01-28,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0392448577761293,1.0173450558197665,0.013194918151924027,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
16,2014-01-29,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0400625191192165,1.0129517353781141,0.012502483434611704,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
17,2014-01-30,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.032468822179028,1.0092251977004523,0.01792488071282025,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
18,2014-01-31,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0393880775908386,1.0151910813291984,0.00991303005941851,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
19,2014-02-03,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0234936441963505,0.9929411964157445,0.00925465733816027,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
20,2014-02-04,"[0.125 0.125 0.125 0.    0.    0.    0.125 0.125 0.    0.125 0.125 0.
 0.125]",1.0167080302749976,0.9886825321529646,0.012369576250802802,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125
