,Date,Weights,Profit,Base Profit,BKTI,MSI,VSAT,SCON,TRT,IVAC,VECO,ASYS,AAME,FFG,GL,CIA,cash
0,2014-01-06,"[0.20790588 0.         0.         0.         0.         0.23101297
 0.         0.         0.         0.         0.24104122 0.32003992
 0.        ]",0.9999999999920791,0.9999999999917246,0.0,0.0,0.0,0.0,0.23101297212137514,0.0,0.0,0.0,0.0,0.24104122119719157,0.3200399220375571,0.0,0.2079058846438762
1,2014-01-07,"[0.         0.         0.         0.         0.         0.27497495
 0.         0.         0.         0.         0.29654589 0.42847916
 0.        ]",0.9971166972668598,1.0048023373828783,0.0,0.0,0.0,0.0,0.27497494856764093,0.0,0.0,0.0,0.0,0.29654589452570473,0.42847915690665433,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.         0.         0.26750711
 0.         0.         0.         0.         0.28966487 0.44282802
 0.        ]",0.9853253403063943,1.0200827878834446,0.0,0.0,0.0,0.0,0.26750711159885215,0.0,0.0,0.0,0.0,0.2896648726301056,0.44282801577104225,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.         0.         0.26212369
 0.         0.         0.         0.         0.28743488 0.45044142
 0.        ]",0.9844844014762857,1.0204647668221443,0.0,0.0,0.0,0.0,0.2621236926090128,0.0,0.0,0.0,0.0,0.2874348825045092,0.4504414248864781,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.         0.         0.26082513
 0.         0.         0.         0.         0.2865252  0.45264968
 0.        ]",1.0066825956073924,1.04113659906012,0.0,0.0,0.0,0.0,0.26082512739646935,0.0,0.0,0.0,0.0,0.2865251969368938,0.452649675666637,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.         0.         0.25878051
 0.         0.         0.         0.         0.28651203 0.45470746
 0.        ]",0.9900670932613777,1.0354902905874623,0.0,0.0,0.0,0.0,0.25878050884674086,0.0,0.0,0.0,0.0,0.28651203072895665,0.45470746042430243,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.         0.         0.25940858
 0.         0.         0.         0.         0.28625533 0.4543361
 0.        ]",0.9825092249010202,1.030402261694563,0.0,0.0,0.0,0.0,0.2594085751609468,0.0,0.0,0.0,0.0,0.2862553272440392,0.454336097595014,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.         0.         0.26109118
 0.         0.         0.         0.         0.28629792 0.4526109
 0.        ]",0.9688775740919138,1.02352789077189,0.0,0.0,0.0,0.0,0.2610911798410443,0.0,0.0,0.0,0.0,0.28629792362382395,0.4526108965351318,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.         0.         0.26166583
 0.         0.         0.         0.         0.28646529 0.45186888
 0.        ]",0.9883197062318023,1.0360372778392728,0.0,0.0,0.0,0.0,0.2616658277707764,0.0,0.0,0.0,0.0,0.2864652903828363,0.4518688818463874,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.         0.         0.26170818
 0.         0.         0.         0.         0.28632011 0.45197171
 0.        ]",0.9964996646562209,1.0483739463424777,0.0,0.0,0.0,0.0,0.26170817992835343,0.0,0.0,0.0,0.0,0.2863201089346162,0.4519717111370304,0.0,0.0
10,2014-01-21,"[0.         0.         0.         0.         0.         0.26132686
 0.         0.         0.         0.         0.28617728 0.45249586
 0.        ]",0.9717777167052537,1.0462370987632073,0.0,0.0,0.0,0.0,0.2613268591770715,0.0,0.0,0.0,0.0,0.2861772779899149,0.45249586283301363,0.0,0.0
11,2014-01-22,"[0.         0.         0.         0.         0.         0.26098984
 0.         0.         0.         0.         0.28615542 0.45285475
 0.        ]",0.9734336816277154,1.046584358654681,0.0,0.0,0.0,0.0,0.26098983642820883,0.0,0.0,0.0,0.0,0.28615541567229436,0.452854747899497,0.0,0.0
12,2014-01-23,"[0.         0.         0.         0.         0.         0.26242776
 0.         0.         0.         0.         0.28593163 0.45164061
 0.        ]",0.9675771808181437,1.0458710198874035,0.0,0.0,0.0,0.0,0.2624277572470374,0.0,0.0,0.0,0.0,0.28593163474254946,0.45164060801041317,0.0,0.0
13,2014-01-24,"[0.         0.         0.         0.         0.         0.26198474
 0.         0.         0.         0.         0.28587148 0.45214379
 0.        ]",0.9810930956872538,1.051946993887954,0.0,0.0,0.0,0.0,0.2619847379720538,0.0,0.0,0.0,0.0,0.28587147573501853,0.45214378629292773,0.0,0.0
14,2014-01-27,"[0.         0.         0.         0.         0.         0.26217139
 0.         0.         0.         0.         0.28582238 0.45200624
 0.        ]",0.9624371645928503,1.039273063241594,0.0,0.0,0.0,0.0,0.2621713852756734,0.0,0.0,0.0,0.0,0.28582237832466467,0.452006236399662,0.0,0.0
15,2014-01-28,"[0.         0.         0.         0.         0.         0.26257842
 0.         0.         0.         0.         0.2860177  0.45140388
 0.        ]",0.9514680302588788,1.0244688407174125,0.0,0.0,0.0,0.0,0.2625784205604343,0.0,0.0,0.0,0.0,0.28601769658644366,0.451403882853122,0.0,0.0
16,2014-01-29,"[0.         0.         0.         0.         0.         0.26343641
 0.         0.         0.         0.         0.28631655 0.45024704
 0.        ]",0.9464514415209253,1.012264399905581,0.0,0.0,0.0,0.0,0.2634364073354963,0.0,0.0,0.0,0.0,0.2863165531372524,0.45024703952725137,0.0,0.0
17,2014-01-30,"[0.         0.         0.         0.         0.         0.26391942
 0.         0.         0.         0.         0.28648652 0.44959406
 0.        ]",0.9232976872584036,1.0034328649864845,0.0,0.0,0.0,0.0,0.26391942347373676,0.0,0.0,0.0,0.0,0.28648652019168797,0.4495940563345754,0.0,0.0
18,2014-01-31,"[0.         0.         0.         0.         0.         0.26304887
 0.         0.         0.         0.         0.28652514 0.45042599
 0.        ]",0.9475152594822517,1.0241408156628504,0.0,0.0,0.0,0.0,0.26304886787613724,0.0,0.0,0.0,0.0,0.28652514205118224,0.4504259900726805,0.0,0.0
19,2014-02-03,"[0.         0.         0.         0.         0.         0.26326006
 0.         0.         0.         0.         0.28669605 0.45004389
 0.        ]",0.9357370900979546,1.0156053922419552,0.0,0.0,0.0,0.0,0.2632600589882816,0.0,0.0,0.0,0.0,0.2866960519136304,0.45004388909808807,0.0,0.0
20,2014-02-04,"[0.         0.         0.         0.         0.         0.26329898
 0.         0.         0.         0.         0.28679265 0.44990837
 0.        ]",0.9285437124332772,1.0082605892342367,0.0,0.0,0.0,0.0,0.2632989768860485,0.0,0.0,0.0,0.0,0.2867926531221639,0.4499083699917877,0.0,0.0
21,2014-02-05,"[0.         0.         0.         0.         0.         0.26375227
 0.         0.         0.         0.         0.28673662 0.44951111
 0.        ]",0.902665145632122,0.9855819958465479,0.0,0.0,0.0,0.0,0.2637522685026941,0.0,0.0,0.0,0.0,0.2867366200504522,0.4495111114468536,0.0,0.0
22,2014-02-06,"[0.         0.         0.         0.         0.         0.26213141
 0.         0.         0.         0.         0.28634839 0.4515202
 0.        ]",0.9280181988825111,0.9900335285526094,0.0,0.0,0.0,0.0,0.2621314076952244,0.0,0.0,0.0,0.0,0.2863483899272295,0.4515202023775462,0.0,0.0
23,2014-02-07,"[0.         0.         0.         0.         0.         0.2599014
 0.         0.         0.         0.         0.28609806 0.45400054
 0.        ]",0.9303754023870366,0.9899070794778665,0.0,0.0,0.0,0.0,0.2599013984994187,0.0,0.0,0.0,0.0,0.2860980624821436,0.4540005390184377,0.0,0.0
