,Date,Weights,Profit,Base Profit,AVX,IIN,HUBB,MRCY,JPM,TCF,C,UMBF,KAMN,HDSN,LAWS,WLFC,cash
0,2014-01-06,"[0.14204016 0.14363896 0.19347644 0.20653293 0.         0.
 0.         0.         0.17007046 0.         0.         0.
 0.14424105]",0.9999999999914204,0.9999999999917246,0.14363896229656042,0.1934764364093455,0.20653293464916136,0.0,0.0,0.0,0.0,0.1700704601303515,0.0,0.0,0.0,0.1442410487816121,0.14204015773296907
1,2014-01-07,"[0.         0.16268043 0.22968535 0.24729008 0.         0.
 0.         0.         0.19679971 0.         0.         0.
 0.16354443]",1.0111118323875095,1.0105864935748967,0.16268043202966165,0.2296853464057097,0.24729007962039934,0.0,0.0,0.0,0.0,0.19679971100600052,0.0,0.0,0.0,0.16354443093822865,0.0
2,2014-01-08,"[0.         0.1612805  0.23119294 0.2490798  0.         0.
 0.         0.         0.19606549 0.         0.         0.
 0.16238127]",1.0097204892572327,1.011896285299611,0.1612804969260276,0.23119294056069734,0.249079801755896,0.0,0.0,0.0,0.0,0.19606548596834372,0.0,0.0,0.0,0.16238127478903536,0.0
3,2014-01-09,"[0.         0.16064268 0.23145548 0.25032835 0.         0.
 0.         0.         0.19595259 0.         0.         0.
 0.1616209 ]",1.0123528105607247,1.011981695898284,0.16064268299482493,0.23145547865232668,0.25032835384443886,0.0,0.0,0.0,0.0,0.19595258773533772,0.0,0.0,0.0,0.1616208967730717,0.0
4,2014-01-10,"[0.         0.16039195 0.23148153 0.25085042 0.         0.
 0.         0.         0.19595297 0.         0.         0.
 0.16132313]",1.015265400174774,1.015696761823313,0.16039194635015241,0.23148153331890742,0.2508504226679295,0.0,0.0,0.0,0.0,0.19595296976123872,0.0,0.0,0.0,0.16132312790177195,0.0
5,2014-01-13,"[0.         0.16033774 0.23151848 0.25083496 0.         0.
 0.         0.         0.19600466 0.         0.         0.
 0.16130416]",1.023772685356691,1.0211695664396474,0.16033774086882355,0.23151848373467196,0.25083495693259716,0.0,0.0,0.0,0.0,0.1960046609955418,0.0,0.0,0.0,0.16130415746836566,0.0
6,2014-01-14,"[0.         0.16061932 0.23154379 0.25016419 0.         0.
 0.         0.         0.1959742  0.         0.         0.
 0.1616985 ]",1.0346325816446622,1.0219600331543184,0.16061931836163867,0.23154379144266357,0.2501641916679416,0.0,0.0,0.0,0.0,0.19597419649486167,0.0,0.0,0.0,0.16169850203289443,0.0
7,2014-01-15,"[0.         0.16058905 0.23153954 0.25022129 0.         0.
 0.         0.         0.1960257  0.         0.         0.
 0.16162441]",1.0283201120691883,1.0205499059587935,0.1605890519659595,0.23153954466688587,0.25022129395348974,0.0,0.0,0.0,0.0,0.19602569978139056,0.0,0.0,0.0,0.16162440963227437,0.0
8,2014-01-16,"[0.         0.16048013 0.23155133 0.25039546 0.         0.
 0.         0.         0.19607447 0.         0.         0.
 0.16149861]",1.04356178011943,1.027315710011253,0.1604801287391392,0.2315513328412917,0.2503954558556192,0.0,0.0,0.0,0.0,0.196074468882999,0.0,0.0,0.0,0.16149861368095092,0.0
9,2014-01-17,"[0.         0.16056457 0.23156654 0.25016532 0.         0.
 0.         0.         0.19609106 0.         0.         0.
 0.1616125 ]",1.0495089020026944,1.0366896647699835,0.16056457400047702,0.23156654421912212,0.25016532222140464,0.0,0.0,0.0,0.0,0.19609105981644803,0.0,0.0,0.0,0.1616124997425482,0.0
10,2014-01-21,"[0.         0.16081258 0.23154394 0.24975414 0.         0.
 0.         0.         0.19607527 0.         0.         0.
 0.16181407]",1.0485003380220748,1.0353382789259815,0.16081257744300975,0.23154393779840507,0.2497541441767066,0.0,0.0,0.0,0.0,0.19607527248480475,0.0,0.0,0.0,0.1618140680970738,0.0
11,2014-01-22,"[0.         0.16093848 0.23158566 0.24941697 0.         0.
 0.         0.         0.19604711 0.         0.         0.
 0.16201177]",1.0657457138259958,1.0432394319396863,0.16093848122359714,0.23158566281750925,0.24941696766129817,0.0,0.0,0.0,0.0,0.19604711404911337,0.0,0.0,0.0,0.16201177424848204,0.0
12,2014-01-23,"[0.         0.1610494  0.23161737 0.24914778 0.         0.
 0.         0.         0.19603697 0.         0.         0.
 0.16214848]",1.0808220591539925,1.0487745686074714,0.16104939603478513,0.23161737421082854,0.24914778215674455,0.0,0.0,0.0,0.0,0.1960369682275553,0.0,0.0,0.0,0.16214847937008645,0.0
13,2014-01-24,"[0.         0.16096247 0.23164823 0.2493503  0.         0.
 0.         0.         0.19602114 0.         0.         0.
 0.16201786]",1.0773105483195198,1.0466273541246873,0.16096247066846858,0.231648229409919,0.24935029920138374,0.0,0.0,0.0,0.0,0.196021143107264,0.0,0.0,0.0,0.16201785761296458,0.0
14,2014-01-27,"[0.         0.16095401 0.23163335 0.24942424 0.         0.
 0.         0.         0.1960169  0.         0.         0.
 0.1619715 ]",1.058043653765511,1.0322415021022449,0.1609540062042065,0.2316333490665351,0.24942423975932604,0.0,0.0,0.0,0.0,0.1960169029344805,0.0,0.0,0.0,0.16197150203545194,0.0
15,2014-01-28,"[0.         0.16098301 0.23162142 0.2494009  0.         0.
 0.         0.         0.19597375 0.         0.         0.
 0.16202091]",1.0566862805512394,1.0248839945596695,0.16098301177399957,0.2316214208191435,0.24940090260708933,0.0,0.0,0.0,0.0,0.19597375492155358,0.0,0.0,0.0,0.1620209098782139,0.0
16,2014-01-29,"[0.         0.16136239 0.23164299 0.24851787 0.         0.
 0.         0.         0.19588251 0.         0.         0.
 0.16259423]",1.0564276258480454,1.0201347067393278,0.1613623911476631,0.23164299498890845,0.24851787428214775,0.0,0.0,0.0,0.0,0.19588251113003508,0.0,0.0,0.0,0.16259422845124577,0.0
17,2014-01-30,"[0.         0.16107798 0.23164354 0.24910643 0.         0.
 0.         0.         0.1959552  0.         0.         0.
 0.16221685]",1.0573190438831448,1.0183905200151335,0.16107797602346932,0.2316435423505834,0.2491064306690867,0.0,0.0,0.0,0.0,0.19595520315944726,0.0,0.0,0.0,0.16221684779741333,0.0
18,2014-01-31,"[0.         0.16079829 0.23157384 0.2497426  0.         0.
 0.         0.         0.19604386 0.         0.         0.
 0.16184141]",1.0271487678699338,1.008621544865985,0.16079829195753043,0.231573838677994,0.24974259775670898,0.0,0.0,0.0,0.0,0.19604386395222845,0.0,0.0,0.0,0.1618414076555382,0.0
