,Date,Weights,Profit,Base Profit,Volume,PFE,BMY,JNJ,ABT,MCD,JACK,PZZA,EAT,TCF,UMBF,C,JPM,cash
0,2014-01-06,"[0.         0.11758193 0.08169545 0.09267172 0.         0.10597749
 0.08795897 0.10089923 0.         0.09144703 0.09772567 0.14461365
 0.07942884]",0.9997999776571989,0.9998000000000002,0.9999999776482582,0.11758192628622055,0.08169545233249664,0.0926717221736908,0.0,0.10597749054431915,0.08795896917581558,0.10089922696352005,0.0,0.09144703298807144,0.09772566705942154,0.14461365342140198,0.07942883670330048,0.0
1,2014-01-07,"[0.         0.11765724 0.08166299 0.09277771 0.         0.10593035
 0.0878683  0.10098476 0.         0.09141427 0.09772173 0.1445555
 0.07942719]",1.0110565051217788,1.0094216819522563,0.0005335271869289158,0.11765724420547485,0.08166299015283585,0.09277770668268204,0.0,0.10593035072088242,0.08786829560995102,0.10098475962877274,0.0,0.09141426533460617,0.09772172570228577,0.1445554941892624,0.07942719012498856,0.0
2,2014-01-08,"[0.         0.11765466 0.0816603  0.0926959  0.         0.10594856
 0.08794577 0.10095637 0.         0.09141756 0.09773989 0.1445625
 0.07941849]",1.0093883297088158,1.0065578217876157,0.0063013024216931465,0.11765465885400772,0.08166030049324036,0.09269589930772781,0.0,0.1059485599398613,0.08794576674699783,0.10095637291669846,0.0,0.09141755849123001,0.09773989021778107,0.1445624977350235,0.07941848784685135,0.0
3,2014-01-09,"[0.         0.11767969 0.08166006 0.09274553 0.         0.10598672
 0.08787505 0.10098524 0.         0.09139382 0.09771841 0.14454657
 0.07940892]",1.0090570827689647,1.0061589651529876,0.009948941332931895,0.11767969280481339,0.08166006207466125,0.09274552762508392,0.0,0.10598672181367874,0.08787504583597183,0.10098524391651154,0.0,0.09139382094144821,0.09771841019392014,0.14454656839370728,0.0794089213013649,0.0
4,2014-01-10,"[0.         0.11766922 0.08167423 0.09270893 0.         0.10601323
 0.08791104 0.10095716 0.         0.09137105 0.09772518 0.14454643
 0.07942356]",1.0162195877501226,1.0134622667168707,0.0068892140036978956,0.11766921728849411,0.0816742330789566,0.09270893037319183,0.0,0.1060132309794426,0.08791103959083557,0.10095715522766113,0.0,0.09137105196714401,0.09772517532110214,0.14454643428325653,0.07942356169223785,0.0
5,2014-01-13,"[0.         0.11764914 0.08169985 0.0927053  0.         0.10596274
 0.0879728  0.10094196 0.         0.09138855 0.09765377 0.14460856
 0.07941734]",1.018592795263275,1.01589115305111,0.006333679724200733,0.1176491379737854,0.08169984817504883,0.09270530194044113,0.0,0.10596273839473724,0.08797279745340347,0.100941963493824,0.0,0.09138855338096619,0.09765376895666122,0.14460855722427368,0.07941734045743942,0.0
6,2014-01-14,"[0.         0.11764359 0.08170576 0.09275    0.         0.10589447
 0.08798055 0.10093994 0.         0.09140655 0.09763386 0.1446137
 0.07943158]",1.0159255179674054,1.0121457281314616,0.009953674524249077,0.11764359474182129,0.08170575648546219,0.09274999797344208,0.0,0.10589446872472763,0.08798055350780487,0.10093993693590164,0.0,0.09140655398368835,0.09763386100530624,0.14461369812488556,0.07943157851696014,0.0
7,2014-01-15,"[0.         0.1176529  0.08169812 0.09275097 0.         0.10591824
 0.0879496  0.10094322 0.         0.09140369 0.09765986 0.14459532
 0.07942804]",1.0128297460529618,1.0112152377701502,0.005142689463845022,0.11765290051698685,0.08169811964035034,0.09275097399950027,0.0,0.10591824352741241,0.08794960379600525,0.10094322264194489,0.0,0.09140368551015854,0.09765985608100891,0.14459532499313354,0.0794280394911766,0.0
8,2014-01-16,"[0.         0.11766688 0.08169406 0.09277297 0.         0.10600786
 0.0878666  0.10096504 0.         0.09134748 0.09769697 0.14453521
 0.07944695]",1.0208212970924526,1.0207162715802298,0.005055423307480357,0.11766687780618668,0.08169405907392502,0.0927729681134224,0.0,0.10600785911083221,0.08786659687757492,0.10096503794193268,0.0,0.09134747833013535,0.09769696742296219,0.14453521370887756,0.0794469490647316,0.0
9,2014-01-17,"[0.         0.11769536 0.08166527 0.0928316  0.         0.10602251
 0.08778005 0.10099271 0.         0.0913301  0.09775417 0.14446422
 0.07946406]",1.0209063385603767,1.0207957367307914,0.0063133938895333,0.11769536137580872,0.0816652700304985,0.09283159673213959,0.0,0.10602250695228577,0.08778005093336105,0.10099270939826965,0.0,0.09133009612560272,0.09775416553020477,0.14446422457695007,0.07946405559778214,0.0
10,2014-01-21,"[0.         0.1176874  0.08167794 0.09280398 0.         0.10604052
 0.08780499 0.10097724 0.         0.09131634 0.09775285 0.1444695
 0.07946925]",1.0192464757410413,1.0215238498517545,0.010214945376760237,0.1176873967051506,0.08167793601751328,0.09280397742986679,0.0,0.10604051500558853,0.08780498802661896,0.10097724199295044,0.0,0.0913163423538208,0.09775284677743912,0.1444694995880127,0.07946924865245819,0.0
11,2014-01-22,"[0.         0.11770601 0.08166239 0.09286056 0.         0.10601614
 0.08774946 0.10099705 0.         0.09133057 0.09776199 0.14444922
 0.07946664]",1.0208339794334846,1.021759599033331,0.006923046040234869,0.11770600825548172,0.0816623866558075,0.09286055713891983,0.0,0.106016144156456,0.08774945884943008,0.10099705308675766,0.0,0.09133056551218033,0.09776198863983154,0.14444921910762787,0.07946664094924927,0.0
