,Date,Weights,Profit,Base Profit,Volume,PCAR,OSK,F,SPAR,FFG,AAME,GL,CIA,SPXC,LECO,PFIN,CVR,cash
0,2014-01-06,"[0.07489933 0.10167406 0.         0.10729724 0.09167499 0.1042467
 0.0863758  0.09073975 0.09402892 0.         0.07952899 0.07786098
 0.09167325]",0.9999999999907492,0.9999999999917251,0.9251006747484879,0.10167405913112729,0.0,0.10729723828999191,0.09167499358858978,0.10424669876821617,0.08637579574440123,0.09073974955956554,0.09402891539623887,0.0,0.07952899053819938,0.07786098185844005,0.09167325187371768,0.07489932525151219
1,2014-01-07,"[0.         0.11117237 0.         0.1167322  0.09953146 0.11365524
 0.09233762 0.09795327 0.10196703 0.         0.08413857 0.08417444
 0.09833778]",1.0062210838272643,1.0058590415136537,0.07489932525081935,0.11117237077375151,0.0,0.11673220113186214,0.09953146265188142,0.1136552363351581,0.09233762376768181,0.09795327461956126,0.1019670324985747,0.0,0.08413857353687931,0.0841744445323606,0.09833778015228907,0.0
2,2014-01-08,"[0.         0.11140994 0.         0.11724207 0.09928774 0.11364086
 0.09223015 0.09799596 0.10186445 0.         0.08393544 0.08388547
 0.09850792]",1.0034241618951347,1.0019137998194798,0.007723162075824926,0.11140993999342293,0.0,0.11724207337205235,0.09928773582228989,0.11364085564111831,0.09223015088521921,0.09799596014274868,0.10186445130868872,0.0,0.08393543611311077,0.08388547465508837,0.09850792206626076,0.0
3,2014-01-09,"[0.         0.11118696 0.         0.11727456 0.09926893 0.1137151
 0.09220763 0.09804693 0.1018568  0.         0.08378599 0.08404551
 0.09861158]",1.0039272284612704,1.0042864158234794,0.007888764701705277,0.11118696298051564,0.0,0.1172745625364985,0.09926892598286696,0.11371510495188716,0.09220762897490971,0.09804692972305089,0.10185680075846422,0.0,0.08378599402594823,0.0840455088139406,0.09861158125191805,0.0
4,2014-01-10,"[0.         0.1112549  0.         0.11706467 0.09921704 0.11365192
 0.09237807 0.09807899 0.10162281 0.         0.08388103 0.08403491
 0.09881567]",1.0083787621342188,1.008491877473873,0.01040103727230597,0.11125490074221844,0.0,0.11706467002134129,0.09921704222416125,0.11365192423284101,0.09237806649950063,0.0980789892175857,0.10162280535830794,0.0,0.0838810263940522,0.08403490603955262,0.09881566927043892,0.0
5,2014-01-13,"[0.         0.1112594  0.         0.11718957 0.09927371 0.11373785
 0.09219601 0.09800664 0.10187275 0.         0.08373086 0.08433263
 0.09840057]",1.0102487621991754,1.0105652589492073,0.005922712216751932,0.11125940371662545,0.0,0.11718957147159655,0.09927371107427342,0.11373785399921676,0.09219601403361317,0.0980066414680893,0.10187274971161879,0.0,0.08373085575381352,0.08433262567787103,0.09840057309328203,0.0
6,2014-01-14,"[0.         0.11151519 0.         0.11653993 0.09976873 0.11375415
 0.09223447 0.09784831 0.10160284 0.         0.08360748 0.08460443
 0.09852446]",1.0013897831479424,1.007334274614026,0.010465022476782151,0.11151518828142547,0.0,0.11653993441700769,0.09976873169693988,0.11375415418611141,0.09223447015131951,0.09784831406821408,0.10160283573767226,0.0,0.0836074833241462,0.08460443026518974,0.09852445787197378,0.0
7,2014-01-15,"[0.         0.11171238 0.         0.11666524 0.09976464 0.11353994
 0.09213937 0.09764835 0.10180758 0.         0.08374616 0.08493789
 0.09803845]",0.9842088319095215,0.9941889695304423,0.011745687318551598,0.11171238089068217,0.0,0.1166652375556362,0.09976464071530222,0.11353993705160363,0.09213936584645643,0.09764834944195187,0.10180758105089732,0.0,0.08374616289063155,0.0849378931159034,0.09803845144093531,0.0
8,2014-01-16,"[0.         0.11193112 0.         0.11613882 0.09990526 0.11362779
 0.09233888 0.09766255 0.10194732 0.         0.08369023 0.08535993
 0.09739811]",1.0081243008118326,1.0140785540198771,0.02036380598867892,0.11193112107520911,0.0,0.11613881666500236,0.09990525570354673,0.11362778865240464,0.09233887838247255,0.09766254839574347,0.10194732424318889,0.0,0.08369022858161025,0.08535993145405923,0.09739810684676269,0.0
9,2014-01-17,"[0.         0.11161246 0.         0.11558566 0.10013522 0.11358056
 0.09189653 0.09731162 0.10170529 0.         0.08353039 0.08505335
 0.09958891]",1.0073165373597572,1.0146018386910227,0.02685706733656705,0.1116124648330949,0.0,0.11558565772907815,0.10013522382244154,0.11358055640854549,0.09189652803960052,0.09731162150171814,0.10170529249336942,0.0,0.08353038536700394,0.08505335490201235,0.09958891490313554,0.0
10,2014-01-21,"[0.         0.11182932 0.         0.11613408 0.10009593 0.11372205
 0.09194341 0.0977652  0.10160613 0.         0.08353964 0.08538907
 0.09797517]",1.0033604936455798,1.0126824065757085,0.010919383616613184,0.11182931925148394,0.0,0.1161340800566081,0.10009593111667604,0.1137220463648925,0.09194341198763414,0.09776520067660054,0.10160612828571534,0.0,0.08353964492587942,0.0853890701789535,0.09797516715555642,0.0
11,2014-01-22,"[0.         0.11187295 0.         0.11625276 0.10016928 0.11304114
 0.09227686 0.09776944 0.10153139 0.         0.08350617 0.08527305
 0.09830696]",1.0108841230262706,1.018883821846214,0.015072642216179754,0.11187295442464242,0.0,0.11625275797175548,0.1001692792273528,0.11304113869520575,0.09227685713765033,0.09776943574971328,0.10153139380754134,0.0,0.08350617489502733,0.08527305120514408,0.09830695688596734,0.0
