,Date,Weights,Profit,Base Profit,Volume,IEC,FLEX,SANM,CTS,IEX,FLS,GGG,ITT,CRY,ATRI,TFX,MMM,cash
0,2014-01-06,"[0.10747805 0.         0.28086544 0.         0.         0.14063812
 0.         0.         0.         0.13130107 0.         0.12453875
 0.21517858]",0.9999999999910748,0.9999999999917251,0.8925219515228262,0.0,0.28086543559523924,0.0,0.0,0.14063811502048826,0.0,0.0,0.0,0.13130107072328878,0.0,0.12453874605984273,0.21517858412396723,0.10747804847717377
1,2014-01-07,"[0.         0.         0.34086428 0.         0.         0.14909996
 0.         0.         0.         0.13754492 0.         0.12864112
 0.24384972]",1.0037015780864882,1.0027233169116043,0.10747804847717361,0.0,0.3408642775273671,0.0,0.0,0.14909996262993722,0.0,0.0,0.0,0.13754491906871597,0.0,0.1286411167761091,0.24384972399787067,0.0
2,2014-01-08,"[0.         0.         0.35264481 0.         0.         0.14447046
 0.         0.         0.         0.13243686 0.         0.12721671
 0.24323116]",0.9959122400312513,0.9996062598046344,0.021718278990675244,0.0,0.3526448097360587,0.0,0.0,0.14447045968985525,0.0,0.0,0.0,0.1324368577295906,0.0,0.12721670851023106,0.24323116433426428,0.0
3,2014-01-09,"[0.         0.         0.35298807 0.         0.         0.14434031
 0.         0.         0.         0.13144179 0.         0.12782207
 0.24340774]",0.9966242164903069,1.0006487520831642,0.004545802756277945,0.0,0.35298807455409115,0.0,0.0,0.14434031408453787,0.0,0.0,0.0,0.13144179411854867,0.0,0.1278220733395509,0.24340774390327125,0.0
4,2014-01-10,"[0.         0.         0.35567962 0.         0.         0.14516213
 0.         0.         0.         0.12801197 0.         0.1277858
 0.24336047]",0.9975300088646656,1.0005912017313683,0.004608941353322821,0.0,0.35567962217470395,0.0,0.0,0.1451621302921059,0.0,0.0,0.0,0.12801197430334207,0.0,0.12778580375083196,0.24336046947901613,0.0
5,2014-01-13,"[0.         0.         0.35335523 0.         0.         0.14423679
 0.         0.         0.         0.12955819 0.         0.1293104
 0.24353939]",1.004231660592967,1.003364569995311,0.004403806461131782,0.0,0.3533552311774465,0.0,0.0,0.1442367883254678,0.0,0.0,0.0,0.1295581938838731,0.0,0.12931039664643165,0.24353938996678084,0.0
6,2014-01-14,"[0.         0.08562649 0.32063229 0.         0.         0.13535051
 0.         0.         0.         0.11527649 0.         0.11758919
 0.22552502]",0.9971733032814002,0.9986832417545931,0.1717801001045406,0.0856264947507718,0.3206322891732308,0.0,0.0,0.1353505134116249,0.0,0.0,0.0,0.11527649346140037,0.0,0.11758918635600678,0.22552502284696546,0.0
7,2014-01-15,"[0.         0.10058688 0.31811684 0.         0.         0.13462394
 0.         0.         0.         0.10869069 0.         0.11536273
 0.22261892]",0.9965039270934312,0.9915584755726632,0.031508072501641074,0.10058687901384336,0.31811683828956805,0.0,0.0,0.1346239411391284,0.0,0.0,0.0,0.10869069032182582,0.0,0.11536273191920705,0.22261891931642733,0.0
8,2014-01-16,"[0.         0.10856498 0.30830028 0.         0.         0.13659295
 0.         0.         0.         0.11000523 0.         0.11263199
 0.22390458]",1.006449470540641,0.9991431082293354,0.017598769317188595,0.10856498075156963,0.308300276297815,0.0,0.0,0.13659294861416738,0.0,0.0,0.0,0.11000522659218882,0.0,0.11263198707565937,0.22390458066859978,0.0
9,2014-01-17,"[0.         0.0830973  0.29858679 0.         0.08408706 0.15548605
 0.         0.         0.         0.09546542 0.         0.08218816
 0.20108921]",1.0108505660935738,1.0020981086641105,0.21039370847045652,0.08309730078178505,0.2985867874116095,0.0,0.08408706141693852,0.15548605464093573,0.0,0.0,0.0,0.09546542425348349,0.0,0.08218815881840827,0.2010892126768394,0.0
10,2014-01-21,"[0.         0.         0.30841272 0.         0.         0.12195042
 0.         0.         0.10902137 0.1419731  0.         0.10853619
 0.21010619]",1.01231324490055,1.0017157153347722,0.39922859226726287,0.0,0.30841272441083034,0.0,0.0,0.12195042481455486,0.0,0.0,0.10902137110799832,0.14197309796077648,0.0,0.1085361878630365,0.2101061938428034,0.0
11,2014-01-22,"[0.         0.         0.3164547  0.         0.         0.11894179
 0.         0.         0.1091212  0.14626372 0.         0.1073553
 0.20186329]",1.0199260462573352,1.0033398909561486,0.025317948349330863,0.0,0.31645470244411333,0.0,0.0,0.11894178506257434,0.0,0.0,0.10912120033115628,0.14626371895735402,0.0,0.10735529982500198,0.20186329337980002,0.0
12,2014-01-23,"[0.         0.         0.31716084 0.         0.         0.12173328
 0.         0.         0.11057531 0.13891511 0.         0.10923933
 0.20237613]",1.0110801898584156,1.0010170129113447,0.019174222807051375,0.0,0.3171608419380157,0.0,0.0,0.12173327753745035,0.0,0.0,0.11057531129062759,0.13891511209795285,0.0,0.10923932641006341,0.20237613072589022,0.0
13,2014-01-24,"[0.         0.         0.31959642 0.         0.         0.12402328
 0.         0.         0.11315196 0.13120204 0.         0.10887591
 0.20315039]",1.0026060713029485,0.9945684094595849,0.011992159511813469,0.0,0.3195964187642173,0.0,0.0,0.12402328274937179,0.0,0.0,0.11315195954343718,0.13120203952878173,0.0,0.10887591236670338,0.20315038704748872,0.0
14,2014-01-27,"[0.         0.         0.31939908 0.         0.         0.1241331
 0.         0.         0.11183614 0.13072728 0.         0.10928221
 0.20462219]",0.9941186647293666,0.9885855303778402,0.0074483257113699824,0.0,0.3193990775161093,0.0,0.0,0.12413309924324864,0.0,0.0,0.11183614490272296,0.13072728066706576,0.0,0.10928220648690241,0.20462219118395092,0.0
