,Date,Weights,Profit,Base Profit,Volume,BMY,ABT,JNJ,PFE,EBIX,JKHY,UIS,STRM,SUP,STRT,MOD,DORM,cash
0,2014-01-06,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.999999999992,0.99999999999,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
1,2014-01-07,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9986802513353469,1.0055226544158589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2,2014-01-08,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9971218541762726,1.0025794732894886,0.005048498760897652,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
3,2014-01-09,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0014115197039404,1.0085125575423857,0.006570541129577196,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
4,2014-01-10,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0016320411458437,1.0157716255570104,0.0054147768753818526,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
5,2014-01-13,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9923604164326212,1.0124935036695613,0.0018357448547089389,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
6,2014-01-14,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9800209406438282,1.004051748281493,0.005027086068287199,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
7,2014-01-15,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.978466328442083,1.0002882293743993,0.01085247980867473,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
8,2014-01-16,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9842663354674918,1.0079428349651327,0.01124538160023963,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
9,2014-01-17,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9809916150080334,1.000586644924173,0.01852548206314306,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
10,2014-01-21,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.977486985914889,1.0032478271377232,0.005328829265320721,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
11,2014-01-22,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9707060153049948,0.9990191227721857,0.006689062625958632,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
12,2014-01-23,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9771852702582192,0.9961195039067955,0.013541687468855456,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
13,2014-01-24,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.98347445189983,0.9995934722627136,0.011949487514481475,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
14,2014-01-27,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0006430550154823,0.9980364321562466,0.008279618586542458,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
15,2014-01-28,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9652628692912231,0.9629429095073182,0.04613311037044373,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
16,2014-01-29,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],0.9795299906090545,0.9579599489789365,0.029507789775771405,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
17,2014-01-30,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0021146098257236,0.969528349549158,0.03109594342249304,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
18,2014-01-31,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0010180220315767,0.9656871109507518,0.02216260571636018,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
19,2014-02-03,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.015613989611496,0.9689895096710504,0.030578626236803814,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
20,2014-02-04,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0536908809765908,0.9875151433082979,0.03625246811620704,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
21,2014-02-05,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0347075852887588,0.9747059350090282,0.03206765206940911,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
22,2014-02-06,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0340279119858633,0.9703456244294612,0.014972868284239448,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
23,2014-02-07,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0344876182146818,0.9754854813950938,0.010663337014671904,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
24,2014-02-10,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0331277059109136,0.9785223344860527,0.0022882820237978383,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
25,2014-02-11,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0393231923464354,0.9894927629498107,0.021536766759545075,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
26,2014-02-12,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0490070707378503,1.0007432166142374,0.010043139226157237,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
27,2014-02-13,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0569143296731984,1.0130759714061992,0.0076247052489788695,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
28,2014-02-14,"[0.16666667 0.         0.         0.         0.         0.
 0.         0.16666667 0.16666667 0.         0.16666667 0.16666667
 0.16666667]",1.0558667311185204,1.010838746827256,0.3186557506890444,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
29,2014-02-18,"[0.16666667 0.         0.         0.         0.         0.
 0.         0.16666667 0.16666667 0.         0.16666667 0.16666667
 0.16666667]",1.06725094508952,1.0243615559449715,0.011909968223130996,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
30,2014-02-19,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0649636200624188,1.0264226553970344,0.3171863683772373,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
31,2014-02-20,[0.2 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.2 0.2],1.0756258893489554,1.0311386925435504,0.004364063707878655,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
