,Date,Weights,Profit,Base Profit,Volume,ITT,IEX,GGG,FLS,ABT,JNJ,PFE,BMY,PCAR,F,SPAR,OSK,cash
0,2014-01-06,"[0.08220456 0.09289557 0.09361312 0.08368401 0.08638492 0.08942303
 0.10216174 0.09857324 0.0974067  0.         0.         0.08740419
 0.08624892]",0.9999999999908219,0.9999999999917251,0.9177954374087932,0.09289557070433348,0.09361312085113423,0.08368400699224285,0.08638491916527281,0.08942303350074728,0.10216174381472545,0.09857323594805369,0.09740669818730274,0.0,0.0,0.08740418969808386,0.08624891854689688,0.08220456259120669
1,2014-01-07,"[0.         0.10129058 0.10224441 0.09032582 0.09372911 0.09723443
 0.11240475 0.10798365 0.10676437 0.         0.         0.09490947
 0.0931134 ]",1.0103151956726735,1.0092154912940416,0.08220456259045218,0.10129057703617521,0.10224440885141176,0.09032582177419622,0.09372911229432698,0.09723442841142908,0.11240475327896432,0.1079836505633241,0.10676437117488212,0.0,0.0,0.09490947212803412,0.09311340448725616,0.0
2,2014-01-08,"[0.         0.10129883 0.10225028 0.09016296 0.09357684 0.09728346
 0.11258131 0.10812047 0.10690685 0.         0.         0.09473523
 0.09308377]",1.0050830257803636,1.0047303508704295,0.0029644392845074785,0.10129883353022034,0.10225027512261958,0.09016295783619445,0.09357684045781957,0.09728346379786673,0.11258130688976407,0.10812047071741979,0.10690684916020671,0.0,0.0,0.09473523490688951,0.09308376758099919,0.0
3,2014-01-09,"[0.         0.10126505 0.10222637 0.09006157 0.09356366 0.09724473
 0.11287313 0.10821363 0.10682123 0.         0.         0.09486336
 0.09286728]",1.0081089505314125,1.0062274586289055,0.0072369952546069835,0.10126504571040018,0.10222637271335734,0.0900615731157492,0.09356365972731079,0.09724472905411549,0.1128731266097786,0.1082136284830847,0.10682123057592056,0.0,0.0,0.09486335500808958,0.09286727900219326,0.0
4,2014-01-10,"[0.         0.10126914 0.10227153 0.09016821 0.09370481 0.09707706
 0.11280575 0.10804576 0.10679548 0.         0.         0.09481871
 0.09304354]",1.0158503412077307,1.0123720935847207,0.005473179906378165,0.1012691406332453,0.10227153150537466,0.09016821313932995,0.093704810056625,0.09707706281750948,0.11280575196854523,0.10804575830700565,0.1067954793841237,0.0,0.0,0.0948187129845024,0.09304353920373853,0.0
5,2014-01-13,"[0.         0.10129645 0.10227907 0.09013712 0.09352961 0.09722999
 0.11265218 0.10805087 0.10705276 0.         0.         0.09489797
 0.09287398]",1.0221500884141597,1.017575935932313,0.004928665503328774,0.10129645369526082,0.10227906927704751,0.09013711772661083,0.09352961180695243,0.09722999452689406,0.11265218050053773,0.1080508694210193,0.10705275712346402,0.0,0.0,0.09489796688647226,0.09287397903574092,0.0
6,2014-01-14,"[0.         0.10134037 0.10227307 0.09020141 0.09372439 0.09716931
 0.11251199 0.10786901 0.10727269 0.         0.         0.09492341
 0.09271436]",1.0243137958005282,1.0204982134023202,0.009223887353832732,0.10134037024988889,0.10227307160581749,0.09020141141465333,0.09372438651158045,0.09716931099405046,0.11251198700005757,0.10786900695348835,0.10727268979272343,0.0,0.0,0.09492340712403596,0.09271435835370388,0.0
7,2014-01-15,"[0.         0.10145278 0.10235072 0.0901435  0.09372939 0.09716116
 0.11255683 0.10800266 0.1069094  0.         0.         0.0947329
 0.09296065]",1.015876587931637,1.0138258403632847,0.008805587885115686,0.10145278250647197,0.10235071810683044,0.09014350461440925,0.09372938806373357,0.09716116214137731,0.11255683212563995,0.10800265860841984,0.10690939956979549,0.0,0.0,0.09473290157664498,0.09296065268667714,0.0
8,2014-01-16,"[0.         0.10134741 0.1023908  0.09007628 0.09382882 0.09735979
 0.11281087 0.10806276 0.10679952 0.         0.         0.0946643
 0.09265945]",1.0280926463460536,1.023040732333568,0.006009365330755726,0.1013474119020645,0.10239079782896038,0.09007628458610947,0.09382881592134604,0.09735978620476492,0.11281086857933181,0.10806276221351795,0.10679951609607068,0.0,0.0,0.09466430314876143,0.0926594535190729,0.0
9,2014-01-17,"[0.         0.1011913  0.10240768 0.09011424 0.09373755 0.09722848
 0.11256684 0.10813074 0.10670221 0.         0.         0.09503398
 0.092887  ]",1.027676613406212,1.024489306381505,0.00728002140129508,0.10119129576551202,0.10240767576751596,0.09011424029753598,0.09373755044970829,0.09722847874935701,0.11256683517480513,0.10813073576098461,0.10670221229689007,0.0,0.0,0.09503397504828501,0.09288700068940599,0.0
10,2014-01-21,"[0.         0.10138456 0.10244234 0.09004681 0.09382556 0.09724495
 0.1126479  0.10813725 0.10653196 0.         0.         0.0950378
 0.09270086]",1.0300914080788897,1.0268827407726342,0.0060574236441056336,0.1013845562984677,0.1024423386714478,0.0900468132341715,0.0938255621370497,0.09724495424677453,0.11264789975696789,0.1081372514893241,0.10653196163073494,0.0,0.0,0.09503780290388844,0.09270085963117339,0.0
11,2014-01-22,"[0.         0.10113807 0.1023366  0.09004678 0.09378974 0.09729746
 0.11262335 0.10809276 0.10694695 0.         0.         0.09509525
 0.09263304]",1.0321703917197678,1.0285115380434486,0.005753343082707657,0.101138072330694,0.10233660113483997,0.09004678160247899,0.09378973730578373,0.09729745549254985,0.1126233499411102,0.10809276483992829,0.1069469495738938,0.0,0.0,0.09509524742250322,0.09263304035621805,0.0
