,Date,Weights,Profit,Base Profit,Volume,IVAC,TRT,ASYS,VECO,TFX,ATRI,MMM,CRY,KOPN,XLNX,INTC,MXIM,cash
0,2014-01-06,"[0.07821361 0.08287127 0.09084861 0.08587791 0.08853877 0.07381907
 0.08528361 0.08846647 0.07858412 0.         0.07612709 0.0756326
 0.09573685]",0.9999999925402016,0.9999999999900002,0.9217863827943802,0.08287127315998077,0.09084860980510712,0.0858779102563858,0.0885387659072876,0.07381907105445862,0.08528361469507217,0.08846647292375565,0.07858411967754364,0.0,0.07612708956003189,0.07563260197639465,0.09573685377836227,0.07821360975503922
1,2014-01-07,"[0.07728896 0.08277307 0.09152842 0.08552691 0.08882474 0.07392251
 0.08561682 0.08832925 0.07831653 0.         0.07682943 0.07549938
 0.09554394]",1.0044226598950097,1.0071673092425728,0.003284924397342594,0.08277306705713272,0.09152841567993164,0.08552691340446472,0.08882474154233932,0.07392251491546631,0.0856168195605278,0.0883292481303215,0.07831653207540512,0.0,0.07682943344116211,0.07549937814474106,0.09554394334554672,0.07728896290063858
2,2014-01-08,"[0.07707604 0.08282829 0.09143282 0.08544295 0.0888997  0.07398254
 0.08571177 0.0882328  0.07830092 0.         0.07701183 0.07557583
 0.09550452]",0.9990517434304672,0.9984753613092021,0.010019112477047239,0.08282829076051712,0.09143281728029251,0.08544294536113739,0.08889970183372498,0.07398254424333572,0.085711769759655,0.08823280036449432,0.07830091565847397,0.0,0.0770118311047554,0.0755758285522461,0.0955045223236084,0.07707604020833969
3,2014-01-09,"[0.07715205 0.08273059 0.09159639 0.08537617 0.08890368 0.07397027
 0.08566935 0.08828508 0.07834014 0.         0.07701986 0.07550804
 0.0954484 ]",1.01121483920155,1.0095591007317848,0.008978434748347999,0.08273059129714966,0.09159639477729797,0.08537617325782776,0.08890368044376373,0.073970265686512,0.08566934615373611,0.08828508108854294,0.07834014296531677,0.0,0.07701986283063889,0.07550803571939468,0.09544840455055237,0.07715205103158951
4,2014-01-10,"[0.0772807  0.08259363 0.09162822 0.0853644  0.08891268 0.07393812
 0.08558729 0.08828326 0.07843144 0.         0.07702889 0.07550053
 0.09545081]",1.0256205945347476,1.0237772276897252,0.01827190064910305,0.082593634724617,0.09162822365760803,0.08536440134048462,0.08891268074512482,0.07393812388181686,0.0855872854590416,0.08828325569629669,0.07843144237995148,0.0,0.07702889293432236,0.07550052553415298,0.09545081108808517,0.07728070020675659
5,2014-01-13,"[0.07755259 0.08255924 0.09159134 0.08529998 0.08878574 0.07391181
 0.08554021 0.08832961 0.07855962 0.         0.07689936 0.07551739
 0.09545311]",1.0304896689591203,1.0288504173107342,0.0240404464663397,0.08255923539400101,0.09159133583307266,0.08529998362064362,0.08878573775291443,0.07391180843114853,0.08554020524024963,0.08832960575819016,0.07855962216854095,0.0,0.07689935714006424,0.07551739364862442,0.09545311331748962,0.07755259424448013
6,2014-01-14,"[0.07737754 0.08264048 0.09149542 0.08522631 0.08879679 0.07395254
 0.08564954 0.08824336 0.07854932 0.         0.07702873 0.07562767
 0.09541231]",1.0303102945991893,1.0281741334717243,0.024229889119503325,0.08264048397541046,0.09149542450904846,0.08522631227970123,0.08879679441452026,0.07395254075527191,0.0856495350599289,0.08824335783720016,0.07854931801557541,0.0,0.07702872902154922,0.07562766969203949,0.09541231393814087,0.07737753540277481
7,2014-01-15,"[0.07732278 0.08266578 0.09140793 0.08517332 0.08879895 0.07396848
 0.08570396 0.08819344 0.07857893 0.         0.07708184 0.07568705
 0.09541755]",1.0213402497900645,1.0198453801001637,0.0057333077184146255,0.08266577869653702,0.09140793234109879,0.08517332375049591,0.08879894763231277,0.07396848499774933,0.08570396155118942,0.08819343894720078,0.07857892662286758,0.0,0.0770818442106247,0.07568705081939697,0.0954175516963005,0.07732278108596802
8,2014-01-16,"[0.07729147 0.08278258 0.09125826 0.08513293 0.08870065 0.07402819
 0.08579825 0.08816741 0.07855982 0.         0.07703292 0.07579991
 0.09544757]",1.0384314778333443,1.0396525332614406,0.008894744938605417,0.08278258144855499,0.09125825762748718,0.08513292670249939,0.08870065212249756,0.07402818650007248,0.0857982486486435,0.08816741406917572,0.07855982333421707,0.0,0.07703292369842529,0.07579991221427917,0.09544757008552551,0.07729146629571915
9,2014-01-17,"[0.07736225 0.08286196 0.09111255 0.0851077  0.08859926 0.07407326
 0.08584117 0.08816744 0.07857703 0.         0.07693212 0.07588403
 0.09548125]",1.044072523709828,1.0491238689804525,0.012867273131999554,0.08286195993423462,0.09111255407333374,0.0851076990365982,0.08859925717115402,0.07407325506210327,0.08584117144346237,0.08816744387149811,0.07857702672481537,0.0,0.07693211734294891,0.07588402926921844,0.0954812541604042,0.07736224681138992
10,2014-01-21,"[0.07737426 0.08296589 0.09091166 0.08500522 0.08850696 0.07410499
 0.08593974 0.08811161 0.07864504 0.         0.07695618 0.07601808
 0.09546034]",1.0430500678010588,1.0465332659869733,0.011792734405940985,0.08296588808298111,0.09091165661811829,0.08500521630048752,0.08850695937871933,0.07410499453544617,0.08593973517417908,0.08811160922050476,0.07864504307508469,0.0,0.07695618271827698,0.0760180801153183,0.09546034038066864,0.07737425714731216
