,Date,Weights,Profit,Base Profit,MTH,BZH,PHM,NVR,GGG,ITT,FLS,IEX,GL,AAME,FFG,CIA,cash
0,2014-01-06,"[0.06581449 0.10517592 0.         0.08146063 0.09587926 0.
 0.08052856 0.08780521 0.         0.11382851 0.1717674  0.09100502
 0.106735  ]",0.9999999999906581,0.9999999999917246,0.10517592018922309,0.0,0.08146063325765343,0.0958792640208601,0.0,0.08052855990741913,0.08780520820026345,0.0,0.11382850753680424,0.17176740003131363,0.09100502169709566,0.10673499673553678,0.06581448842383056
1,2014-01-07,"[0.         0.11215629 0.         0.08567427 0.10042739 0.
 0.08371912 0.09179598 0.         0.12185959 0.19555227 0.09566149
 0.1131536 ]",1.0005710763660178,1.0003893734487468,0.11215629438875221,0.0,0.08567426825424461,0.10042739309013944,0.0,0.08371911522111837,0.0917959830990328,0.0,0.12185958955357326,0.1955522686454472,0.09566148730665681,0.11315360044103553,0.0
2,2014-01-08,"[0.         0.11215642 0.         0.08536364 0.10001844 0.
 0.0832048  0.09086073 0.         0.12149189 0.19832815 0.09589989
 0.11267604]",0.9944106599950063,0.9936920556295901,0.11215641965802665,0.0,0.08536364415288095,0.10001844220653704,0.0,0.08320480228888905,0.09086072782109203,0.0,0.12149188892238587,0.19832814788447653,0.09589988549326511,0.11267604157244679,0.0
3,2014-01-09,"[0.         0.11254394 0.         0.08508484 0.09977598 0.
 0.08288516 0.09109481 0.         0.12162682 0.19887165 0.09549143
 0.11262535]",0.9879892443504444,0.9860874583071828,0.11254394228987463,0.0,0.08508484389797548,0.09977597887621031,0.0,0.0828851642731403,0.09109481256060949,0.0,0.12162681893397227,0.19887165474565713,0.09549143080695374,0.1126253536156065,0.0
4,2014-01-10,"[0.         0.1127527  0.         0.08483619 0.09973078 0.
 0.08281682 0.09112769 0.         0.12169304 0.19893614 0.09539247
 0.11271417]",0.9914221392478055,0.9902428766309627,0.11275270188053711,0.0,0.08483619058027853,0.09973077675626636,0.0,0.08281681971574271,0.09112768834355091,0.0,0.12169304107392097,0.19893613715450154,0.0953924728345644,0.11271417166063756,0.0
5,2014-01-13,"[0.         0.11311377 0.         0.08432405 0.0995686  0.
 0.08267158 0.09161858 0.         0.12204066 0.19899239 0.09467126
 0.1129991 ]",0.9893929051915215,0.9894490980037272,0.11311376550705919,0.0,0.08432404753351848,0.09956859895875719,0.0,0.0826715798698276,0.09161858258102111,0.0,0.12204066460925829,0.1989923927175712,0.0946712643895416,0.11299910383344546,0.0
6,2014-01-14,"[0.         0.11290252 0.         0.08399939 0.09961712 0.
 0.08290735 0.09202809 0.         0.1222334  0.1989038  0.09404724
 0.11336109]",0.9830762776626641,0.9866337488774481,0.11290251748354435,0.0,0.08399938629746975,0.09961712157411648,0.0,0.08290735391896899,0.09202808864460914,0.0,0.12223339770771134,0.1989038025755384,0.0940472395457952,0.1133610922522462,0.0
7,2014-01-15,"[0.         0.11285588 0.         0.08384406 0.09966242 0.
 0.08309217 0.09211757 0.         0.12225009 0.19875452 0.09389576
 0.11352752]",0.9747707063633144,0.9772373931046051,0.11285588316522745,0.0,0.08384406157737676,0.09966242110934893,0.0,0.08309216549060773,0.09211757421373924,0.0,0.12225009345342897,0.19875452094618173,0.09389576242315996,0.11352751762092922,0.0
8,2014-01-16,"[0.         0.11285504 0.         0.08402681 0.09963704 0.
 0.08285708 0.09214564 0.         0.12231363 0.19889785 0.09389965
 0.11336728]",0.9787943829784819,0.9834907496488157,0.11285503694489511,0.0,0.08402680985293423,0.09963703587485742,0.0,0.08285707540524814,0.09214563790007134,0.0,0.12231362571773598,0.19889784725620685,0.09389965064363963,0.1133672804044115,0.0
9,2014-01-17,"[0.         0.11313533 0.         0.08365852 0.09961253 0.
 0.08280282 0.09200594 0.         0.12235917 0.19890419 0.093993
 0.1135285 ]",0.9770036431753895,0.983157805547249,0.11313532592474852,0.0,0.08365852248623239,0.099612525581114,0.0,0.08280281774519986,0.09200594044945842,0.0,0.12235916789687969,0.19890419438273263,0.09399300216024958,0.11352850337338512,0.0
10,2014-01-21,"[0.         0.11320306 0.         0.08404591 0.09946553 0.
 0.08240859 0.09282417 0.         0.12268028 0.19902115 0.09312773
 0.11322359]",0.9742801426172433,0.9792972649284281,0.11320305805797076,0.0,0.08404591242361183,0.09946553010060978,0.0,0.08240858633202092,0.09282416722583717,0.0,0.12268027904289254,0.19902114570398705,0.09312772928910384,0.1132235918239662,0.0
11,2014-01-22,"[0.         0.1132913  0.         0.08412872 0.0993103  0.
 0.08216336 0.09313714 0.         0.12290931 0.19923786 0.09269454
 0.11312747]",0.9793855728818247,0.9836884459895029,0.11329130032976663,0.0,0.0841287195177618,0.09931029685990403,0.0,0.08216335940030452,0.09313714491395358,0.0,0.12290931179495752,0.19923786347931352,0.09269453668344857,0.11312746702058987,0.0
12,2014-01-23,"[0.         0.11314753 0.         0.08363775 0.09948353 0.
 0.08249966 0.0929449  0.         0.12286769 0.19908349 0.09279881
 0.11353664]",0.9732487819278949,0.9795969505828601,0.11314752713057451,0.0,0.08363775399093952,0.09948352901360225,0.0,0.08249965546789026,0.0929449021859023,0.0,0.12286769486881001,0.19908349053924995,0.09279880552820842,0.11353664127482276,0.0
