,Date,Weights,Profit,Base Profit,TRC,CIGI,FRPH,CTO,SANM,FLEX,CTS,IEC,SPAR,OSK,F,PCAR,cash
0,2014-01-06,"[0.12541153 0.17243418 0.12427909 0.         0.         0.
 0.         0.25069208 0.13856307 0.18862005 0.         0.
 0.        ]",0.9999999999912541,0.9999999999917246,0.1724341801293895,0.12427909275613318,0.0,0.0,0.0,0.0,0.25069208182817926,0.13856307071093993,0.18862004661880705,0.0,0.0,0.0,0.12541152795655097
1,2014-01-07,"[0.         0.17668693 0.12139528 0.         0.09448957 0.
 0.         0.2766591  0.13738895 0.19338017 0.         0.
 0.        ]",1.00826145226685,1.0068408954527575,0.17668693477944494,0.12139527964724636,0.0,0.09448956665305282,0.0,0.0,0.2766590983868652,0.13738894964742,0.19338017088597073,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.1739066  0.11911424 0.         0.09978652 0.
 0.         0.27989797 0.13397968 0.193315   0.         0.
 0.        ]",1.005989574419094,1.00179233954211,0.17390659569072336,0.11911423999364368,0.0,0.09978651710221143,0.0,0.0,0.2798979697319066,0.13397967883508854,0.1933149986464263,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.17282291 0.11906987 0.         0.09739585 0.
 0.         0.28192937 0.1324196  0.19636241 0.         0.
 0.        ]",1.0102443534492616,1.0043723708581385,0.1728229073425881,0.11906986984617511,0.0,0.09739584575365003,0.0,0.0,0.28192936901319837,0.132419596897399,0.19636241114698935,0.0,0.0,0.0,0.0
4,2014-01-10,"[0.         0.15712337 0.10940516 0.         0.08504368 0.
 0.         0.25970894 0.11946312 0.183888   0.         0.
 0.08536773]",1.012919086054147,1.0063389937741753,0.1571233692541965,0.10940515703266311,0.0,0.08504367920341661,0.0,0.0,0.25970894082134977,0.11946311670015129,0.1838880030365983,0.0,0.0,0.08536773395162439,0.0
5,2014-01-13,"[0.         0.16544215 0.11851315 0.         0.         0.
 0.         0.27807473 0.12580489 0.20422908 0.         0.
 0.10793599]",1.0128708606236183,1.0048676791537583,0.16544215375623028,0.11851315112899327,0.0,0.0,0.0,0.0,0.2780747330095226,0.1258048869693837,0.20422908171919738,0.0,0.0,0.10793599341667279,0.0
6,2014-01-14,"[0.         0.15836747 0.11782331 0.         0.         0.
 0.         0.27739231 0.12027717 0.20905042 0.         0.
 0.11708932]",0.9951261993817517,0.9979700751629474,0.15836747009263938,0.11782331009022498,0.0,0.0,0.0,0.0,0.2773923105582234,0.12027717049945148,0.2090504191011747,0.0,0.0,0.11708931965828598,0.0
7,2014-01-15,"[0.         0.14888665 0.11915786 0.         0.         0.
 0.         0.27433401 0.11671255 0.21132988 0.         0.
 0.12957905]",0.9799747003462866,0.9883149807815066,0.14888664527191423,0.11915785934769485,0.0,0.0,0.0,0.0,0.27433401217001135,0.11671255182408684,0.2113298827711662,0.0,0.0,0.12957904861512654,0.0
8,2014-01-16,"[0.         0.14278234 0.12192382 0.         0.         0.
 0.         0.26486421 0.12594112 0.20673985 0.         0.
 0.13774866]",0.9913921175979656,0.9965416712107898,0.14278233637435114,0.12192382216320875,0.0,0.0,0.0,0.0,0.2648642108149792,0.12594111878063768,0.20673984706363674,0.0,0.0,0.1377486648031864,0.0
9,2014-01-17,"[0.         0.1532469  0.1306681  0.         0.         0.
 0.         0.24806265 0.13955334 0.20239722 0.         0.
 0.12607178]",0.9950694736989018,1.0074884744145765,0.1532469036445573,0.13066810105844864,0.0,0.0,0.0,0.0,0.2480626535690229,0.1395533357906149,0.20239722345869596,0.0,0.0,0.12607178247866038,0.0
10,2014-01-21,"[0.         0.12086008 0.08262503 0.         0.12615577 0.
 0.         0.25414395 0.13968926 0.1844829  0.         0.
 0.09204301]",1.0033872964316015,1.0093258566954642,0.1208600760897595,0.08262502549749534,0.0,0.1261557707049696,0.0,0.0,0.2541439545639162,0.13968926329416087,0.1844829005241154,0.0,0.0,0.09204300932558304,0.0
11,2014-01-22,"[0.         0.13438932 0.08358527 0.         0.13130283 0.
 0.         0.25645808 0.12973778 0.17866759 0.         0.
 0.08585913]",0.9996709910089734,1.007790392968897,0.13438932151885352,0.083585266007344,0.0,0.1313028263923879,0.0,0.0,0.2564580817858684,0.12973777950193643,0.17866758984593242,0.0,0.0,0.08585913494767734,0.0
12,2014-01-23,"[0.         0.13423496 0.08396379 0.         0.11167533 0.
 0.         0.23645319 0.11795544 0.15943905 0.         0.0790094
 0.07726884]",1.0020340033927448,1.0051360419869684,0.13423496246418512,0.08396378603208657,0.0,0.11167532868140088,0.0,0.0,0.23645318669819496,0.11795543941136734,0.1594390545953177,0.0,0.07900939936459904,0.07726884275284843,0.0
13,2014-01-24,"[0.         0.14931561 0.09463674 0.         0.1149527  0.
 0.         0.25145344 0.12662847 0.16897831 0.         0.09403472
 0.        ]",0.9939732082698924,1.0012007000196708,0.14931561400146623,0.09463674212310114,0.0,0.1149527022506518,0.0,0.0,0.2514534428968569,0.12662846678591855,0.1689783076624929,0.0,0.09403472427951245,0.0,0.0
14,2014-01-27,"[0.         0.15162675 0.09649    0.         0.11199484 0.
 0.         0.25156235 0.12594997 0.16772955 0.         0.09464653
 0.        ]",0.9828261654887966,0.9933612435699263,0.15162674597742098,0.09649000189355664,0.0,0.1119948417508898,0.0,0.0,0.2515623535077722,0.12594997473156924,0.16772955430871847,0.0,0.09464652783007262,0.0,0.0
