,Date,Weights,Profit,Base Profit,Volume,BMY,ABT,JNJ,PFE,EBIX,JKHY,UIS,STRM,SUP,STRT,MOD,DORM,cash
0,2014-01-06,"[0.07394326 0.07944394 0.07699516 0.07553318 0.07546183 0.07881434
 0.07584352 0.0791964  0.07872581 0.07626485 0.07574578 0.07559389
 0.07843805]",0.9998148035483776,0.9998000000000002,0.9260567501187325,0.07944393903017044,0.07699515670537949,0.0755331814289093,0.07546182721853256,0.07881434261798859,0.07584352046251297,0.07919640094041824,0.07872580736875534,0.07626485079526901,0.07574578374624252,0.07559388875961304,0.07843805104494095,0.07394326478242874
1,2014-01-07,"[0.07401845 0.07934088 0.07648274 0.07590716 0.07530545 0.07885812
 0.07586367 0.07924993 0.07843254 0.07667393 0.07557274 0.07526011
 0.07903428]",1.0049441178084324,1.0053215498950292,0.0030681321519895398,0.07934088259935379,0.07648273557424545,0.0759071633219719,0.07530545443296432,0.07885812222957611,0.07586366683244705,0.07924993336200714,0.07843253761529922,0.07667393237352371,0.07557273656129837,0.07526011019945145,0.07903428375720978,0.0740184485912323
2,2014-01-08,"[0.07404929 0.07934509 0.07647082 0.07594042 0.07531457 0.07887501
 0.07582285 0.07919962 0.07846215 0.07665017 0.07559166 0.07524665
 0.07903169]",1.0021159801274218,1.0023789574048547,0.008364051852157628,0.07934509217739105,0.07647082209587097,0.07594042271375656,0.07531457394361496,0.07887500524520874,0.0758228451013565,0.07919961959123611,0.078462153673172,0.07665017247200012,0.07559166103601456,0.0752466470003128,0.07903169095516205,0.07404929399490356
3,2014-01-09,"[0.07400138 0.07931139 0.07649143 0.07599348 0.07535548 0.07882217
 0.07582909 0.07921868 0.07845304 0.07664754 0.07561023 0.07528587
 0.07898019]",1.0077471144870007,1.0083108550409607,0.006866063101299015,0.07931139320135117,0.07649143040180206,0.07599347829818726,0.07535547763109207,0.07882216572761536,0.07582908868789673,0.07921867817640305,0.07845304161310196,0.07664754241704941,0.07561022788286209,0.07528587430715561,0.07898019254207611,0.07400137931108475
4,2014-01-10,"[0.07401861 0.07934052 0.07652495 0.07597429 0.07535622 0.07881744
 0.07583028 0.07923697 0.07841443 0.07664178 0.07559459 0.07528389
 0.07896608]",1.01442832078637,1.0155684712420552,0.00858435669773953,0.07934051752090454,0.07652495056390762,0.07597428560256958,0.07535621523857117,0.0788174420595169,0.07583028078079224,0.0792369693517685,0.0784144327044487,0.07664177566766739,0.07559458911418915,0.07528389245271683,0.07896608114242554,0.07401860505342484
5,2014-01-13,"[0.07401716 0.0792304  0.07638967 0.07599333 0.07534533 0.0788646
 0.07581443 0.07914806 0.07855535 0.07668811 0.07564264 0.07529894
 0.07901199]",1.0113938094585821,1.0122910049789506,0.0065686220542345965,0.079230397939682,0.07638967037200928,0.07599332928657532,0.07534532994031906,0.07886460423469543,0.07581442594528198,0.0791480615735054,0.07855535298585892,0.07668811082839966,0.07564263790845871,0.07529893517494202,0.07901199162006378,0.07401715964078903
6,2014-01-14,"[0.07402692 0.07918586 0.07636624 0.07594851 0.07531332 0.07894612
 0.07582641 0.079152   0.07857528 0.07669646 0.0756439  0.07530346
 0.07901552]",1.0034907034153586,1.0038509379418754,0.011689010021423312,0.0791858583688736,0.07636623829603195,0.07594850659370422,0.07531332224607468,0.07894612103700638,0.07582641392946243,0.07915200293064117,0.07857527583837509,0.07669646292924881,0.07564390450716019,0.07530345767736435,0.07901552319526672,0.074026919901371
7,2014-01-15,"[0.07404239 0.07917719 0.07639546 0.07599304 0.07534322 0.07891285
 0.07578768 0.07908636 0.07862385 0.07665434 0.07568849 0.07528371
 0.07901141]",0.9998739950332525,1.0000881717385255,0.012449504596917097,0.07917718589305878,0.07639545947313309,0.07599303871393204,0.07534322142601013,0.07891285419464111,0.07578767836093903,0.07908635586500168,0.07862384617328644,0.0766543373465538,0.07568848878145218,0.0752837061882019,0.07901141047477722,0.07404239475727081
8,2014-01-16,"[0.07404795 0.07923625 0.07637337 0.07598352 0.07532912 0.07890065
 0.07578947 0.0791306  0.07857239 0.07668219 0.07565129 0.07528248
 0.0790207 ]",1.007469887282292,1.007741246408217,0.011134417344520265,0.07923624664545059,0.07637336850166321,0.07598352432250977,0.07532911747694016,0.07890065014362335,0.07578947395086288,0.07913060486316681,0.07857238501310349,0.0766821876168251,0.07565128803253174,0.07528248429298401,0.07902070134878159,0.07404794543981552
9,2014-01-17,"[0.07403187 0.07916517 0.07635421 0.07600003 0.07533821 0.07892502
 0.07579993 0.07908415 0.07862657 0.07666361 0.07568681 0.07529724
 0.07902717]",1.00048494263553,1.000386527605192,0.012590777352270042,0.07916516810655594,0.07635421305894852,0.07600002735853195,0.075338214635849,0.07892502099275589,0.07579992711544037,0.07908415049314499,0.07862657308578491,0.07666360586881638,0.07568681240081787,0.07529724389314651,0.07902716845273972,0.07403187453746796
