,Date,Weights,Profit,Base Profit,Volume,ABT,JNJ,BMY,PFE,BCRX,TECH,NBIX,TTNP,JKHY,STRM,UIS,EBIX,cash
0,2014-01-06,"[0.18472815 0.         0.         0.         0.         0.
 0.         0.16624424 0.         0.19704255 0.         0.19841948
 0.25356555]",0.995923611196171,0.9950000000000002,0.8152718245983124,0.0,0.0,0.0,0.0,0.0,0.0,0.166244238615036,0.0,0.1970425546169281,0.0,0.1984194815158844,0.25356554985046387,0.18472814559936523
1,2014-01-07,"[0.18391244 0.         0.         0.         0.         0.
 0.         0.         0.1679497  0.19690777 0.         0.19778678
 0.25344327]",1.0014805876514656,1.0099997434366146,0.3337178008887088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16794970631599426,0.19690777361392975,0.0,0.19778677821159363,0.25344327092170715,0.18391244113445282
2,2014-01-08,"[0.18370311 0.         0.         0.         0.         0.
 0.         0.         0.16828935 0.19661689 0.         0.19800144
 0.2533892 ]",1.0035164945900659,1.065320189251623,0.005725627723811952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16828934848308563,0.19661688804626465,0.0,0.1980014443397522,0.2533892095088959,0.18370310962200165
3,2014-01-09,"[0.18400298 0.         0.         0.         0.         0.
 0.         0.         0.16765368 0.19694489 0.         0.19792446
 0.253474  ]",1.008382461860803,1.085704932853117,0.009207917318753875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16765367984771729,0.19694489240646362,0.0,0.19792446494102478,0.25347399711608887,0.18400298058986664
4,2014-01-10,"[0.18375401 0.         0.         0.         0.         0.
 0.         0.         0.16777356 0.19676726 0.         0.1982473
 0.2534579 ]",1.0141145920212213,1.1030851358863938,0.01732391867999599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1677735596895218,0.19676725566387177,0.0,0.1982472985982895,0.2534579038619995,0.18375401198863983
5,2014-01-13,"[0.18342845 0.         0.         0.         0.         0.
 0.         0.         0.16828096 0.19666933 0.         0.19821663
 0.25340465]",0.9978666303904551,1.1079663676678047,0.006321840531874324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682809591293335,0.1966693252325058,0.0,0.19821663200855255,0.2534046471118927,0.18342845141887665
6,2014-01-14,"[0.18332474 0.         0.         0.         0.         0.
 0.         0.         0.16852878 0.19664356 0.         0.19807683
 0.25342613]",0.9906554284890953,1.1106594252051802,0.008444160288587129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16852878034114838,0.19664356112480164,0.0,0.19807682931423187,0.25342613458633423,0.18332473933696747
7,2014-01-15,"[0.18320505 0.         0.         0.         0.         0.
 0.         0.         0.1687176  0.19655259 0.         0.19813201
 0.25339282]",0.978410998976322,1.107717182770873,0.02224157899362917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16871759295463562,0.1965525895357132,0.0,0.1981320083141327,0.2533928155899048,0.18320505321025848
8,2014-01-16,"[0.18299317 0.         0.         0.         0.         0.
 0.         0.         0.168673   0.1964057  0.         0.19860743
 0.25332072]",1.0037937711686957,1.1410864439619326,0.0024301874334380375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16867299377918243,0.19640569388866425,0.0,0.1986074298620224,0.25332072377204895,0.18299317359924316
9,2014-01-17,"[0.1832046  0.         0.         0.         0.         0.
 0.         0.         0.1687679  0.19658026 0.         0.19816433
 0.2532829 ]",0.9892936722732119,1.1203878701035574,0.010855878520355203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16876789927482605,0.19658026099205017,0.0,0.19816432893276215,0.25328290462493896,0.18320460617542267
10,2014-01-21,"[0.18332928 0.         0.         0.         0.         0.
 0.         0.         0.16870669 0.19670226 0.         0.1979704
 0.25329137]",0.9892905361786748,1.127093540124388,0.015034085666884734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16870668530464172,0.1967022567987442,0.0,0.1979704052209854,0.25329136848449707,0.1833292841911316
11,2014-01-22,"[0.18337904 0.         0.         0.         0.         0.
 0.         0.         0.16871181 0.19672802 0.         0.1979083
 0.2532728 ]",0.9895669030713695,1.1341758786450467,0.00286190676247586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1687118113040924,0.19672802090644836,0.0,0.19790829718112946,0.25327280163764954,0.18337903916835785
12,2014-01-23,"[0.1830668  0.         0.         0.         0.         0.
 0.         0.         0.1688758  0.19654295 0.         0.19829123
 0.25322324]",1.0030432530709932,1.1324150439582228,0.0009333177315223941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1688757985830307,0.19654294848442078,0.0,0.19829122722148895,0.2532232403755188,0.18306680023670197
13,2014-01-24,"[0.18296047 0.         0.         0.         0.         0.
 0.         0.         0.1686049  0.19647211 0.         0.19870932
 0.25325322]",1.0329822541159528,1.1442143104256322,0.020582718354504405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16860489547252655,0.19647210836410522,0.0,0.19870932400226593,0.2532532215118408,0.18296046555042267
14,2014-01-27,"[0.18289857 0.         0.         0.         0.         0.
 0.         0.         0.1689122  0.19650659 0.         0.19847868
 0.25320393]",1.0214346540863624,1.1348733238027573,0.026795451242306638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16891220211982727,0.1965065896511078,0.0,0.19847868382930756,0.2532039284706116,0.18289856612682343
15,2014-01-28,"[0.18295936 0.         0.         0.         0.         0.
 0.         0.         0.16923591 0.1966057  0.         0.19806156
 0.2531375 ]",1.009103369809398,1.095892799034533,0.01694776282420322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16923591494560242,0.19660569727420807,0.0,0.19806155562400818,0.2531374990940094,0.18295936286449432
16,2014-01-29,"[0.18389425 0.         0.         0.         0.         0.
 0.         0.         0.16879506 0.19704005 0.         0.19703607
 0.25323457]",0.9857640253782176,1.0606036094527764,0.02452669292646693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16879506409168243,0.19704005122184753,0.0,0.19703607261180878,0.2532345652580261,0.18389424681663513
17,2014-01-30,"[0.1839333  0.         0.         0.         0.         0.
 0.         0.         0.16864176 0.19702335 0.         0.19713311
 0.25326848]",0.9785271449033626,1.0597936124505172,0.017084258612603338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16864176094532013,0.19702334702014923,0.0,0.1971331089735031,0.2532684803009033,0.1839333027601242
18,2014-01-31,"[0.18409383 0.         0.         0.         0.         0.
 0.         0.         0.16845915 0.19702095 0.         0.19712497
 0.25330105]",0.9851312481057098,1.0586815970811505,0.02005070698062691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16845914721488953,0.19702094793319702,0.0,0.19712497293949127,0.25330105423927307,0.18409383296966553
19,2014-02-03,"[0.1840134  0.         0.         0.         0.         0.
 0.         0.         0.16835745 0.19694966 0.         0.1974104
 0.25326908]",1.0102073666931302,1.0640217103785006,0.009694976417967608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16835744678974152,0.19694966077804565,0.0,0.19741040468215942,0.2532690763473511,0.18401339650154114
20,2014-02-04,"[0.1841448  0.         0.         0.         0.         0.
 0.         0.         0.16818258 0.19704163 0.         0.19741409
 0.25321692]",1.0068590078598507,1.0708539699647477,0.0290368851189508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681825816631317,0.19704163074493408,0.0,0.1974140852689743,0.2532169222831726,0.1841447949409485
