,Date,Weights,Profit,Base Profit,Volume,MRCY,HUBB,IIN,AVX,ATRI,CRY,MMM,TFX,SANM,CTS,FLEX,IEC,cash
0,2014-01-06,"[0.0716335  0.07783917 0.07645551 0.07858533 0.07534085 0.07889932
 0.07711281 0.07997394 0.07673772 0.07549272 0.07641491 0.07609534
 0.07941886]",0.9998143267005682,0.9998000000000002,0.9283664971590042,0.07783917337656021,0.0764555111527443,0.07858533412218094,0.07534085214138031,0.0788993239402771,0.07711280882358551,0.07997394353151321,0.07673772424459457,0.075492724776268,0.07641490548849106,0.0760953351855278,0.0794188603758812,0.07163350284099579
1,2014-01-07,"[0.         0.08356153 0.08289965 0.0853837  0.08079582 0.08546493
 0.08339215 0.08515002 0.08332482 0.08157688 0.08199344 0.08156919
 0.08488788]",1.0051534857106945,1.0051484477530759,0.07162020986137067,0.08356153219938278,0.08289965242147446,0.08538369834423065,0.08079582452774048,0.08546493202447891,0.08339215070009232,0.08515001833438873,0.08332481980323792,0.0815768763422966,0.08199343830347061,0.08156918734312057,0.08488787710666656,0.0
2,2014-01-08,"[0.         0.0836037  0.083      0.08565404 0.08062094 0.08565095
 0.08327886 0.08503043 0.08340866 0.08151908 0.08192267 0.08139166
 0.08491901]",1.0055400429682086,1.005332722409773,0.012617416808635385,0.08360370248556137,0.08300000429153442,0.08565403521060944,0.08062094449996948,0.08565095067024231,0.08327885717153549,0.08503042906522751,0.0834086611866951,0.08151908218860626,0.08192267268896103,0.08139166235923767,0.08491900563240051,0.0
3,2014-01-09,"[0.         0.08350678 0.08313074 0.0857927  0.08058489 0.08561279
 0.08328378 0.08492235 0.08337253 0.081607   0.08191168 0.08137014
 0.08490461]",1.00504529740269,1.0047931622132986,0.011501055183781977,0.08350677788257599,0.08313073962926865,0.08579269796609879,0.08058489114046097,0.08561278879642487,0.08328378200531006,0.08492235094308853,0.08337252587080002,0.08160699903964996,0.08191168308258057,0.08137013763189316,0.08490461111068726,0.0
4,2014-01-10,"[0.         0.08338294 0.08338054 0.08594046 0.08048442 0.08570421
 0.08324591 0.0847303  0.08338133 0.08159316 0.0819096  0.0813178
 0.08492931]",1.004188966713656,1.0039847579698975,0.006833218785775813,0.08338294178247452,0.08338054269552231,0.08594045788049698,0.08048442006111145,0.08570421487092972,0.0832459107041359,0.08473029732704163,0.08338133245706558,0.08159315586090088,0.08190959692001343,0.08131780475378036,0.08492930978536606,0.0
5,2014-01-13,"[0.         0.08320779 0.08383809 0.08614396 0.08034825 0.08568177
 0.08320703 0.08433845 0.0832443  0.08167348 0.08185957 0.08127991
 0.08517735]",1.008062263310104,1.0080014400636303,0.014904457764232206,0.08320779353380203,0.08383809030056,0.08614396303892136,0.08034824579954147,0.08568177372217178,0.08320703357458115,0.08433844894170761,0.08324430137872696,0.08167348057031631,0.08185957372188568,0.08127991110086441,0.08517735451459885,0.0
6,2014-01-14,"[0.         0.08294037 0.08422441 0.08627869 0.08018365 0.08588748
 0.08327766 0.0838328  0.08329306 0.08155417 0.08180445 0.081258
 0.08546523]",1.0050648085525704,1.004891454242048,0.010253067341338143,0.08294036984443665,0.0842244103550911,0.08627869188785553,0.08018364757299423,0.08588747680187225,0.08327765762805939,0.08383280038833618,0.08329305797815323,0.08155416697263718,0.08180445432662964,0.08125799894332886,0.08546523004770279,0.0
7,2014-01-15,"[0.         0.08238582 0.08470575 0.08645647 0.08009408 0.08590311
 0.08355745 0.08311488 0.08360439 0.08128305 0.08163965 0.08147079
 0.08578459]",0.9970219848778262,0.9969171026725908,0.010934345395695995,0.0823858231306076,0.08470574766397476,0.08645647019147873,0.08009408414363861,0.0859031081199646,0.08355744928121567,0.08311488479375839,0.08360438793897629,0.08128304779529572,0.08163964748382568,0.0814707949757576,0.08578459173440933,0.0
8,2014-01-16,"[0.         0.08144479 0.08570436 0.0873786  0.07924379 0.08629497
 0.08445478 0.0827022  0.08490253 0.07980763 0.08064317 0.08222948
 0.08519372]",1.0099160379682914,1.0098028811253354,0.012708712684547364,0.08144479244947433,0.08570435643196106,0.0873785987496376,0.07924378663301468,0.08629497140645981,0.08445478230714798,0.08270219713449478,0.08490253239870071,0.07980763167142868,0.0806431695818901,0.08222948014736176,0.08519372344017029,0.0
9,2014-01-17,"[0.         0.09015312 0.09273186 0.09714086 0.08487995 0.09658256
 0.09198356 0.08751067 0.09289645 0.         0.08453845 0.09105701
 0.09052551]",1.0159452277218428,1.0170658837749638,0.16027034983887758,0.09015312045812607,0.09273185580968857,0.0971408560872078,0.08487994968891144,0.0965825617313385,0.09198356419801712,0.08751066774129868,0.09289644658565521,0.0,0.08453845232725143,0.09105700999498367,0.09052550792694092,0.0
10,2014-01-21,"[0.         0.1382435  0.13882303 0.14125991 0.13380404 0.15574244
 0.15501976 0.1371073  0.         0.         0.         0.
 0.        ]",1.0204206454533755,1.019115258942268,0.7276096464018028,0.13824349641799927,0.1388230323791504,0.14125990867614746,0.13380403816699982,0.15574243664741516,0.15501976013183594,0.13710729777812958,0.0,0.0,0.0,0.0,0.0,0.0
11,2014-01-22,"[0.08672368 0.09023495 0.09014441 0.09121969 0.09163559 0.09585718
 0.09842886 0.09045378 0.         0.         0.0867166  0.08836408
 0.0902212 ]",1.0256307615987095,1.0245320065882033,0.6299336387122242,0.09023495018482208,0.09014441072940826,0.09121968597173691,0.09163559228181839,0.0958571806550026,0.09842886030673981,0.09045378118753433,0.0,0.0,0.08671659976243973,0.08836407959461212,0.09022119641304016,0.0867236778140068
12,2014-01-23,"[0.07301785 0.07628644 0.07704843 0.07685716 0.07774471 0.07871339
 0.08003888 0.07564669 0.07543238 0.07596297 0.07658576 0.07672385
 0.07994153]",1.026812183970893,1.0262678704915744,0.2969570678418407,0.0762864351272583,0.07704842835664749,0.07685715705156326,0.07774470746517181,0.07871339470148087,0.080038882791996,0.07564669102430344,0.07543238252401352,0.07596296817064285,0.07658576220273972,0.0767238512635231,0.079941526055336,0.07301785051822662
13,2014-01-24,"[0.         0.08244707 0.08308131 0.08313797 0.08331048 0.08416483
 0.08500198 0.08145447 0.08214516 0.08235518 0.08326006 0.08309036
 0.08655114]",1.0187426279318577,1.0182115347935659,0.07488502465429835,0.08244706690311432,0.08308131247758865,0.08313796669244766,0.08331047743558884,0.0841648280620575,0.08500198274850845,0.08145447075366974,0.08214516192674637,0.08235517889261246,0.08326005935668945,0.08309036493301392,0.08655113726854324,0.0
14,2014-01-27,"[0.         0.08260876 0.08263571 0.08341754 0.08312139 0.08415135
 0.08462221 0.08169918 0.08253788 0.08249093 0.08311709 0.08304429
 0.08655371]",1.0119656741323797,1.0102371076363625,0.008213733853608931,0.08260875940322876,0.08263570815324783,0.08341754227876663,0.0831213891506195,0.08415134996175766,0.08462221175432205,0.0816991776227951,0.08253788203001022,0.08249092847108841,0.08311709016561508,0.08304429054260254,0.08655370771884918,0.0
15,2014-01-28,"[0.         0.08286174 0.08214623 0.08362096 0.08293421 0.08434445
 0.0843036  0.0822071  0.08291371 0.08237318 0.08296148 0.08294849
 0.08638485]",1.0018494504504405,1.0001394885228077,0.013023049480756213,0.08286173641681671,0.08214622735977173,0.08362095803022385,0.08293420821428299,0.08434445410966873,0.0843036025762558,0.0822070986032486,0.08291371166706085,0.08237317949533463,0.08296147733926773,0.08294849097728729,0.0863848477602005,0.0
16,2014-01-29,"[0.         0.08307664 0.08197844 0.08369619 0.08272771 0.08451873
 0.08410654 0.0826138  0.08304612 0.08222251 0.08286993 0.08280452
 0.08633882]",1.0043162269501649,1.0029716932926023,0.01882189160499029,0.08307664096355438,0.081978440284729,0.08369619399309158,0.08272770792245865,0.08451873064041138,0.08410654217004776,0.08261380344629288,0.08304611593484879,0.08222251385450363,0.08286993205547333,0.08280451595783234,0.0863388180732727,0.0
17,2014-01-30,"[0.         0.08296724 0.08228155 0.08372808 0.08262703 0.08437188
 0.0841963  0.08266744 0.08306889 0.08223932 0.08279234 0.0828547
 0.08620521]",1.0057427033051454,1.0037421573585878,0.02859893856442715,0.08296723663806915,0.08228155225515366,0.08372808247804642,0.08262702822685242,0.08437187969684601,0.0841962993144989,0.08266744017601013,0.08306889235973358,0.08223932236433029,0.08279234170913696,0.08285470306873322,0.08620520681142807,0.0
18,2014-01-31,"[0.         0.08289044 0.08250149 0.08391857 0.08256148 0.0843149
 0.08408894 0.08279783 0.08308783 0.08223714 0.08277246 0.08280344
 0.08602544]",1.0017019755601166,0.9983503124225399,0.019404070091613695,0.08289043605327606,0.08250149339437485,0.08391857147216797,0.08256147801876068,0.08431489765644073,0.08408894389867783,0.0827978327870369,0.08308783173561096,0.0822371393442154,0.08277245610952377,0.08280344307422638,0.08602543920278549,0.0
19,2014-02-03,"[0.         0.08296826 0.0826897  0.08389071 0.0824079  0.08426709
 0.08415203 0.08302867 0.08302108 0.08226094 0.08259818 0.08273193
 0.08598352]",0.9964087459860109,0.9936571170394122,0.027491586922098413,0.08296826481819153,0.08268970251083374,0.08389070630073547,0.08240789920091629,0.08426709473133087,0.08415202796459198,0.08302866667509079,0.08302108198404312,0.08226093649864197,0.08259817957878113,0.0827319324016571,0.0859835222363472,0.0
20,2014-02-04,"[0.         0.08301006 0.08275277 0.08395149 0.08232465 0.08424181
 0.08407369 0.0831584  0.08303326 0.08222429 0.08255444 0.08269889
 0.08597623]",0.9980536520071626,0.9953460190057114,0.01475187942255046,0.08301006257534027,0.0827527716755867,0.08395148813724518,0.08232464641332626,0.08424181491136551,0.08407368510961533,0.08315839618444443,0.0830332562327385,0.0822242945432663,0.08255443722009659,0.08269888907670975,0.08597622811794281,0.0
21,2014-02-05,"[0.         0.08314537 0.08253952 0.08409706 0.08220828 0.08447142
 0.08393198 0.08347239 0.08327785 0.08204253 0.08249505 0.08258703
 0.08573152]",0.9778086342771586,0.9755851400589531,0.006778323501589049,0.08314536511898041,0.08253952115774155,0.08409705758094788,0.08220827579498291,0.08447141945362091,0.08393197506666183,0.08347238600254059,0.08327785134315491,0.08204253017902374,0.08249504864215851,0.08258702605962753,0.08573152124881744,0.0
22,2014-02-06,"[0.         0.08325832 0.0824055  0.08407726 0.0821077  0.08455616
 0.0839615  0.08376493 0.08333167 0.08196482 0.08241823 0.08248483
 0.08566909]",0.9866490630897972,0.9851723628188398,0.012780008825644522,0.08325831592082977,0.08240550011396408,0.08407726138830185,0.08210770040750504,0.08455616235733032,0.08396150171756744,0.0837649255990982,0.08333166688680649,0.08196482062339783,0.08241822570562363,0.08248483389616013,0.08566908538341522,0.0
23,2014-02-07,"[0.         0.08321415 0.08257995 0.08411321 0.08201586 0.08453989
 0.0839857  0.08386282 0.08341828 0.08190065 0.08239073 0.08245172
 0.08552705]",0.9804113297601377,0.9774628497071289,0.01942667139092285,0.08321414887905121,0.08257994800806046,0.084113210439682,0.08201586455106735,0.08453989028930664,0.08398570120334625,0.08386281877756119,0.08341827988624573,0.08190064877271652,0.08239072561264038,0.0824517160654068,0.08552705496549606,0.0
24,2014-02-10,"[0.         0.08321029 0.0825853  0.08415882 0.08191685 0.08471242
 0.08392634 0.08399644 0.08357897 0.08172564 0.08243129 0.0823932
 0.08536444]",0.9937016924598976,0.9922118562229898,0.01605934261289156,0.083210289478302,0.08258529752492905,0.08415881544351578,0.08191685378551483,0.0847124233841896,0.08392634242773056,0.08399644494056702,0.08357896655797958,0.08172564208507538,0.08243129402399063,0.08239319920539856,0.0853644385933876,0.0
25,2014-02-11,"[0.         0.08316397 0.08273184 0.08413876 0.08192922 0.0846689
 0.08383591 0.08379548 0.08351429 0.08175053 0.08254826 0.08245112
 0.08547176]",0.9921607579740601,0.9887468779095528,0.01649052944100761,0.08316396921873093,0.08273183554410934,0.08413875848054886,0.08192922174930573,0.08466889709234238,0.0838359072804451,0.08379548043012619,0.08351428806781769,0.0817505270242691,0.08254826068878174,0.08245112001895905,0.0854717567563057,0.0
26,2014-02-12,"[0.         0.08344421 0.08126152 0.08482252 0.08229854 0.08559884
 0.08370236 0.0838815  0.08319824 0.08174719 0.08219624 0.08203752
 0.08581131]",0.9986431789316886,0.9954499525454255,0.02098367034426533,0.08344420790672302,0.0812615156173706,0.08482252061367035,0.08229853957891464,0.08559884130954742,0.08370236307382584,0.08388149738311768,0.08319824188947678,0.08174718916416168,0.08219623565673828,0.08203751593828201,0.0858113095164299,0.0
27,2014-02-13,"[0.         0.08379874 0.08064716 0.08528654 0.08209834 0.08579406
 0.08373124 0.08511166 0.08350214 0.0816621  0.08162957 0.08183441
 0.08490402]",1.0068429626346167,1.0036967748460932,0.013059155137444581,0.08379874378442764,0.08064715564250946,0.08528654277324677,0.0820983424782753,0.08579406142234802,0.08373124152421951,0.08511165529489517,0.0835021361708641,0.08166210353374481,0.08162957429885864,0.08183440566062927,0.0849040225148201,0.0
28,2014-02-14,"[0.         0.08382715 0.08045796 0.08528741 0.08215483 0.08580437
 0.08380501 0.08524351 0.08353999 0.08168737 0.08157971 0.08184309
 0.08476963]",1.0070955599220375,1.0028577928853253,0.009111812110705837,0.08382715284824371,0.08045796304941177,0.08528740704059601,0.08215483278036118,0.08580436557531357,0.08380500972270966,0.08524350821971893,0.08353998512029648,0.08168736845254898,0.08157970756292343,0.08184308558702469,0.08476962894201279,0.0
29,2014-02-18,"[0.         0.08380657 0.080521   0.08528065 0.08216    0.08571479
 0.08381046 0.08520526 0.08350362 0.08177456 0.08157785 0.08185887
 0.08478634]",1.0198684150248774,1.015060179781205,0.014497729523621451,0.08380657434463501,0.08052100241184235,0.0852806493639946,0.08216000348329544,0.08571479469537735,0.08381045609712601,0.08520526438951492,0.0835036188364029,0.08177456259727478,0.0815778523683548,0.08185887336730957,0.08478634059429169,0.0
30,2014-02-19,"[0.         0.08313093 0.0798542  0.08598848 0.0818917  0.08738891
 0.08327729 0.08627449 0.08401602 0.08090325 0.08240319 0.08182206
 0.08304947]",1.0340081957408458,1.0290100329268954,0.013574638017369021,0.08313092589378357,0.07985419780015945,0.08598848432302475,0.08189170062541962,0.08738891035318375,0.08327728509902954,0.08627448976039886,0.08401601761579514,0.08090325444936752,0.08240319043397903,0.08182206004858017,0.0830494686961174,0.0
31,2014-02-20,"[0.         0.08318406 0.07979444 0.085895   0.08194437 0.08723915
 0.08341035 0.08626959 0.08388717 0.08103344 0.08228623 0.0818495
 0.08320674]",1.0341459973522142,1.0284586065768733,0.007547773031190135,0.08318405598402023,0.07979444414377213,0.08589500188827515,0.08194436877965927,0.08723914623260498,0.08341034501791,0.08626958727836609,0.08388717472553253,0.08103343844413757,0.08228623121976852,0.08184950053691864,0.08320674300193787,0.0
32,2014-02-21,"[0.         0.08319812 0.07979058 0.08585936 0.08195579 0.08718593
 0.08341166 0.08627113 0.08384105 0.08108629 0.08227339 0.08185828
 0.08326844]",1.03511697745222,1.030571066592807,0.013897572219815663,0.08319812268018723,0.07979057729244232,0.08585935831069946,0.08195579051971436,0.08718593418598175,0.08341165632009506,0.08627112954854965,0.08384104818105698,0.08108629286289215,0.08227339386940002,0.08185828477144241,0.08326844125986099,0.0
33,2014-02-24,"[0.         0.08307308 0.07943863 0.08610705 0.08176194 0.08808621
 0.08291715 0.08663447 0.08463161 0.0803114  0.08281496 0.08178121
 0.08244228]",1.0492199555525479,1.0453255768640295,0.027928841428022388,0.08307307958602905,0.07943862676620483,0.0861070528626442,0.08176194131374359,0.08808621019124985,0.08291714638471603,0.08663447201251984,0.08463161438703537,0.08031139522790909,0.08281496167182922,0.08178120851516724,0.0824422836303711,0.0
34,2014-02-25,"[0.         0.08301775 0.08006114 0.08612284 0.08172933 0.08760431
 0.08293316 0.08619351 0.08428848 0.08072926 0.08271149 0.08184743
 0.08276127]",1.04399533893249,1.0383315444958403,0.01539619793225782,0.0830177515745163,0.08006113767623901,0.08612284064292908,0.08172933012247086,0.08760431408882141,0.08293315768241882,0.0861935093998909,0.08428847789764404,0.08072926104068756,0.08271148800849915,0.0818474292755127,0.0827612653374672,0.0
35,2014-02-26,"[0.         0.08300952 0.08025014 0.08617374 0.08167451 0.08758286
 0.08287545 0.08607827 0.084227   0.08074887 0.08263605 0.08182929
 0.08291429]",1.0569073613350344,1.052458168160048,0.023836964441405952,0.0830095186829567,0.08025013655424118,0.08617374300956726,0.08167450875043869,0.08758285641670227,0.08287544548511505,0.08607827126979828,0.08422700315713882,0.08074887096881866,0.08263605087995529,0.08182929456233978,0.08291428536176682,0.0
36,2014-02-27,"[0.         0.0829514  0.08046888 0.08624411 0.08160818 0.0875796
 0.08271092 0.08591469 0.08425929 0.08070523 0.0827845  0.08186507
 0.08290813]",1.0496599097609913,1.0443768852806643,0.023705580434651395,0.08295139670372009,0.08046887814998627,0.0862441137433052,0.08160818368196487,0.08757960051298141,0.08271092176437378,0.08591468632221222,0.0842592865228653,0.08070523291826248,0.0827844962477684,0.08186507225036621,0.08290813118219376,0.0
37,2014-02-28,"[0.         0.08301745 0.08019561 0.08613615 0.08171621 0.08752166
 0.08296112 0.08603869 0.08418997 0.08078155 0.08261525 0.08185414
 0.08297215]",1.0521522942584356,1.0460941040401066,0.015427422227097292,0.08301745355129242,0.0801956057548523,0.08613614737987518,0.08171620965003967,0.08752166479825974,0.08296111971139908,0.08603869378566742,0.08418997377157211,0.08078154921531677,0.08261524885892868,0.08185414224863052,0.08297215402126312,0.0
38,2014-03-03,"[0.         0.08299316 0.08038935 0.08620223 0.08169407 0.08742546
 0.08291083 0.08590741 0.08413244 0.08084753 0.08263618 0.08185755
 0.0830038 ]",1.047718152252041,1.0414192252778622,0.011550313202465714,0.08299315720796585,0.0803893506526947,0.0862022265791893,0.08169407397508621,0.08742546290159225,0.08291082829236984,0.08590740710496902,0.08413244038820267,0.08084753155708313,0.08263618499040604,0.08185754716396332,0.08300379663705826,0.0
39,2014-03-04,"[0.         0.083021   0.08017194 0.08619651 0.08171099 0.08758058
 0.08292051 0.08604153 0.08423518 0.08072231 0.08268302 0.08184592
 0.08287053]",1.0439115716670893,1.0367760219078292,0.011816006000451445,0.08302100002765656,0.08017193526029587,0.08619651198387146,0.08171098679304123,0.08758057653903961,0.08292051404714584,0.08604153245687485,0.08423518389463425,0.08072230964899063,0.0826830193400383,0.08184592425823212,0.08287052810192108,0.0
40,2014-03-05,"[0.         0.08304456 0.07995891 0.0861719  0.08172479 0.08770201
 0.08290666 0.08615206 0.08434263 0.08063184 0.08274372 0.08183736
 0.08278356]",1.056956695573724,1.0502480645567263,0.012432627321006733,0.08304455876350403,0.07995890825986862,0.08617189526557922,0.08172479271888733,0.08770200610160828,0.08290666341781616,0.08615206182003021,0.08434262871742249,0.08063184469938278,0.08274371922016144,0.08183735609054565,0.08278355747461319,0.0
