,Date,Weights,Profit,Base Profit,Volume,AVX,HUBB,IIN,MRCY,WAT,BIO,COHR,PKI,ASYS,IVAC,TRT,VECO,cash
0,2014-01-06,"[0.07979838 0.08709599 0.08809049 0.08383952 0.08723534 0.08767367
 0.         0.08236985 0.         0.0995548  0.11206023 0.09859598
 0.09368573]",0.9999999999907978,0.9999999999917251,0.9202016156341772,0.0870959943374191,0.08809049445476427,0.08383952230396796,0.08723534094191253,0.08767367096567608,0.0,0.08236985021942522,0.0,0.0995547993122889,0.11206023369876404,0.09859598260094743,0.09368572679901169,0.07979838436582257
1,2014-01-07,"[0.         0.09414511 0.09538823 0.09055947 0.09411549 0.09483593
 0.         0.08868235 0.         0.10868034 0.12389917 0.10763874
 0.10205517]",1.0116039883149064,1.0089587232941122,0.07979838436508829,0.09414510685474096,0.09538823496248197,0.0905594702643927,0.09411548622734026,0.09483593003719393,0.0,0.08868235064228425,0.0,0.10868034318751818,0.12389916671218286,0.10763874141856586,0.10205516969329904,0.0
2,2014-01-08,"[0.         0.09404002 0.09516048 0.09095804 0.09384344 0.09460987
 0.         0.08859322 0.         0.10913168 0.12420737 0.10740538
 0.1020505 ]",1.0078549782270192,1.0068242589933876,0.016486579275852356,0.09404002344737779,0.09516048338099616,0.09095803761229829,0.09384343996100944,0.09460986582480066,0.0,0.0885932176993168,0.0,0.10913167992358601,0.12420736686159368,0.10740538262530389,0.10205050266371747,0.0
3,2014-01-09,"[0.         0.09396851 0.09526319 0.09057006 0.09399092 0.09480162
 0.         0.08854289 0.         0.10877807 0.12457197 0.10745489
 0.10205787]",1.026271331174227,1.0197912239987403,0.008997016661803258,0.09396850881468834,0.09526319340446962,0.09057006011469634,0.09399092005086498,0.09480162170523136,0.0,0.08854288882179355,0.0,0.10877807449761272,0.12457196559207329,0.10745489222442137,0.10205787477414834,0.0
4,2014-01-10,"[0.         0.09383981 0.09532042 0.09015137 0.09380869 0.09468163
 0.         0.08845092 0.         0.10909313 0.12493774 0.10742088
 0.10229541]",1.0443684889014206,1.033206686219632,0.0194535497542703,0.0938398083512742,0.09532042072908105,0.09015136515244271,0.09380869029145937,0.09468162501063229,0.0,0.0884509234095455,0.0,0.10909313124022489,0.12493774479895942,0.10742087973488103,0.10229541128149937,0.0
5,2014-01-13,"[0.         0.09397997 0.09556157 0.08984339 0.09381452 0.09455959
 0.         0.0883709  0.         0.10969891 0.12391551 0.10824851
 0.10200712]",1.0513002898406327,1.0416833486194141,0.029379534223629072,0.09397997285664673,0.09556157447125378,0.08984338899926711,0.09381452221569904,0.09455959178227519,0.0,0.08837090197188828,0.0,0.10969890595927627,0.12391550719868624,0.10824851190953348,0.10200712263547383,0.0
6,2014-01-14,"[0.         0.09410671 0.0955645  0.09034623 0.09389072 0.09463069
 0.         0.08841852 0.         0.10957258 0.12439812 0.10676735
 0.10230458]",1.0544675316177456,1.044867055907835,0.025691020877080417,0.09410670892708803,0.0955644987762444,0.09034623206704764,0.0938907236861433,0.09463069378573036,0.0,0.08841852062076978,0.0,0.10957258140727123,0.1243981176363429,0.10676734631126061,0.10230457678210164,0.0
7,2014-01-15,"[0.         0.09413335 0.09546405 0.09077964 0.09388195 0.09476052
 0.         0.08843577 0.         0.10865278 0.12416651 0.10768107
 0.10204437]",1.0444361907219193,1.0349958136615935,0.008752937416588755,0.09413334525680352,0.0954640514079236,0.09077963512405518,0.0938819524573489,0.09476051893949247,0.0,0.08843577003263382,0.0,0.10865277567076516,0.12416651195855648,0.10768107364389247,0.10204436550852831,0.0
8,2014-01-16,"[0.         0.09422412 0.09547785 0.0904155  0.09407627 0.09476291
 0.         0.08851201 0.         0.10859754 0.12443582 0.10764472
 0.10185326]",1.0686475887872628,1.0525367153182315,0.007987130185099379,0.09422412046604481,0.09547785038787986,0.09041549879050972,0.09407627121521688,0.0947629141782421,0.0,0.08851201044311492,0.0,0.10859753996532734,0.12443581516053062,0.10764471840491914,0.10185326098821453,0.0
9,2014-01-17,"[0.         0.09401406 0.09523332 0.09063158 0.09402491 0.09476723
 0.         0.08851833 0.         0.10859298 0.12427138 0.10816343
 0.10178276]",1.0836338404594217,1.0633816978551398,0.013692985421181178,0.09401406487992242,0.0952333177920013,0.09063158189297879,0.09402491470326681,0.09476723228667042,0.0,0.08851833196228998,0.0,0.10859298492887094,0.12427137909762367,0.10816343238223437,0.1017827600741414,0.0
10,2014-01-21,"[0.         0.09417055 0.09538011 0.09045281 0.09408302 0.09473179
 0.         0.08855302 0.         0.10910072 0.12395141 0.10749589
 0.10208068]",1.0857657223266188,1.0649270744686663,0.011142025722662314,0.09417054512695114,0.09538011390212388,0.09045280921381105,0.09408301929413113,0.09473179128632928,0.0,0.08855301870006003,0.0,0.10910071917570623,0.12395141037358097,0.10749589466796376,0.1020806782593424,0.0
11,2014-01-22,"[0.         0.09403426 0.09537617 0.09060693 0.09399013 0.0948427
 0.         0.08850864 0.         0.10898675 0.12446325 0.10722323
 0.10196794]",1.0962400302396935,1.0727124810481174,0.013067198477152446,0.0940342560992601,0.09537617387955065,0.09060693075044536,0.09399012888463074,0.09484270029354688,0.0,0.08850864020370514,0.0,0.10898674659742077,0.12446325179389034,0.10722323085544848,0.10196794064210137,0.0
