,Date,Weights,Profit,Base Profit,TCF,JPM,UMBF,C,CVR,LECO,SPXC,PFIN,PHM,BZH,MTH,NVR,cash
0,2014-01-06,"[0.09053173 0.12841285 0.10268609 0.13102482 0.         0.10291216
 0.         0.17647213 0.         0.         0.         0.10697905
 0.16098116]",0.9999999999909053,0.9999999999917246,0.1284128455936576,0.10268609366558347,0.1310248180954139,0.0,0.1029121605091748,0.0,0.17647213324250902,0.0,0.0,0.0,0.10697904977529824,0.16098116424300196,0.090531734875361
1,2014-01-07,"[0.         0.14004478 0.10909503 0.1444086  0.         0.10892515
 0.         0.20151892 0.         0.         0.         0.11494168
 0.18106584]",1.0073544240994419,1.0056998058765214,0.14004478124320763,0.10909503037331623,0.14440860348198906,0.0,0.10892514509542438,0.0,0.20151891680432293,0.0,0.0,0.0,0.11494168460444758,0.18106583839729223,0.0
2,2014-01-08,"[0.         0.13960798 0.10820007 0.14430127 0.         0.10796398
 0.         0.20362321 0.         0.         0.         0.1142265
 0.18207699]",1.005836749723964,1.005082651759811,0.1396079791489828,0.10820006893485255,0.14430126972359997,0.0,0.10796397915609597,0.0,0.203623210651771,0.0,0.0,0.0,0.11422650270902207,0.1820769896756758,0.0
3,2014-01-09,"[0.         0.13944726 0.10809024 0.14418757 0.         0.10790569
 0.         0.20409188 0.         0.         0.         0.11401094
 0.18226642]",1.007724335529991,1.0015820995345557,0.13944725693379564,0.10809023887068793,0.1441875732115829,0.0,0.10790569184746993,0.0,0.20409188473539477,0.0,0.0,0.0,0.11401093763534918,0.18226641676571964,0.0
4,2014-01-10,"[0.         0.13943572 0.10807763 0.1441561  0.         0.10787217
 0.         0.20417149 0.         0.         0.         0.11399598
 0.18229092]",1.0121597185574018,1.008285006889075,0.13943572001097224,0.10807762798124294,0.14415609908919452,0.0,0.10787216537367163,0.0,0.20417148772855162,0.0,0.0,0.0,0.11399597847538984,0.18229092134097719,0.0
5,2014-01-13,"[0.         0.13943719 0.10809808 0.14404492 0.         0.10788919
 0.         0.20426474 0.         0.         0.         0.11392854
 0.18233735]",1.0156940677942372,1.0078186763679118,0.13943718510254952,0.10809808151936721,0.14404491622183055,0.0,0.10788919321460491,0.0,0.2042647383353177,0.0,0.0,0.0,0.1139285364486788,0.1823373491576514,0.0
6,2014-01-14,"[0.         0.13944408 0.10808533 0.14402078 0.         0.10792654
 0.         0.20422901 0.         0.         0.         0.11392531
 0.18236895]",1.0068873555821336,1.0022409205414151,0.1394440805083299,0.10808533105392013,0.14402078132659887,0.0,0.107926539460957,0.0,0.20422901411806837,0.0,0.0,0.0,0.11392530801791495,0.18236894551421082,0.0
7,2014-01-15,"[0.         0.1393778  0.10806036 0.14414684 0.         0.10791702
 0.         0.20417724 0.         0.         0.         0.11396968
 0.18235106]",0.9914886646522157,0.9883266565154618,0.1393777975974581,0.10806035790945734,0.14414684270686293,0.0,0.107917016937224,0.0,0.20417723962557627,0.0,0.0,0.0,0.11396968343213341,0.1823510617912879,0.0
8,2014-01-16,"[0.         0.1393844  0.10808309 0.14406943 0.         0.10794595
 0.         0.20425812 0.         0.         0.         0.11389518
 0.18236382]",1.0181287388556075,1.0056021152477927,0.1393843987012101,0.10808308948389823,0.14406943462728064,0.0,0.10794595099027633,0.0,0.2042581183957159,0.0,0.0,0.0,0.11389518458429955,0.18236382321731928,0.0
9,2014-01-17,"[0.         0.13939521 0.10811062 0.1439192  0.         0.10800642
 0.         0.20436908 0.         0.         0.         0.11378553
 0.18241394]",1.0210372541340018,1.003894906929338,0.13939521116263542,0.10811061933918711,0.1439192022546001,0.0,0.10800641991610636,0.0,0.20436907957901088,0.0,0.0,0.0,0.11378553078502383,0.18241393696343638,0.0
10,2014-01-21,"[0.         0.13939029 0.1081106  0.14390028 0.         0.1080106
 0.         0.20438221 0.         0.         0.         0.11377449
 0.18243153]",1.0231231270057586,1.0041827462822677,0.13939028502046655,0.10811060203229929,0.14390028166466973,0.0,0.10801059927800762,0.0,0.20438220917319683,0.0,0.0,0.0,0.11377449340747522,0.1824315294238848,0.0
11,2014-01-22,"[0.         0.13938598 0.10810527 0.14395353 0.         0.10797345
 0.         0.20436384 0.         0.         0.         0.11381427
 0.18240365]",1.030809706186246,1.0084171568694058,0.13938598331269428,0.1081052704139418,0.14395352925273794,0.0,0.10797345072701452,0.0,0.20436384126363163,0.0,0.0,0.0,0.11381427346833703,0.1824036515616428,0.0
12,2014-01-23,"[0.         0.13942423 0.10811601 0.14383824 0.         0.10800936
 0.         0.20440834 0.         0.         0.         0.11376769
 0.18243613]",1.034376786503809,1.0107112057617682,0.13942423442511764,0.1081160055619192,0.14383824323711572,0.0,0.10800935765414538,0.0,0.20440833706481837,0.0,0.0,0.0,0.11376769341690744,0.18243612863997635,0.0
13,2014-01-24,"[0.         0.13949948 0.10812543 0.14376925 0.         0.10795732
 0.         0.20440549 0.         0.         0.         0.11380426
 0.18243878]",1.0291222711150108,1.010525815604645,0.13949947606618476,0.10812543163115153,0.14376924901191826,0.0,0.10795731505793811,0.0,0.20440548992472427,0.0,0.0,0.0,0.11380425993827739,0.1824387783698058,0.0
14,2014-01-27,"[0.         0.13951088 0.10813522 0.14378105 0.         0.10789724
 0.         0.20440128 0.         0.         0.         0.11384403
 0.1824303 ]",1.022200751697855,1.0031180447150718,0.13951087534932743,0.10813522460640947,0.14378104968246702,0.0,0.10789723873274093,0.0,0.20440128411915623,0.0,0.0,0.0,0.113844030664974,0.18243029684492496,0.0
