,Date,Weights,Profit,Base Profit,MXIM,INTC,KOPN,XLNX,KAMN,LAWS,HDSN,WLFC,CLB,ENSV,RES,HLX,cash
0,2014-01-06,"[0.12227435 0.         0.         0.         0.         0.27118522
 0.         0.16056197 0.13422056 0.         0.         0.
 0.3117579 ]",0.9999999999912228,0.9999999999917246,0.0,0.0,0.0,0.0,0.27118521858718886,0.0,0.16056197281492332,0.13422056488052492,0.0,0.0,0.0,0.31175789571854007,0.12227434799882277
1,2014-01-07,"[0.         0.         0.         0.         0.         0.31581847
 0.         0.16850825 0.13767517 0.         0.         0.
 0.37799812]",1.0029484202855352,1.0076598017773462,0.0,0.0,0.0,0.0,0.31581846973940586,0.0,0.16850824702066725,0.13767516652253228,0.0,0.0,0.0,0.3779981167173946,0.0
2,2014-01-08,"[0.         0.         0.         0.         0.         0.31694949
 0.         0.16292069 0.13258256 0.         0.         0.
 0.38754726]",0.9975789923944365,1.0057315327432494,0.0,0.0,0.0,0.0,0.3169494913328568,0.0,0.16292068989078767,0.13258256273699007,0.0,0.0,0.0,0.3875472560393655,0.0
3,2014-01-09,"[0.         0.         0.         0.         0.         0.31676858
 0.         0.16135974 0.13140467 0.         0.         0.
 0.390467  ]",1.0009097941750331,1.0047184868909749,0.0,0.0,0.0,0.0,0.31676857607699455,0.0,0.16135974441726877,0.13140467482946536,0.0,0.0,0.0,0.39046700467627127,0.0
4,2014-01-10,"[0.         0.         0.         0.         0.         0.31628278
 0.         0.16121295 0.13129836 0.         0.         0.
 0.39120591]",0.9955545802107163,1.0123455976007416,0.0,0.0,0.0,0.0,0.31628278466619886,0.0,0.16121294666790503,0.1312983610600399,0.0,0.0,0.0,0.3912059076058563,0.0
5,2014-01-13,"[0.         0.         0.         0.         0.         0.31619887
 0.         0.16103774 0.13126497 0.         0.         0.
 0.39149843]",0.999625679598012,1.0097291289651171,0.0,0.0,0.0,0.0,0.3161988712184403,0.0,0.1610377354962411,0.13126496827748232,0.0,0.0,0.0,0.39149842500783616,0.0
6,2014-01-14,"[0.         0.         0.         0.         0.         0.31614701
 0.         0.16096269 0.1313661  0.         0.         0.
 0.3915242 ]",0.9994756556734969,1.013851307245038,0.0,0.0,0.0,0.0,0.31614700841664584,0.0,0.16096268966484378,0.13136610371750698,0.0,0.0,0.0,0.3915241982010035,0.0
7,2014-01-15,"[0.         0.         0.         0.         0.         0.31608483
 0.         0.16104338 0.13120139 0.         0.         0.
 0.3916704 ]",0.9909064661460553,1.0174282769026306,0.0,0.0,0.0,0.0,0.3160848313262586,0.0,0.16104338331739151,0.1312013885455991,0.0,0.0,0.0,0.39167039681075083,0.0
8,2014-01-16,"[0.         0.         0.         0.         0.         0.31581202
 0.         0.16119954 0.13169969 0.         0.         0.
 0.39128875]",0.9979923200831974,1.0241557287697478,0.0,0.0,0.0,0.0,0.31581201717979346,0.0,0.16119953989437524,0.1316996917354555,0.0,0.0,0.0,0.3912887511903758,0.0
9,2014-01-17,"[0.         0.         0.         0.         0.         0.31580939
 0.         0.16120298 0.13175761 0.         0.         0.
 0.39123002]",0.9980945555294627,1.0339197959721038,0.0,0.0,0.0,0.0,0.3158093914392388,0.0,0.161202979142536,0.13175760905067155,0.0,0.0,0.0,0.3912300203675535,0.0
10,2014-01-21,"[0.         0.         0.         0.         0.         0.31645888
 0.         0.16069588 0.13076755 0.         0.         0.
 0.39207768]",0.9897426548560895,1.0354136836568641,0.0,0.0,0.0,0.0,0.31645888306344094,0.0,0.16069588304040858,0.13076755111655153,0.0,0.0,0.0,0.39207768277959903,0.0
11,2014-01-22,"[0.         0.         0.         0.         0.         0.31661057
 0.         0.16045607 0.13076763 0.         0.         0.
 0.39216573]",1.0017846707750642,1.0432559174799585,0.0,0.0,0.0,0.0,0.3166105658862544,0.0,0.16045606821885083,0.13076763126020272,0.0,0.0,0.0,0.39216573463469195,0.0
12,2014-01-23,"[0.         0.         0.         0.         0.         0.31703494
 0.         0.16006279 0.1303093  0.         0.         0.
 0.39259298]",1.0094271645792408,1.0448471690936108,0.0,0.0,0.0,0.0,0.31703493604197125,0.0,0.1600627859994527,0.13030930286020181,0.0,0.0,0.0,0.3925929750983744,0.0
13,2014-01-24,"[0.         0.         0.         0.         0.         0.31766859
 0.         0.15944338 0.12974651 0.         0.         0.
 0.39314152]",1.0085297049897053,1.053104222927955,0.0,0.0,0.0,0.0,0.31766859385878843,0.0,0.15944337643194081,0.12974651080724997,0.0,0.0,0.0,0.39314151890202087,0.0
14,2014-01-27,"[0.         0.         0.         0.         0.         0.31740602
 0.         0.15971457 0.12979101 0.         0.         0.
 0.3930884 ]",0.9859036040876822,1.0465631382709812,0.0,0.0,0.0,0.0,0.3174060214951824,0.0,0.15971456673430431,0.12979101430635454,0.0,0.0,0.0,0.39308839746415897,0.0
15,2014-01-28,"[0.         0.         0.         0.         0.         0.31721108
 0.         0.15995252 0.12977739 0.         0.         0.
 0.39305901]",0.9658466106576323,1.032961110298442,0.0,0.0,0.0,0.0,0.31721108064220854,0.0,0.15995252139680466,0.1297773852543583,0.0,0.0,0.0,0.3930590127066284,0.0
16,2014-01-29,"[0.         0.         0.         0.         0.         0.31707875
 0.         0.16006961 0.12986386 0.         0.         0.
 0.39298778]",0.9569738235455629,1.0287769935267255,0.0,0.0,0.0,0.0,0.3170787537681728,0.0,0.16006960813163632,0.1298638551501336,0.0,0.0,0.0,0.39298778295005715,0.0
17,2014-01-30,"[0.         0.         0.         0.         0.         0.31756393
 0.         0.15966945 0.12931352 0.         0.         0.
 0.3934531 ]",0.9609462596603826,1.0280346060897496,0.0,0.0,0.0,0.0,0.31756393381033654,0.0,0.15966944518577703,0.1293135239279427,0.0,0.0,0.0,0.3934530970759437,0.0
18,2014-01-31,"[0.         0.         0.         0.         0.         0.3170946
 0.         0.16016116 0.12955594 0.         0.         0.
 0.3931883 ]",0.9652233722472393,1.0337113169198553,0.0,0.0,0.0,0.0,0.3170945999114853,0.0,0.1601611629728892,0.12955593728145717,0.0,0.0,0.0,0.3931882998341683,0.0
19,2014-02-03,"[0.         0.         0.         0.         0.         0.31707587
 0.         0.16021808 0.12940087 0.         0.         0.
 0.39330518]",0.9511244267745679,1.012656583509036,0.0,0.0,0.0,0.0,0.31707586855513065,0.0,0.1602180806064263,0.12940087158006552,0.0,0.0,0.0,0.39330517925837744,0.0
20,2014-02-04,"[0.         0.         0.         0.         0.         0.31716907
 0.         0.16016161 0.12917622 0.         0.         0.
 0.3934931 ]",0.9499270195951516,1.0095565744010804,0.0,0.0,0.0,0.0,0.31716907185711835,0.0,0.16016160915354902,0.12917622299256662,0.0,0.0,0.0,0.39349309599676596,0.0
21,2014-02-05,"[0.         0.         0.         0.         0.         0.31698704
 0.         0.16039066 0.12917975 0.         0.         0.
 0.39344255]",0.9353875309159697,0.9952931987429742,0.0,0.0,0.0,0.0,0.31698704423515617,0.0,0.16039066088146164,0.12917974860338685,0.0,0.0,0.0,0.3934425462799954,0.0
22,2014-02-06,"[0.         0.         0.         0.         0.         0.31677014
 0.         0.16055363 0.1294185  0.         0.         0.
 0.39325774]",0.9408775139283365,0.9931698182613267,0.0,0.0,0.0,0.0,0.31677013504274837,0.0,0.1605536269526322,0.12941850033651817,0.0,0.0,0.0,0.39325773766810124,0.0
23,2014-02-07,"[0.         0.         0.         0.         0.         0.31710935
 0.         0.16025852 0.12901451 0.         0.         0.
 0.39361761]",0.9399744061143828,0.9918931548657056,0.0,0.0,0.0,0.0,0.31710935329328366,0.0,0.1602585215257496,0.1290145107969994,0.0,0.0,0.0,0.3936176143839672,0.0
24,2014-02-10,"[0.         0.         0.         0.         0.         0.31688243
 0.         0.16038007 0.12942188 0.         0.         0.
 0.39331563]",0.9539231145604314,1.0070990646087932,0.0,0.0,0.0,0.0,0.3168824268096876,0.0,0.16038007174580327,0.1294218757046477,0.0,0.0,0.0,0.39331562573986156,0.0
