,Date,Weights,Profit,Base Profit,Volume,TRC,CIGI,FRPH,CTO,SANM,FLEX,CTS,IEC,SPAR,OSK,F,PCAR,cash
0,2014-01-06,"[0.12298658 0.13169505 0.11072553 0.10154476 0.         0.1067211
 0.         0.10978109 0.10775938 0.11100242 0.         0.
 0.09778412]",0.995614947648569,0.9950000000000002,0.8770134374499321,0.13169504702091217,0.1107255294919014,0.10154476016759872,0.0,0.10672109574079514,0.0,0.10978109389543533,0.10775937885046005,0.11100241541862488,0.0,0.0,0.0977841168642044,0.1229865774512291
1,2014-01-07,"[0.1230757  0.13179351 0.11074394 0.10149042 0.         0.10664672
 0.         0.10995696 0.10793082 0.11073788 0.         0.
 0.097624  ]",1.0038654019695326,1.003225284803949,0.0010130793606584448,0.13179351389408112,0.1107439398765564,0.10149042308330536,0.0,0.10664671659469604,0.0,0.10995695739984512,0.10793081670999527,0.1107378825545311,0.0,0.0,0.09762400388717651,0.1230757012963295
2,2014-01-08,"[0.12308139 0.13241377 0.11101984 0.10109784 0.         0.10646801
 0.         0.11028162 0.10857257 0.1100771  0.         0.
 0.09698785]",0.9984375861222177,0.9971550546052455,0.010772162704272338,0.13241377472877502,0.11101984232664108,0.10109784454107285,0.0,0.10646800696849823,0.0,0.11028162389993668,0.1085725650191307,0.11007709801197052,0.0,0.0,0.09698785096406937,0.12308139353990555
3,2014-01-09,"[0.12313418 0.13318628 0.11143571 0.10043637 0.         0.10617483
 0.         0.11112648 0.10968945 0.1087769  0.         0.
 0.09603977]",1.0016436500055288,1.0002572058511352,0.012831648122104283,0.13318628072738647,0.11143571138381958,0.10043637454509735,0.0,0.10617482662200928,0.0,0.11112647503614426,0.10968945175409317,0.10877689719200134,0.0,0.0,0.0960397720336914,0.12313418090343475
4,2014-01-10,"[0.12340716 0.13454263 0.11220777 0.09934333 0.         0.10579533
 0.         0.11247957 0.1113741  0.10657355 0.         0.
 0.09427657]",1.0021620405187022,1.0026218134786773,0.012078297938807691,0.13454262912273407,0.11220777034759521,0.09934332966804504,0.0,0.10579533129930496,0.0,0.112479567527771,0.11137410253286362,0.10657355189323425,0.0,0.0,0.09427656978368759,0.12340716272592545
5,2014-01-13,"[0.13621865 0.15075175 0.1245385  0.10710416 0.         0.11544456
 0.         0.12609309 0.12630129 0.11354793 0.         0.
 0.        ]",0.9958379448403297,1.0008527494931094,0.17584515835599795,0.1507517546415329,0.12453850358724594,0.10710415989160538,0.0,0.11544455587863922,0.0,0.1260930895805359,0.12630128860473633,0.1135479286313057,0.0,0.0,0.0,0.13621865212917328
6,2014-01-14,"[0.12387968 0.14076482 0.11305821 0.09317543 0.         0.10246157
 0.09093601 0.11753349 0.12136803 0.09682274 0.         0.
 0.        ]",0.9784591263546345,0.9925592800763579,0.16808576764061972,0.14076481759548187,0.11305820941925049,0.09317543357610703,0.0,0.1024615690112114,0.09093600511550903,0.11753349006175995,0.12136802822351456,0.09682273864746094,0.0,0.0,0.0,0.12387967854738235
7,2014-01-15,"[0.12292844 0.14829227 0.105869   0.0841778  0.         0.0936607
 0.09879175 0.11734084 0.14128831 0.0876509  0.         0.
 0.        ]",0.967674639226491,0.98095028801549,0.06771770612831032,0.14829227328300476,0.10586900264024734,0.08417779952287674,0.0,0.09366069734096527,0.09879174828529358,0.11734084039926529,0.14128831028938293,0.08765089511871338,0.0,0.0,0.0,0.1229284405708313
8,2014-01-16,"[0.14709963 0.17933272 0.09185398 0.         0.         0.
 0.14134838 0.13675027 0.20186462 0.10175043 0.         0.
 0.        ]",0.9730602764253401,0.990841810574228,0.3425432832115967,0.17933271825313568,0.09185397624969482,0.0,0.0,0.0,0.14134837687015533,0.136750265955925,0.20186461508274078,0.1017504334449768,0.0,0.0,0.0,0.14709962904453278
9,2014-01-17,"[0.14987347 0.13136566 0.         0.         0.0779357  0.
 0.14466025 0.11885062 0.18138602 0.11138657 0.         0.0845417
 0.        ]",0.9805388385429433,1.0040039140673769,0.3447035227760709,0.13136565685272217,0.0,0.0,0.07793569564819336,0.0,0.14466024935245514,0.11885061860084534,0.18138602375984192,0.11138656735420227,0.0,0.0845417007803917,0.0,0.14987346529960632
10,2014-01-21,"[0.1162388  0.12228104 0.1140082  0.10898878 0.         0.11059809
 0.         0.11513814 0.09870468 0.1084787  0.         0.
 0.10556355]",0.9778426664255788,1.006213126682906,0.8296232398083547,0.1222810372710228,0.11400819569826126,0.10898878425359726,0.0,0.11059808731079102,0.0,0.11513814330101013,0.09870468080043793,0.10847869515419006,0.0,0.0,0.10556355118751526,0.1162388026714325
11,2014-01-22,"[0.11759692 0.12317714 0.11193302 0.10839102 0.         0.10992211
 0.         0.11225163 0.10011064 0.11114905 0.         0.
 0.10546846]",0.9783171594344069,1.0043669317616288,0.010889767002376259,0.12317714095115662,0.11193301528692245,0.10839102417230606,0.0,0.10992211103439331,0.0,0.1122516319155693,0.10011063516139984,0.11114905029535294,0.0,0.0,0.10546845942735672,0.11759691685438156
12,2014-01-23,"[0.11961124 0.12480979 0.1102552  0.10715304 0.         0.10943476
 0.         0.11007031 0.10134473 0.11249937 0.         0.
 0.10482156]",0.9775099914239462,1.0011754208080752,0.012322055793418593,0.12480979412794113,0.11025519669055939,0.1071530357003212,0.0,0.10943476110696793,0.0,0.11007031053304672,0.10134473443031311,0.11249937117099762,0.0,0.0,0.10482156276702881,0.1196112409234047
