,Date,Weights,Profit,Base Profit,BCPC,FMC,GRA,OLN,STRM,JKHY,UIS,EBIX,DORM,SUP,STRT,MOD,cash
0,2014-01-06,"[0.10365062 0.25355594 0.         0.         0.13902514 0.
 0.         0.18584427 0.15507053 0.         0.         0.
 0.16285351]",0.9999999999910365,0.9999999999917246,0.2535559354891431,0.0,0.0,0.13902513915687517,0.0,0.0,0.18584427073252247,0.15507053022834053,0.0,0.0,0.0,0.16285350824492656,0.10365061614819214
1,2014-01-07,"[0.         0.30194249 0.         0.         0.14465412 0.
 0.         0.20557538 0.1692252  0.         0.         0.
 0.17860282]",1.0042510849462514,1.002479078757155,0.3019424882222883,0.0,0.0,0.14465411722662613,0.0,0.0,0.205575375429417,0.16922520008823236,0.0,0.0,0.0,0.17860281903343617,0.0
2,2014-01-08,"[0.         0.30887023 0.         0.         0.14143699 0.
 0.         0.20428945 0.16793423 0.         0.         0.
 0.1774691 ]",0.9996288820207062,0.9971506250888804,0.3088702288355433,0.0,0.0,0.1414369909496754,0.0,0.0,0.20428944996053494,0.16793422870855065,0.0,0.0,0.0,0.1774691015456958,0.0
3,2014-01-09,"[0.         0.31064266 0.         0.         0.14091163 0.
 0.         0.20380279 0.16749224 0.         0.         0.
 0.17715068]",1.0041191224309296,1.000235494362275,0.31064266334171337,0.0,0.0,0.14091163002326268,0.0,0.0,0.20380278975934896,0.1674922375145608,0.0,0.0,0.0,0.17715067936111434,0.0
4,2014-01-10,"[0.         0.31105394 0.         0.         0.14085976 0.
 0.         0.20362285 0.1673902  0.         0.         0.
 0.17707325]",1.0068901498702543,1.0040965148301875,0.31105394470248665,0.0,0.0,0.14085975665711833,0.0,0.0,0.20362284809100545,0.16739019849306985,0.0,0.0,0.0,0.17707325205631969,0.0
5,2014-01-13,"[0.         0.31076757 0.         0.         0.14075385 0.
 0.         0.20366    0.1676886  0.         0.         0.
 0.17712998]",0.9955364921889616,0.9997427026174208,0.31076757074023353,0.0,0.0,0.1407538518601248,0.0,0.0,0.20365999938658264,0.16768860123405507,0.0,0.0,0.0,0.17712997677900386,0.0
6,2014-01-14,"[0.         0.31040266 0.         0.         0.14104039 0.
 0.         0.20373506 0.1679171  0.         0.         0.
 0.17690479]",0.9811417546472648,0.9918629904297752,0.3104026644703933,0.0,0.0,0.14104038501526142,0.0,0.0,0.20373506078033435,0.16791709680471115,0.0,0.0,0.0,0.1769047929292998,0.0
7,2014-01-15,"[0.         0.31036952 0.         0.         0.14090277 0.
 0.         0.20366647 0.16819255 0.         0.         0.
 0.17686868]",0.979640331389345,0.9874545204499002,0.3103695242833025,0.0,0.0,0.14090277227320216,0.0,0.0,0.20366647477544614,0.1681925481753757,0.0,0.0,0.0,0.17686868049267343,0.0
8,2014-01-16,"[0.         0.31050321 0.         0.         0.14067205 0.
 0.         0.20362742 0.16822066 0.         0.         0.
 0.17697667]",1.0005844206193637,0.9973160221830756,0.3105032108280169,0.0,0.0,0.14067204736372727,0.0,0.0,0.20362741699782386,0.1682206583774089,0.0,0.0,0.0,0.17697666643302304,0.0
9,2014-01-17,"[0.         0.3098418  0.         0.         0.14078923 0.
 0.         0.20371005 0.16852709 0.         0.         0.
 0.17713183]",0.9904225620907526,0.9929525900458447,0.30984180029884834,0.0,0.0,0.14078923061524543,0.0,0.0,0.20371005313781168,0.16852708883046527,0.0,0.0,0.0,0.17713182711762937,0.0
10,2014-01-21,"[0.         0.30965056 0.         0.         0.14075145 0.
 0.         0.20375958 0.16868749 0.         0.         0.
 0.17715093]",0.9897421732331126,0.9941741443176734,0.3096505556833675,0.0,0.0,0.14075144777720233,0.0,0.0,0.20375957913108686,0.16868748856389149,0.0,0.0,0.0,0.17715092884445174,0.0
11,2014-01-22,"[0.         0.30911015 0.         0.         0.14040795 0.
 0.         0.20367291 0.16942299 0.         0.         0.
 0.17738599]",0.9862594560114152,0.9930042903957611,0.30911015292231436,0.0,0.0,0.14040795467892206,0.0,0.0,0.20367290948146788,0.16942299372240216,0.0,0.0,0.0,0.17738598919489348,0.0
12,2014-01-23,"[0.         0.3092449  0.         0.         0.14045344 0.
 0.         0.20382506 0.16923994 0.         0.         0.
 0.17723665]",0.9848102988157064,0.9925564650916655,0.30924490291754786,0.0,0.0,0.14045344463872836,0.0,0.0,0.20382505986804256,0.16923994067124365,0.0,0.0,0.0,0.17723665190443763,0.0
13,2014-01-24,"[0.         0.30984128 0.         0.         0.14060493 0.
 0.         0.20386039 0.16859784 0.         0.         0.
 0.17709555]",0.9852362575074046,0.9943779001428048,0.3098412835086598,0.0,0.0,0.1406049344741779,0.0,0.0,0.20386038871306766,0.1685978419535812,0.0,0.0,0.0,0.1770955513505133,0.0
