,Date,Weights,Profit,Base Profit,LAWS,KAMN,WLFC,HDSN,XLNX,MXIM,KOPN,INTC,NBIX,BCRX,TTNP,TECH,cash
0,2014-01-06,"[0.10263786 0.         0.11083999 0.19330339 0.11917362 0.
 0.         0.20083772 0.15224538 0.         0.         0.12096204
 0.        ]",0.9999999999910264,0.9999999999917246,0.0,0.11083999047350238,0.193303389576988,0.1191736231657872,0.0,0.0,0.20083772454206483,0.15224537613203032,0.0,0.0,0.1209620388567647,0.0,0.10263785725286247
1,2014-01-07,"[0.         0.         0.11694768 0.22510299 0.12762469 0.
 0.         0.23193985 0.16797507 0.         0.         0.13040973
 0.        ]",1.0093867385811988,1.0120319957157937,0.0,0.11694767617060396,0.22510298703372053,0.1276246869694945,0.0,0.0,0.23193984958862612,0.1679750702336968,0.0,0.0,0.13040973000385808,0.0,0.0
2,2014-01-08,"[0.         0.         0.11582024 0.2281528  0.12619895 0.
 0.         0.23391466 0.16732413 0.         0.         0.12858922
 0.        ]",0.9996973468156869,1.0556201277243713,0.0,0.11582024391352928,0.2281527987439185,0.1261989476730114,0.0,0.0,0.23391465685696358,0.16732412789993792,0.0,0.0,0.1285892249126393,0.0,0.0
3,2014-01-09,"[0.         0.         0.11511668 0.22885389 0.12749186 0.
 0.         0.23384975 0.16602703 0.         0.         0.12866078
 0.        ]",0.9949171075404957,1.0687626156295593,0.0,0.11511667845392239,0.22885389125578326,0.12749186481948235,0.0,0.0,0.23384975292391452,0.1660270276752878,0.0,0.0,0.12866078487160956,0.0,0.0
4,2014-01-10,"[0.         0.         0.11548644 0.22927413 0.12750388 0.
 0.         0.23388326 0.16568994 0.         0.         0.12816236
 0.        ]",0.9996513704552697,1.080576263381796,0.0,0.1154864402452224,0.22927412647218265,0.12750387955625106,0.0,0.0,0.23388326062810863,0.16568993681974037,0.0,0.0,0.12816235627849495,0.0,0.0
5,2014-01-13,"[0.         0.         0.11666981 0.22999275 0.12741902 0.
 0.         0.23393961 0.16513436 0.         0.         0.12684445
 0.        ]",0.9900544505041476,1.085014592389638,0.0,0.11666980788320583,0.2299927537580183,0.1274190178972455,0.0,0.0,0.23393960607326653,0.16513436145105265,0.0,0.0,0.12684445293721122,0.0,0.0
6,2014-01-14,"[0.         0.         0.11764963 0.23076629 0.12701501 0.
 0.         0.23448296 0.16437447 0.         0.         0.12571165
 0.        ]",0.9967276311588242,1.0947120276002256,0.0,0.11764962969123337,0.23076628532916457,0.1270150057518187,0.0,0.0,0.23448295539228398,0.16437446984218335,0.0,0.0,0.12571165399331602,0.0,0.0
7,2014-01-15,"[0.         0.         0.1186528  0.23135009 0.12663411 0.
 0.         0.23477043 0.16388823 0.         0.         0.12470434
 0.        ]",0.9953266942256953,1.0958279261891959,0.0,0.11865280170294829,0.23135009472007956,0.12663411371819108,0.0,0.0,0.23477042507091825,0.1638882267458766,0.0,0.0,0.12470433804198612,0.0,0.0
8,2014-01-16,"[0.         0.         0.11851001 0.23176802 0.12642279 0.
 0.         0.23547966 0.16320264 0.         0.         0.12461688
 0.        ]",1.0209934580045834,1.1232562999305185,0.0,0.11851001123042695,0.23176801910222872,0.12642278638416687,0.0,0.0,0.23547966210344473,0.1632026413262139,0.0,0.0,0.12461687985351878,0.0,0.0
9,2014-01-17,"[0.         0.         0.11882478 0.23235556 0.126061   0.
 0.         0.23624055 0.16239112 0.         0.         0.12412698
 0.        ]",1.022942228727423,1.1184273464658614,0.0,0.11882477894752501,0.23235556482427008,0.12606100243039242,0.0,0.0,0.23624055372656952,0.16239111533524134,0.0,0.0,0.12412698473600164,0.0,0.0
10,2014-01-21,"[0.         0.         0.11992842 0.23294789 0.12601292 0.
 0.         0.23627358 0.16185097 0.         0.         0.12298622
 0.        ]",1.0055842045957446,1.115833587089444,0.0,0.11992842204660384,0.23294788586242887,0.12601291726036845,0.0,0.0,0.23627358080775845,0.16185097422919018,0.0,0.0,0.12298621979365024,0.0,0.0
11,2014-01-22,"[0.         0.         0.12037959 0.23298958 0.12611957 0.
 0.         0.23583151 0.1620267  0.         0.         0.12265305
 0.        ]",1.0088782840681965,1.1278394434943029,0.0,0.12037958987272732,0.23298958034141468,0.1261195739190076,0.0,0.0,0.2358315101382811,0.1620266998734154,0.0,0.0,0.12265304585515396,0.0,0.0
12,2014-01-23,"[0.         0.         0.12077275 0.23311981 0.12575112 0.
 0.         0.23589493 0.16211938 0.         0.         0.12234201
 0.        ]",1.017240563134386,1.1302410502739244,0.0,0.12077275259117375,0.23311980553782863,0.12575111710093545,0.0,0.0,0.2358949347100115,0.16211937952540606,0.0,0.0,0.12234201053464455,0.0,0.0
13,2014-01-24,"[0.         0.         0.12056586 0.23297312 0.12536983 0.
 0.         0.2359901  0.16257884 0.         0.         0.12252225
 0.        ]",1.0231514937475137,1.1401057473806846,0.0,0.12056586407864335,0.23297311623151082,0.12536983415233188,0.0,0.0,0.2359901005933003,0.1625788395734687,0.0,0.0,0.122522245370745,0.0,0.0
14,2014-01-27,"[0.         0.         0.12136589 0.2332953  0.12497767 0.
 0.         0.23623929 0.16225636 0.         0.         0.12186548
 0.        ]",1.0215504957940627,1.1404545991421045,0.0,0.12136588674025629,0.23329530340450164,0.12497767253436126,0.0,0.0,0.23623929305717428,0.16225636405596755,0.0,0.0,0.12186548020773896,0.0,0.0
