,Date,Weights,Profit,Base Profit,Volume,IVAC,TRT,ASYS,VECO,TFX,ATRI,MMM,CRY,KOPN,XLNX,INTC,MXIM,cash
0,2014-01-06,"[0.10095473 0.10343744 0.         0.10330151 0.10485437 0.10774352
 0.12239727 0.11310315 0.         0.         0.12425888 0.
 0.11994914]",0.9999999999910095,0.9999999999917251,0.8990452682386207,0.10343743594030202,0.0,0.10330150688584333,0.10485436508161496,0.10774352250305576,0.12239727340194068,0.11310314794321102,0.0,0.0,0.12425887847997984,0.0,0.11994913800267314,0.10095473176137928
1,2014-01-07,"[0.         0.10390716 0.08830011 0.10408023 0.10565482 0.10881144
 0.12522106 0.11445131 0.         0.         0.12765622 0.
 0.12191766]",1.005190675853307,1.0059311817599401,0.10095473176047165,0.10390715719169752,0.0883001081884629,0.10408023257693656,0.10565481772458328,0.10881143571633314,0.12522105705185058,0.11445131239781384,0.0,0.0,0.12765622101390034,0.0,0.12191765813842187,0.0
2,2014-01-08,"[0.         0.10302167 0.09563682 0.10371189 0.10469532 0.10764531
 0.12421737 0.11323932 0.         0.         0.12681977 0.
 0.12101253]",1.0014426451721457,0.9987383118423789,0.019214117424058225,0.10302167003053128,0.09563681922836405,0.10371189331995886,0.10469531651528138,0.10764530634554069,0.12421737200415485,0.11323932419950881,0.0,0.0,0.12681976644455945,0.0,0.12101253191210068,0.0
3,2014-01-09,"[0.         0.10286849 0.09631741 0.10314621 0.10467908 0.10737083
 0.1246555  0.11304305 0.         0.         0.12690781 0.
 0.12101163]",1.0156867897443211,1.007910467092033,0.009273535473299347,0.10286849089816555,0.09631740661240283,0.10314620912272277,0.10467907771287899,0.10737082729036933,0.1246554963100575,0.1130430541025236,0.0,0.0,0.12690781013312696,0.0,0.12101162781775252,0.0
4,2014-01-10,"[0.         0.10321432 0.09663261 0.10349383 0.10503471 0.10692989
 0.1240464  0.11315701 0.         0.         0.12665992 0.
 0.12083131]",1.0348355885029406,1.019676430080283,0.020016412815765088,0.10321432470689675,0.09663260559457491,0.10349383345349977,0.10503471179613816,0.10692989108793428,0.1240463995030369,0.11315700809273918,0.0,0.0,0.1266599194819383,0.0,0.1208313062832416,0.0
5,2014-01-13,"[0.         0.10247987 0.09722908 0.10386688 0.10473616 0.10653677
 0.12410795 0.11329342 0.         0.         0.12675838 0.
 0.12099149]",1.0395971719676675,1.0238746596705612,0.024093341675239608,0.10247986717347278,0.0972290767289816,0.10386687781812196,0.10473615924770317,0.10653676524227763,0.12410795492909688,0.11329342401212394,0.0,0.0,0.12675838102951237,0.0,0.12099149381870979,0.0
6,2014-01-14,"[0.         0.10289366 0.0960625  0.10378829 0.1051117  0.10690432
 0.12429521 0.11347112 0.         0.         0.12666628 0.
 0.12080692]",1.0385174392540595,1.0233150127745332,0.02500301346409823,0.10289366363636007,0.09606249713032852,0.10378829250366514,0.10511170058515629,0.10690431598860833,0.12429521498455608,0.11347111946135492,0.0,0.0,0.12666627731929517,0.0,0.12080691839067531,0.0
7,2014-01-15,"[0.         0.10280567 0.09689098 0.10295752 0.1049022  0.1067342
 0.12443071 0.11347872 0.         0.         0.12652991 0.
 0.12127009]",1.0280279060827364,1.016422698182187,0.004657968771574755,0.10280566501334083,0.09689098197860227,0.10295752329296866,0.10490219801768973,0.10673419740189381,0.12443070732456919,0.11347872103002633,0.0,0.0,0.12652991396915633,0.0,0.12127009197175273,0.0
8,2014-01-16,"[0.         0.1029305  0.09650143 0.10280106 0.10472085 0.10709809
 0.12418925 0.11382042 0.         0.         0.1266863  0.
 0.12125211]",1.0442557039938891,1.0328137623278075,0.007000418470250507,0.10293049796137164,0.09650142521486506,0.10280106049373049,0.10472084642207434,0.1070980925485756,0.12418924915340963,0.11382042440960514,0.0,0.0,0.1266862986672263,0.0,0.12125210512914182,0.0
9,2014-01-17,"[0.         0.10290954 0.09666425 0.10277962 0.10476986 0.10711614
 0.12389635 0.11414444 0.         0.         0.12651406 0.
 0.12120574]",1.0516579011605223,1.040651601014214,0.013862266476456523,0.10290954114835164,0.09666424908293934,0.10277961739341429,0.10476985970615808,0.10711614453460551,0.1238963505922607,0.11414444029231093,0.0,0.0,0.12651405710776423,0.0,0.12120574014219541,0.0
10,2014-01-21,"[0.         0.10276497 0.09606359 0.10321792 0.10504484 0.10703793
 0.12408898 0.1141075  0.         0.         0.12644277 0.
 0.1212315 ]",1.0534135791613166,1.0385077926892006,0.012505185682807013,0.10276497289903722,0.0960635911900397,0.10321791802520873,0.10504483753618234,0.10703793314313184,0.12408897648582469,0.11410750241270622,0.0,0.0,0.12644276929656414,0.0,0.12123149901130509,0.0
11,2014-01-22,"[0.         0.10303945 0.09555384 0.10302205 0.10477163 0.10744914
 0.12407693 0.11410796 0.         0.         0.12634713 0.
 0.12163188]",1.0549354897176775,1.043883082564182,0.009909383631737295,0.10303944502594921,0.095553841368175,0.10302204866074072,0.10477162987248673,0.10744914107341877,0.12407692519519753,0.11410795594218913,0.0,0.0,0.1263471298727097,0.0,0.12163188298913331,0.0
12,2014-01-23,"[0.         0.10341525 0.0955203  0.1025396  0.10503196 0.10757682
 0.1236024  0.11422025 0.         0.         0.12632645 0.
 0.12176696]",1.04603396342551,1.0383048321259392,0.014042604831328338,0.1034152489911117,0.09552030180327278,0.10253959767024269,0.10503196327536439,0.10757682151676365,0.12360239877444802,0.11422025316509765,0.0,0.0,0.1263264539918955,0.0,0.12176696081180374,0.0
