,Date,Weights,Profit,Base Profit,Volume,FLEX,SANM,IEC,CTS,WAT,COHR,PKI,BIO,JKHY,STRM,UIS,EBIX,cash
0,2014-01-06,"[0.         0.08817139 0.07975107 0.08181447 0.08588923 0.0806219
 0.07955657 0.08446903 0.08585867 0.0798827  0.08770561 0.08415842
 0.08212095]",0.9998,0.9998000000000002,1.0,0.08817138522863388,0.07975106686353683,0.0818144679069519,0.08588922768831253,0.08062189817428589,0.07955656945705414,0.0844690278172493,0.08585866540670395,0.07988270372152328,0.08770561218261719,0.08415842056274414,0.08212095499038696,0.0
1,2014-01-07,"[0.07134786 0.08074842 0.07503224 0.07520968 0.07913882 0.07533095
 0.07435376 0.07874289 0.07915507 0.07512131 0.08099739 0.0784049
 0.07641672]",1.0048387475100855,1.0051735587353845,0.07133357801139355,0.08074842393398285,0.07503224164247513,0.07520967721939087,0.07913881540298462,0.075330950319767,0.07435376197099686,0.07874289155006409,0.07915506511926651,0.07512131333351135,0.08099739253520966,0.07840489596128464,0.07641672343015671,0.07134786248207092
2,2014-01-08,"[0.07135063 0.08100931 0.07453834 0.07504921 0.07943303 0.07515512
 0.0741522  0.078966   0.07930331 0.07498172 0.0812199  0.07843372
 0.07640751]",1.006240500995579,1.0066555383620859,0.010124399921437172,0.08100930601358414,0.07453834265470505,0.07504920661449432,0.07943303138017654,0.07515512406826019,0.07415220141410828,0.07896599918603897,0.0793033093214035,0.07498171925544739,0.08121990412473679,0.07843372225761414,0.07640751451253891,0.07135062664747238
3,2014-01-09,"[0.07144895 0.08144388 0.0736794  0.074586   0.07965899 0.0750782
 0.07392164 0.07924381 0.07957881 0.07477286 0.08135902 0.07870517
 0.0765233 ]",1.01309583624031,1.0139836076351552,0.008297051915769611,0.08144388347864151,0.07367939502000809,0.07458599656820297,0.07965898513793945,0.07507820427417755,0.07392164319753647,0.07924380898475647,0.07957880944013596,0.07477285712957382,0.08135902136564255,0.07870516926050186,0.0765232965350151,0.07144895195960999
4,2014-01-10,"[0.07154647 0.08207764 0.07255465 0.07431258 0.07999393 0.07493566
 0.07337766 0.07984109 0.07996549 0.07441372 0.08160692 0.07886247
 0.07651172]",1.01869272972682,1.0198829572329577,0.008470107702991577,0.08207763731479645,0.07255464792251587,0.07431257516145706,0.07999393343925476,0.0749356597661972,0.07337766140699387,0.07984109222888947,0.0799654871225357,0.0744137167930603,0.081606924533844,0.07886246591806412,0.07651171833276749,0.07154647260904312
5,2014-01-13,"[0.07706686 0.08934429 0.         0.07956624 0.08679046 0.08034779
 0.07819295 0.08691189 0.08672906 0.07950877 0.08820446 0.08500214
 0.0823351 ]",1.0186422149355847,1.0179915126624335,0.14323171448216598,0.08934428542852402,0.0,0.07956624031066895,0.08679045736789703,0.08034779131412506,0.07819294929504395,0.0869118943810463,0.08672905713319778,0.07950876653194427,0.08820445835590363,0.08500213921070099,0.08233509957790375,0.07706686109304428
6,2014-01-14,"[0.08318558 0.09917075 0.         0.08488814 0.09534495 0.08585429
 0.         0.09598633 0.09521367 0.08383051 0.09603021 0.09200207
 0.08849344]",1.0074131494332685,1.0042334384833707,0.1518670109701641,0.0991707518696785,0.0,0.08488813787698746,0.09534495323896408,0.08585429191589355,0.0,0.09598632901906967,0.09521367400884628,0.08383051306009293,0.09603021293878555,0.09200207144021988,0.08849343657493591,0.0831855833530426
7,2014-01-15,"[0.08967175 0.11038045 0.         0.08989199 0.10690333 0.08982342
 0.         0.10787466 0.10673025 0.         0.10489865 0.0988697
 0.09495581]",1.0012112519678058,0.9947371339095745,0.1647221306178527,0.11038044840097427,0.0,0.08989199250936508,0.1069033294916153,0.08982342481613159,0.0,0.10787466168403625,0.10673025250434875,0.0,0.10489865392446518,0.0988697037100792,0.09495580941438675,0.08967174589633942
8,2014-01-16,"[0.09651946 0.12007144 0.         0.09856714 0.1236743  0.
 0.         0.12202047 0.12369032 0.         0.11158303 0.10189544
 0.10197838]",1.0148813920108297,1.0102897231763444,0.17336553922407313,0.12007144093513489,0.0,0.09856713563203812,0.12367429584264755,0.0,0.0,0.12202046811580658,0.12369032204151154,0.0,0.11158303171396255,0.10189543664455414,0.1019783765077591,0.09651945531368256
9,2014-01-17,"[0.12772162 0.14313304 0.         0.16474095 0.1406024  0.
 0.         0.13110487 0.16731393 0.         0.12538315 0.
 0.        ]",1.017709406395361,1.0123465185975709,0.3922124547612266,0.1431330442428589,0.0,0.16474094986915588,0.14060239493846893,0.0,0.0,0.13110487163066864,0.16731393337249756,0.0,0.1253831535577774,0.0,0.0,0.1277216225862503
10,2014-01-21,"[0.         0.10437581 0.0921746  0.09559841 0.09670869 0.08828828
 0.         0.11246772 0.0988833  0.08487336 0.         0.10261405
 0.12401578]",1.0170803905421155,1.0132523442067258,0.871744712259582,0.10437580943107605,0.09217460453510284,0.09559841454029083,0.09670869261026382,0.08828828483819962,0.0,0.11246772110462189,0.09888330101966858,0.08487336337566376,0.0,0.10261404514312744,0.12401577830314636,0.0
11,2014-01-22,"[0.         0.08623306 0.08939932 0.0912151  0.08068611 0.08266
 0.07696405 0.08202272 0.08004948 0.07918025 0.08070935 0.07989448
 0.09098607]",1.016222276253245,1.0126609177294765,0.3207330462874934,0.08623306453227997,0.0893993154168129,0.0912151038646698,0.08068611472845078,0.0826600044965744,0.07696405053138733,0.08202271908521652,0.08004947751760483,0.07918024808168411,0.08070934563875198,0.07989447563886642,0.09098607301712036,0.0
